agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,DateTime,gage_height_m,discharge_cms
,,1,12/3/1940,,,,,12.22,14700,,,,,,,,,,,,,,,,,,,,,,,12/3/1940 0:00,3.724656,416.2576449
,,2,1/6/1941,,,,,9.58,7440,,,,,,,,,,,,,,,,,,,,,,,1/6/1941 0:00,2.919984,210.6773386
,,3,1/7/1941,,,,,9.5,7160,,,,,,,,,,,,,,,,,,,,,,,1/7/1941 0:00,2.8956,202.7486216
,,4,1/25/1941,,,,,10.97,9810,,,,,,,,,,,,,,,,,,,,,,,1/25/1941 0:00,3.343656,277.7882651
,,5,2/7/1941,,,,,10.45,9730,,,,,,,,,,,,,,,,,,,,,,,2/7/1941 0:00,3.18516,275.5229173
,,6,3/3/1941,,,,,10.54,9800,,,,,,,,,,,,,,,,,,,,,,,3/3/1941 0:00,3.212592,277.5050966
,,7,4/10/1941,,,,,11.05,10900,,,,,,,,,,,,,,,,,,,,,,,4/10/1941 0:00,3.36804,308.6536279
,,8,5/13/1941,,,,,14.56,19300,,,,,,,,,,,,,,,,,,,,,,,5/13/1941 0:00,4.437888,546.5151392
,,9,6/12/1941,,,,,15.09,20900,,,,,,,,,,,,,,,,,,,,,,,6/12/1941 0:00,4.599432,591.8220938
,,10,7/10/1941,,,,,11.16,10400,,,,,,,,,,,,,,,,,,,,,,,7/10/1941 0:00,3.401568,294.4952046
,,11,8/11/1941,,,,,8.97,6020,,,,,,,,,,,,,,,,,,,,,,,8/11/1941 0:00,2.734056,170.4674165
,,12,9/15/1941,,,,,14.22,18600,,,,,,,,,,,,,,,,,,,,,,,9/15/1941 0:00,4.334256,526.6933466
,,13,10/21/1941,,,,,13.2,14900,,,,,,,,,,,,,,,,,,,,,,,10/21/1941 0:00,4.02336,421.9210142
,,14,11/15/1941,,,,,20.32,36600,,,,,,,,,,,,,,,,,,,,,,,11/15/1941 0:00,6.193536,1036.396585
