,Unnamed: 0,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,DateTime,gage_height_m,discharge_cms
0,,,,1,12/3/1940,,,,,12.22,14700,,,,,,,,,,,,,,,,,,,,,,,1940-12-03 00:00:00,3.7246560000000004,416.25764490240005
1,,,,2,1/6/1941,,,,,9.58,7440,,,,,,,,,,,,,,,,,,,,,,,1941-01-06 00:00:00,2.9199840000000004,210.67733864448005
2,,,,3,1/7/1941,,,,,9.5,7160,,,,,,,,,,,,,,,,,,,,,,,1941-01-07 00:00:00,2.8956,202.74862159872004
3,,,,4,1/25/1941,,,,,10.97,9810,,,,,,,,,,,,,,,,,,,,,,,1941-01-25 00:00:00,3.343656,277.78826506752006
4,,,,5,2/7/1941,,,,,10.45,9730,,,,,,,,,,,,,,,,,,,,,,,1941-02-07 00:00:00,3.1851599999999998,275.52291734016006
5,,,,6,3/3/1941,,,,,10.54,9800,,,,,,,,,,,,,,,,,,,,,,,1941-03-03 00:00:00,3.212592,277.50509660160003
6,,,,7,4/10/1941,,,,,11.05,10900,,,,,,,,,,,,,,,,,,,,,,,1941-04-10 00:00:00,3.3680400000000006,308.65362785280007
7,,,,8,5/13/1941,,,,,14.56,19300,,,,,,,,,,,,,,,,,,,,,,,1941-05-13 00:00:00,4.437888,546.5151392256001
8,,,,9,6/12/1941,,,,,15.09,20900,,,,,,,,,,,,,,,,,,,,,,,1941-06-12 00:00:00,4.599432,591.8220937728001
9,,,,10,7/10/1941,,,,,11.16,10400,,,,,,,,,,,,,,,,,,,,,,,1941-07-10 00:00:00,3.401568,294.49520455680005
10,,,,11,8/11/1941,,,,,8.97,6020,,,,,,,,,,,,,,,,,,,,,,,1941-08-11 00:00:00,2.7340560000000003,170.46741648384003
11,,,,12,9/15/1941,,,,,14.22,18600,,,,,,,,,,,,,,,,,,,,,,,1941-09-15 00:00:00,4.334256000000001,526.6933466112001
12,,,,13,10/21/1941,,,,,13.2,14900,,,,,,,,,,,,,,,,,,,,,,,1941-10-21 00:00:00,4.02336,421.9210142208001
13,,,,14,11/15/1941,,,,,20.32,36600,,,,,,,,,,,,,,,,,,,,,,,1941-11-15 00:00:00,6.193536000000001,1036.3965852672002
14,,,,15,11/30/1941,,,,,14.71,18700,,,,,,,,,,,,,,,,,,,,,,,1941-11-30 00:00:00,4.483608,529.5250312704001
15,,,,16,12/3/1941,,,,,25.81,67200,,,,,,,,,,,,,,,,,,,,,,,1941-12-03 00:00:00,7.866888,1902.8920909824003
16,,,,17,1/12/1942,,,,,9.58,6320,,,,,,,,,,,,,,,,,,,,,,,1942-01-12 00:00:00,2.9199840000000004,178.96247046144003
17,,,,18,2/21/1942,,,,,9.43,6610,,,,,,,,,,,,,,,,,,,,,,,1942-02-21 00:00:00,2.874264,187.17435597312002
18,,,,19,4/10/1942,,,,,11.26,9730,,,,,,,,,,,,,,,,,,,,,,,1942-04-10 00:00:00,3.432048,275.52291734016006
19,,,,20,5/18/1942,,,,,11.78,11100,,,,,,,,,,,,,,,,,,,,,,,1942-05-18 00:00:00,3.590544,314.31699717120006
20,,,,21,7/1/1942,,,,,17.68,26500,,,,,,,,,,,,,,,,,,,,,,,1942-07-01 00:00:00,5.388864,750.3964346880001
21,,,,22,8/18/1942,,,,,10.09,7320,,,,,,,,,,,,,,,,,,,,,,,1942-08-18 00:00:00,3.075432,207.27931705344002
22,,,,23,10/14/1942,,,,,8.33,4280,,,,,,,,,,,,,,,,,,,,,,,1942-10-14 00:00:00,2.538984,121.19610341376001
23,,,,24,11/24/1942,,,,,20.29,35500,,,,,,,,,,,,,,,,,,,,,,,1942-11-24 00:00:00,6.184392,1005.2480540160002
24,,,,25,1/20/1943,,,,,12.42,12800,,,,,,,,,,,,,,,,,,,,,,,1943-01-20 00:00:00,3.785616,362.45563637760006
25,,,,26,3/5/1943,,,,,10.16,7270,,,,,,,,,,,,,,,,,,,,,,,1943-03-05 00:00:00,3.0967680000000004,205.86347472384003
26,,,,27,4/16/1943,,,,,19.6,33400,,,,,,,,,,,,,,,,,,,,,,,1943-04-16 00:00:00,5.974080000000001,945.7826761728002
27,,,,28,6/9/1943,,,,,22.51,44700,,,,,,,,,,,,,,,,,,,,,,,1943-06-09 00:00:00,6.861048000000001,1265.7630426624003
28,,,,29,6/14/1943,,,,,18.19,27000,,,,,,,,,,,,,,,,,,,,,,,1943-06-14 00:00:00,5.544312000000001,764.5548579840001
29,,,,30,7/1/1943,,,,,22.58,45100,,,,,,,,,,,,,,,,,,,,,,,1943-07-01 00:00:00,6.882384,1277.0897812992002
30,,,,31,8/23/1943,,,,,11.21,9040,,,,,,,,,,,,,,,,,,,,,,,1943-08-23 00:00:00,3.4168080000000005,255.98429319168005
31,,,,32,10/26/1943,,,,,12.22,11200,,,,,,,,,,,,,,,,,,,,,,,1943-10-26 00:00:00,3.7246560000000004,317.14868183040005
32,,,,33,1/15/1944,,,,,11.9,10800,,,,,,,,,,,,,,,,,,,,,,,1944-01-15 00:00:00,3.62712,305.8219431936
33,,,,34,2/21/1944,,,,,9.54,6320,,,,,,,,,,,,,,,,,,,,,,,1944-02-21 00:00:00,2.9077919999999997,178.96247046144003
34,,,,35,4/13/1944,,,,,12.26,12200,,,,,,,,,,,,,,,,,,,,,,,1944-04-13 00:00:00,3.736848,345.46552842240004
35,,,,36,6/1/1944,,,,,16.14,20000,,,,,,,,,,,,,,,,,,,,,,,1944-06-01 00:00:00,4.919472000000001,566.33693184
36,,,,37,6/4/1944,,,,,16.05,20100,,,,,,,,,,,,,,,,,,,,,,,1944-06-04 00:00:00,4.892040000000001,569.1686164992001
37,,,,38,7/17/1944,,,,,10.89,7930,,,,,,,,,,,,,,,,,,,,,,,1944-07-17 00:00:00,3.3192720000000002,224.55259347456004
38,,,,39,9/2/1944,,,,,9.76,6270,,,,,,,,,,,,,,,,,,,,,,,1944-09-02 00:00:00,2.974848,177.54662813184004
39,,,,40,10/4/1944,,,,,13.49,13700,,,,,,,,,,,,,,,,,,,,,,,1944-10-04 00:00:00,4.111752,387.94079831040006
40,,,,41,12/7/1944,,,,,18.41,26800,,,,,,,,,,,,,,,,,,,,,,,1944-12-07 00:00:00,5.611368000000001,758.8914886656001
41,,,,42,1/8/1945,,,,,21.97,39200,,,,,,,,,,,,,,,,,,,,,,,1945-01-08 00:00:00,6.696456,1110.0203864064001
42,,,,43,2/6/1945,,,,,12.38,12000,,,,,,,,,,,,,,,,,,,,,,,1945-02-06 00:00:00,3.7734240000000003,339.80215910400005
43,,,,44,3/26/1945,,,,,11.58,9430,,,,,,,,,,,,,,,,,,,,,,,1945-03-26 00:00:00,3.5295840000000003,267.02786336256
44,,,,45,5/1/1945,,,,,14.15,14500,,,,,,,,,,,,,,,,,,,,,,,1945-05-01 00:00:00,4.31292,410.59427558400006
