H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
2.0;49.7514;39.5954;56.3666;-0.611578;92.0162;
2.11;62.6406;51.7901;69.3404;11.726;105.016;
2.22;76.4502;65.1013;83.1522;24.4663;118.718;
2.33;91.1171;79.4276;97.9952;37.6191;133.135;
2.44;106.589;94.6495;113.584;51.9866;149.722;
2.55;122.823;110.714;129.849;67.4363;167.709;
2.66;139.781;127.575;146.389;83.6448;184.601;
2.77;157.431;145.101;164.095;100.579;203.133;
2.88;175.743;163.447;182.36;117.939;222.478;
2.99;194.694;182.579;201.345;136.381;242.805;
3.1;214.259;201.976;220.845;155.455;263.357;
3.21;234.418;222.035;241.196;175.027;284.261;
3.32;255.152;242.631;261.922;195.206;305.948;
3.43;276.445;263.662;283.176;215.973;328.668;
3.54;298.281;285.758;305.412;236.219;352.746;
3.65;320.645;308.18;328.075;258.436;376.897;
3.76;343.524;331.273;351.176;281.657;400.129;
3.87;366.906;354.842;374.985;304.539;425.225;
3.98;390.778;378.363;398.981;326.272;451.799;
4.09;415.131;402.409;424.668;348.775;479.028;
4.2;439.953;426.852;450.135;372.642;508.403;
4.31;465.235;451.801;476.125;396.819;538.137;
4.42;490.969;477.156;503.081;422.691;564.558;
4.53;517.145;503.06;530.054;449.029;593.206;
4.64;543.755;529.023;557.73;474.759;623.119;
4.75;570.793;555.712;585.798;500.358;653.553;
4.86;598.25;582.727;614.627;526.346;683.945;
4.97;626.12;609.401;643.923;552.514;713.283;
5.08;654.395;636.562;673.414;578.344;743.016;
5.19;683.071;664.366;703.744;606.139;774.655;
5.3;712.14;692.202;734.545;634.069;807.019;
5.41;741.597;720.739;765.779;661.914;839.829;
5.52;771.436;749.73;797.525;690.115;873.08;
5.63;801.652;778.504;829.137;718.666;906.44;
5.74;832.24;807.727;861.523;747.563;939.893;
5.85;863.195;838.028;894.329;776.681;973.747;
5.96;894.513;868.695;927.548;805.497;1008.0;
6.07;926.188;899.482;961.648;834.651;1042.64;
6.18;958.216;930.261;996.32;864.14;1077.66;
6.29;990.594;961.084;1031.15;893.96;1113.07;
6.4;1023.32;991.869;1066.9;925.117;1149.57;
6.51;1056.38;1024.91;1104.26;957.109;1186.66;
6.62;1089.78;1061.12;1148.6;989.451;1228.53;
6.73;1140.79;1099.57;1191.08;1029.54;1269.14;
6.84;1196.52;1141.44;1245.19;1063.58;1321.33;
6.95;1253.25;1186.34;1300.58;1109.09;1379.71;
7.06;1310.97;1226.57;1357.37;1157.09;1439.51;
7.17;1369.67;1267.46;1416.4;1197.22;1499.48;
7.28;1429.34;1318.06;1477.1;1247.48;1561.97;
7.39;1489.97;1376.44;1538.78;1305.48;1628.23;
