,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,discharge_cms,gage_height_m,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1939-12-16 10:20:00,2,2,USGS,12020000,3,1939-12-16 10:20:00,PST,Yes,B,USGS,315.04,8360.0,Fair,,3.6,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,unkno,8360.0,167.0,1480.0,5.63,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,236.72883750912004,96.024192,257.4694048000004,-20.740567290880364,-13.71830178157741,7.937067899907041,-20.740567290880364
1,1940-01-27 09:30:00,3,3,USGS,12020000,4,1940-01-27 09:30:00,PST,Yes,B,USGS,309.97,2880.0,Good,,1.7,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,unkno,2880.0,146.0,693.0,4.16,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,81.55251818496001,94.478856,86.34256669714229,-4.790048512182281,-13.71830178157741,7.937067899907041,-12.765307901531322
2,1941-12-02 12:00:00,25,25,USGS,12020000,26,1941-12-02 12:00:00,PST,Yes,HCR,USGS,312.08,4740.0,Fair,,1.3,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,unkno,4740.0,153.0,998.0,4.75,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,134.22185284608005,95.121984,148.53843169523736,-14.31657884915731,-13.71830178157741,7.937067899907041,-14.31657884915731
3,1941-12-02 13:55:00,26,26,USGS,12020000,27,1941-12-02 13:55:00,PST,Yes,HCR,USGS,311.66,4290.0,Good,,1.3,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,unkno,4290.0,151.0,931.0,4.61,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,121.47927187968,94.993968,135.09275992380907,-13.61348804412907,-13.71830178157741,7.937067899907041,-13.96503344664319
4,1941-12-02 15:35:00,27,27,USGS,12020000,28,1941-12-02 15:35:00,PST,Yes,HCR,USGS,311.3,3890.0,Good,,1.2,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,unkno,3890.0,150.0,879.0,4.43,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,110.15253324288,94.88424,123.97564876190575,-13.823115519025748,-13.71830178157741,7.937067899907041,-13.823115519025748
5,1942-10-31 12:15:00,39,39,USGS,12020000,40,1942-10-31 12:15:00,PDT,Yes,EN,USGS,311.19,3600.0,Fair,,1.3,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,unkno,3600.0,149.0,865.0,4.16,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,101.94064773120002,94.850712,120.6346633904769,-18.694015659276886,-13.71830178157741,7.937067899907041,-14.069847184091529
6,1942-12-10 12:45:00,40,40,USGS,12020000,41,1942-12-10 12:45:00,PDT,Yes,S/EN,USGS,308.98,2160.0,Good,,1.8,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,unkno,2160.0,143.0,534.0,4.04,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,61.16438863872001,94.177104,62.00858214857163,-0.844193509851614,-13.71830178157741,7.937067899907041,-13.823115519025748
7,1943-04-03 09:05:00,43,43,USGS,12020000,44,1943-04-03 09:05:00,PDT,Yes,FWK,USGS,309.04,2290.0,Good,,1.5,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,unkno,2290.0,141.0,544.0,4.21,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,64.84557869568,94.195392,63.36649227428573,1.4790864213942712,-13.71830178157741,7.937067899907041,-13.71830178157741
8,1943-12-03 15:20:00,48,48,USGS,12020000,49,1943-12-03 15:20:00,PDT,Yes,WDS,USGS,311.72,4340.0,Fair,,1.1,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,unkno,4340.0,140.0,905.0,4.8,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,122.89511420928002,95.012256,136.9771206095231,-14.082006400243074,-13.71830178157741,7.937067899907041,-13.823115519025748
9,1946-12-12 09:40:00,73,73,USGS,12020000,74,1946-12-12 09:40:00,PST,Yes,SWD,USGS,310.0,3020.0,Excellent,,1.3,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,unkno,3020.0,147.0,689.0,4.38,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,85.51687670784001,94.488,87.12500571428575,-1.6081290064457363,-13.71830178157741,7.937067899907041,-1.6081290064457363
