,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1935-01-04 23:29:30,43,43,USGS,12027500,44,1935-01-04 23:29:30,PST,Yes,RBK,USGS,135.28,7720.0,Unspecified,-0.01,2.2,,NONE,1,Main,unkn,QSCMM,unkno,7720.0,224.0,3030.0,2.55,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,41.233344,218.60605569024003,212.24967253333372,6.356383156906304,37.55498811680076,43.077983294318926,6.356383156906304
1,1935-01-25 14:50:00,44,44,USGS,12027500,45,1935-01-25 14:50:00,PST,Yes,RBK,USGS,140.77,22400.0,Unspecified,-0.11,2.8,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,22400.0,236.0,4400.0,5.09,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,42.906696,634.2973636608001,581.5908246666653,52.7065389941348,37.55498811680076,43.077983294318926,29.531461075520554
2,1936-01-06 15:35:00,48,48,USGS,12027500,49,1936-01-06 15:35:00,PST,Yes,RBK,USGS,139.01,16400.0,Unspecified,-0.2,2.6,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,16400.0,234.0,3940.0,4.16,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,42.370248,464.3962841088001,437.844643199999,26.55164090880112,37.55498811680076,43.077983294318926,26.55164090880112
3,1936-01-13 16:35:00,49,49,USGS,12027500,50,1936-01-13 16:35:00,PST,Yes,RBK,USGS,143.79,36600.0,Unspecified,-0.02,1.0,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,36600.0,234.0,5060.0,7.23,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,43.827192,1036.3965852672002,940.8180527999973,95.57853246720288,37.55498811680076,43.077983294318926,39.62908995146796
4,1936-01-14 11:20:00,50,50,USGS,12027500,51,1936-01-14 11:20:00,PST,Yes,RBK,USGS,141.95,26900.0,Unspecified,-0.28,2.0,,NONE,1,Imported Channel 1,BRDS,unspe,unkno,26900.0,234.0,4630.0,5.81,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,43.26636,761.7231733248001,713.1648379999997,48.558335324800396,37.55498811680076,43.077983294318926,48.558335324800396
5,1936-01-18 23:29:30,51,51,USGS,12027500,52,1936-01-18 23:29:30,PST,Yes,RBK,USGS,135.71,8290.0,Unspecified,-0.1,2.25,,NONE,1,Main,unkn,QSCMM,unkno,8290.0,228.0,3190.0,2.6,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,41.364408000000005,234.74665824768005,234.66951173333376,0.07714651434628195,37.55498811680076,43.077983294318926,37.55498811680076
6,1936-12-23 11:45:00,55,55,USGS,12027500,56,1936-12-23 11:45:00,PST,Yes,WDS/RBK,USGS,138.76,15700.0,Unspecified,0.24,3.8,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,15700.0,260.0,4190.0,3.75,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,42.294048,444.5744914944001,420.5814826666655,23.99300882773457,37.55498811680076,43.077983294318926,26.55164090880112
7,1937-12-30 10:45:00,63,63,USGS,12027500,64,1937-12-30 10:45:00,PST,Yes,GMT,USGS,143.46,36100.0,Good,,3.8,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,VPAA,36100.0,496.0,6000.0,6.02,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,43.726608000000006,1022.2381619712002,897.9983866666696,124.23977530453055,37.55498811680076,43.077983294318926,37.55498811680076
8,1937-12-31 08:00:00,64,64,USGS,12027500,65,1937-12-31 08:00:00,PST,Yes,GMT,USGS,141.81,26900.0,Unspecified,,3.3,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,VPAA,26900.0,358.0,5210.0,5.15,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,43.223688,761.7231733248001,696.948182133334,64.77499119146614,37.55498811680076,43.077983294318926,48.558335324800396
9,1941-12-03 23:29:30,98,98,USGS,12027500,99,1941-12-03 23:29:30,PST,Yes,WHR/FFL,USGS,136.73,9910.0,Good,0.02,1.5,,NONE,1,Main,unkn,QSCMM,unkno,9910.0,261.0,3620.0,2.74,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,41.675304,280.61994972672005,291.66741199999956,-11.047462273279507,37.55498811680076,43.077983294318926,-11.047462273279507
10,1941-12-20 08:10:00,99,99,USGS,12027500,100,1941-12-20 08:10:00,PST,Yes,HCR,USGS,141.99,25200.0,Good,,1.5,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,VPAA,25200.0,360.0,5180.0,4.86,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,43.278552000000005,713.5845341184001,717.8227916000023,-4.238257481602204,37.55498811680076,44.19989694067995,-7.642859877440856
11,1941-12-20 14:40:00,100,100,USGS,12027500,101,1941-12-20 14:40:00,PST,Yes,HCR,USGS,142.32,26800.0,Good,,1.8,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,VPAA,26800.0,355.0,5320.0,5.04,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,43.379136,758.8914886656001,756.764880000001,2.1266086655991785,25.272324868267845,45.721601318662564,-4.238257481602204
12,1941-12-21 12:40:00,101,101,USGS,12027500,102,1941-12-21 12:40:00,PST,Yes,WHR,USGS,141.28,23100.0,Good,,1.5,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,VPAA,23100.0,310.0,4900.0,4.71,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,43.062144,654.1191562752001,637.0130613333338,17.10609494186633,20.54955188480045,46.05916651162032,-1.055824408001513
13,1942-11-02 00:29:30,118,118,USGS,12027500,119,1942-11-02 00:29:30,PDT,Yes,EN,USGS,135.2,6530.0,Good,-0.3,1.8,,NONE,1,Main,unkn,QSCMM,unkno,6530.0,253.0,3160.0,2.07,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,41.20896,184.90900824576,208.17226133333259,-23.263253087572593,9.616351803732755,44.31076598477282,-4.238257481602204
14,1942-12-10 00:29:30,119,119,USGS,12027500,120,1942-12-10 00:29:30,PDT,Yes,WH,USGS,135.28,7280.0,Good,0.0,1.4,,NONE,1,Main,unkn,QSCMM,unkno,7280.0,264.0,3170.0,2.3,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,41.233344,206.14664318976003,212.24967253333372,-6.103029343573695,1.1018775899727302,44.348029105086724,-5.17064341258795
15,1943-04-02 15:35:00,122,122,USGS,12027500,123,1943-04-02 15:35:00,PDT,Yes,FWK,USGS,138.97,15700.0,Good,-0.04,2.2,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,15700.0,264.0,4200.0,3.74,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,42.358056000000005,444.5744914944001,435.05999040000063,9.514501094399463,5.820554879999321,44.00521329854872,-4.238257481602204
16,1945-12-30 10:45:00,146,146,USGS,12027500,147,1945-12-30 10:45:00,PST,Yes,JCI,USGS,141.16,20900.0,Good,-0.08,1.7,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,20900.0,305.0,4720.0,4.43,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,43.025568,591.8220937728001,623.8037866666663,-31.981692893866125,-1.055824408001513,46.86687143166072,-11.23359589973333
17,1946-01-04 13:20:00,147,147,USGS,12027500,148,1946-01-04 13:20:00,PST,Yes,WC,USGS,138.61,13800.0,Good,0.1,1.5,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,13800.0,262.0,3910.0,3.53,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,42.24832800000001,390.7724829696001,410.37742586666843,-19.604942897068327,-5.17064341258795,27.301497485683356,-19.604942897068327
18,1946-12-11 10:05:00,158,158,USGS,12027500,159,1946-12-11 10:05:00,PST,Yes,FTH / D,USGS,138.41,13600.0,Excellent,0.18,1.5,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,13600.0,262.0,3860.0,3.52,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,42.187368,385.10911365120006,396.93124106666704,-11.82212741546698,-8.575245808426601,14.996232535161692,-19.604942897068327
19,1948-11-18 00:29:30,174,174,USGS,12027500,175,1948-11-18 00:29:30,PDT,Yes,RHB,USGS,136.27,8570.0,Good,0.06,1.2,,NONE,1,Main,unkn,QSCMM,unkno,8570.0,258.0,3160.0,2.71,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,41.535096,242.67537529344003,265.3169092000003,-22.641533906560255,-8.962578379520338,15.695788099816266,-21.12323840181429
20,1948-12-02 14:15:00,175,175,USGS,12027500,176,1948-12-02 14:15:00,PDT,Yes,JJW / M,USGS,139.65,16800.0,Good,0.22,1.5,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,16800.0,263.0,4070.0,4.13,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,42.56532000000001,475.7230227456001,483.36301066666846,-7.639987921068382,-9.731057668267681,15.615592764972934,-19.604942897068327
21,1949-12-29 12:35:00,187,187,USGS,12027500,188,1949-12-29 12:35:00,PST,Yes,DGA,USGS,141.64,22900.0,Excellent,-0.09,1.9,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,22900.0,316.0,4730.0,4.84,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,43.171872,648.4557869568001,677.4684480000004,-29.012661043200296,-15.713535156267653,37.32763930950062,-22.641533906560255
22,1950-02-28 08:55:00,189,189,USGS,12027500,190,1950-02-28 08:55:00,PST,Yes,PTS/FTH,USGS,139.75,17400.0,Good,-0.11,1.4,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,17400.0,268.0,4120.0,4.22,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,42.5958,492.7131307008001,490.6509533333329,2.0621773674672,-9.731057668267681,36.783337393318924,-15.140760913814319
23,1950-03-17 23:29:30,190,190,USGS,12027500,191,1950-03-17 23:29:30,PST,Yes,SRO,USGS,135.86,8650.0,Good,0.35,1.5,,NONE,1,Main,unkn,QSCMM,unkno,8650.0,257.0,3100.0,2.79,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,41.41012800000001,244.94072302080005,242.72469866666796,2.216024354132088,-9.731057668267681,36.77849063597599,-7.639987921068382
24,1950-11-30 23:29:30,197,197,USGS,12027500,198,1950-11-30 23:29:30,PST,Yes,JJL,USGS,135.43,7250.0,Good,0.39,1.5,,NONE,1,Main,unkn,QSCMM,unkno,7250.0,250.0,2840.0,2.55,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,41.279064000000005,205.29713779200003,219.95963613333444,-14.662498341334413,-13.242312878400696,36.78071531619491,-11.151243131201397
25,1951-02-11 08:25:00,199,199,USGS,12027500,200,1951-02-11 08:25:00,PST,Yes,DGA,USGS,143.18,31100.0,Good,,2.1,Unspecifed,NONE,1,Imported Channel 1,CWAY,QSCMM,VPAA,31100.0,,5640.0,5.51,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,43.64126400000001,880.6539290112001,862.3655338666703,18.288395144529886,-9.731057668267681,35.91901946041467,-7.639987921068382
