,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1976-01-19 14:55:00,415,35.0,USGS,14243000,416,1/19/1976 14:55,PST,Yes,jdd,USGS,38.09,23900,Good,-0.05,1.5,Clear,NONE,1.0,Imported Channel 1,CWAY,QSCMM,VPAA,23900.0,369.0,4130.0,5.79,UNSP,UNSP,UNSP,unkn,EVEN,UNSP,UNSP,,11.609832,676.7726335488001,639.6039677176473,37.16866583115279,-1449.2643457248373,665.5736773013036,37.16866583115279
1,1977-11-26 12:37:00,424,44.0,USGS,14243000,425,11/26/1977 12:37,PST,Yes,hig,USGS,41.59,41400,Good,-0.04,1.4,DebrisLight,NONE,1.0,Imported Channel 1,CWAY,QSCMM,VPAA,41400.0,380.0,5570.0,7.43,UNSP,UNSP,UNSP,unkn,EVEN,UNSP,UNSP,,12.676632,1172.3174489088,1037.5536396235295,134.76380928527055,-1449.2643457248373,665.5736773013036,85.96623755821167
2,1980-05-20 08:05:00,438,58.0,USGS,14243000,439,5/20/1980 8:05,PDT,Yes,jki/sag,USGS,45.91,6200,Fair,0.12,0.6,DebrisLight,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,6200.0,340.0,1170.0,5.28,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,13.993368,175.5644488704,1625.9900875294115,-1450.4256386590116,-1449.2643457248373,665.5736773013036,-657.8309146868705
3,1980-05-20 12:10:00,439,59.0,USGS,14243000,440,5/20/1980 12:10,PDT,Yes,qui/hig,USGS,45.9,6230,Fair,0.0,0.6,DebrisLight,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,6230.0,364.0,1040.0,5.95,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,13.99032,176.41395426816004,1624.5170070588233,-1448.1030527906632,-1449.2643457248373,665.5736773013036,-1448.1030527906632
4,1980-05-21 09:18:00,440,60.0,USGS,14243000,441,5/21/1980 9:18,PDT,Yes,jki/pec,USGS,46.16,8410,Fair,0.06,0.7,DebrisLight,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,8410.0,380.0,1440.0,5.84,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,14.069568,238.14467983872004,1663.0035708235291,-1424.858890984809,-1449.2643457248373,665.5736773013036,-1436.4809718877361
5,1980-05-21 14:20:00,441,61.0,USGS,14243000,442,5/21/1980 14:20,PDT,Yes,jki/pec,USGS,46.21,7890,Fair,-0.02,0.8,DebrisLight,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,7890.0,367.0,1210.0,6.53,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,14.084808,223.41991961088004,1670.5142014117646,-1447.0942818008846,-1449.2643457248373,665.5736773013036,-1447.0942818008846
6,1980-05-22 08:40:00,442,62.0,USGS,14243000,443,5/22/1980 8:40,PDT,Yes,jki,USGS,46.56,6930,Fair,0.02,0.8,DebrisLight,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,6930.0,370.0,1350.0,5.13,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,14.191488,196.23574688256,1723.0886155294113,-1526.8528686468512,-1449.2643457248373,665.5736773013036,-1447.5986672957738
7,1980-05-22 16:59:00,443,63.0,USGS,14243000,444,5/22/1980 16:59,PDT,Yes,pec,USGS,46.74,8020,Fair,0.06,0.8,DebrisLight,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,8020.0,370.0,1390.0,5.77,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,14.246352000000002,227.10110966784003,1750.3733543529418,-1523.2722446851017,-1449.2643457248373,665.5736773013036,-1448.1030527906632
8,1980-05-23 08:40:00,444,64.0,USGS,14243000,445,5/23/1980 8:40,PDT,Yes,jki,USGS,47.09,9040,Fair,-0.07,0.7,DebrisLight,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,9040.0,373.0,1720.0,5.26,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,14.353032000000002,255.98429319168005,1803.945540235295,-1547.961247043615,-1449.2643457248373,665.5736773013036,-1449.2643457248373
9,1980-05-23 17:00:00,445,65.0,USGS,14243000,446,5/23/1980 17:00,PDT,Yes,djk,USGS,47.09,9430,Fair,-0.05,0.9,DebrisLight,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,9430.0,370.0,1820.0,5.19,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,14.353032000000002,267.02786336256,1803.945540235295,-1536.917676872735,-1449.2643457248373,665.5736773013036,-1450.4256386590116
