,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1932-11-17 00:00:00,8,8,USGS,14226500,22,1932-11-17,,Yes,RBK,USGS,7.6,10600,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,10600.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.31648,300.15857387520003,251.863872,48.29470187520005,-17.763113919786637,43.43981811109403,48.29470187520005
1,1932-11-30 00:00:00,9,9,USGS,14226500,23,1932-11-30,,Yes,RBK,USGS,5.0,3260,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3260.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.524,92.31291988992,73.09147333333334,19.221446556586656,-17.763113919786637,43.43981811109403,33.75807421589335
2,1933-06-08 00:00:00,12,12,USGS,14226500,26,1933-06-08,,Yes,RBK,USGS,6.34,5310,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,5310.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.932432,150.36245540352002,154.42297439999996,-4.060518996479942,-17.763113919786637,43.43981811109403,19.221446556586656
3,1933-12-07 00:00:00,14,14,USGS,14226500,28,1933-12-07,,Yes,FS,USGS,5.24,3590,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3590.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.597152,101.65747926528002,85.69852799999998,15.958951265280035,-17.763113919786637,43.43981811109403,17.590198910933346
4,1933-12-09 00:00:00,15,15,USGS,14226500,29,1933-12-09,,Yes,FS,USGS,8.24,12600,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,12600.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.511552,356.79226705920007,308.3680405333333,48.42422652586674,-17.763113919786637,43.43981811109403,19.221446556586656
5,1941-11-14 00:00:00,19,19,USGS,14226500,85,1941-11-14,,Yes,PCB,USGS,6.85,4620,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,4620.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.08788,130.82383125504003,191.58923200000004,-60.765400744960004,-17.763113919786637,43.43981811109403,-60.765400744960004
6,1942-05-21 00:00:00,23,23,USGS,14226500,89,1942-05-21,,Yes,FVB,USGS,6.41,3660,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3660.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.953768,103.63965852672,159.35634186666664,-55.71668333994664,-17.763113919786637,43.43981811109403,-58.24104204245332
7,1942-07-16 00:00:00,24,24,USGS,14226500,90,1942-07-16,,Yes,DJFC,USGS,5.17,1720,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1720.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.575816,48.704976138240006,81.84382400000003,-33.13884786176002,-17.763113919786637,43.43981811109403,-55.71668333994664
8,1942-11-24 00:00:00,27,27,USGS,14226500,93,1942-11-24,,Yes,JRT,USGS,7.9,7530,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,7530.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.4079200000000003,213.22585483776004,277.78637066666676,-64.56051582890672,-17.763113919786637,43.43981811109403,-58.24104204245332
9,1942-12-10 00:00:00,28,28,USGS,14226500,94,1942-12-10,,Yes,WH,USGS,5.0,1470,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1470.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.524,41.62576449024001,73.09147333333334,-31.46570884309333,-17.763113919786637,43.43981811109403,-55.71668333994664
10,1943-05-20 00:00:00,32,32,USGS,14226500,98,1943-05-20,,Yes,HMK,USGS,5.58,2260,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2260.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.700784,63.99607329792001,105.20799008000002,-41.21191678208,-32.302278352426676,38.64242796932259,-48.46430006101332
11,1943-07-05 00:00:00,33,33,USGS,14226500,99,1943-07-05,,Yes,DJFC,USGS,6.23,2860,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2860.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.898904,80.98618125312001,146.8501168,-65.86393554687999,-37.17538232192001,38.23303149118471,-55.71668333994664
12,1943-07-06 00:00:00,34,34,USGS,14226500,100,1943-07-06,,Yes,DJFC,USGS,5.44,3260,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3260.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.6581120000000005,92.31291988992,96.97045205333342,-4.657532163413421,-37.17538232192001,38.18978637469295,-48.46430006101332
13,1944-05-26 00:00:00,40,40,USGS,14226500,106,1944-05-26,,Yes,DTS,USGS,5.18,1720,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1720.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.578864,48.704976138240006,82.39449600000002,-33.68951986176001,-37.45071832192001,34.72201091524881,-41.21191678208
14,1944-11-23 00:00:00,45,45,USGS,14226500,112,1944-11-23,,Yes,JRT/WMC,USGS,5.62,1500,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1500.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.712976,42.47526988800001,107.59418400000001,-65.118914112,-48.46430006101332,20.209756516145532,-41.21191678208
15,1945-02-15 00:00:00,47,47,USGS,14226500,114,1945-02-15,,Yes,WMC,USGS,4.95,1440,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1440.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.50876,40.77625909248,71.0944576,-30.318198507520002,-37.45071832192001,19.96636044059414,-37.45071832192001
16,1945-05-30 00:00:00,50,50,USGS,14226500,117,1945-05-30,,Yes,JCI,USGS,6.68,4510,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,4510.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.036064,127.70897812992,178.84738666666672,-51.138408536746724,-37.45071832192001,19.68198407654069,-37.45071832192001
17,1945-09-20 00:00:00,53,53,USGS,14226500,120,1945-09-20,,Yes,JCI,USGS,5.0,1230,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1230.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.524,34.82972130816,73.09147333333334,-38.26175202517334,-39.73683440362667,19.488065986094643,-39.73683440362667
18,1945-10-25 00:00:00,54,54,USGS,14226500,121,1945-10-25,,Yes,JCI,USGS,4.96,1700,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1700.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.511808,48.13863920640001,71.49386074666667,-23.355221540266662,-35.97563594346667,18.674796786358932,-38.26175202517334
19,1945-11-01 00:00:00,55,55,USGS,14226500,122,1945-11-01,,Yes,JCI,USGS,5.38,1230,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1230.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.639824,34.82972130816,93.54238677333332,-58.712665465173316,-39.73683440362667,19.502482049805195,-39.73683440362667
20,1946-04-25 00:00:00,59,59,USGS,14226500,126,1946-04-25,,Yes,JCI,USGS,5.88,3200,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3200.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.792224,90.6139090944,123.736504,-33.122594905599996,-35.97563594346667,19.670487304215367,-38.26175202517334
21,1946-05-22 00:00:00,60,60,USGS,14226500,127,1946-05-22,,Yes,WMD,USGS,7.08,4910,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,4910.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.1579840000000003,139.03571676672,209.34584480000004,-70.31012803328005,-35.97563594346667,20.34799258613425,-38.26175202517334
22,1946-06-27 00:00:00,61,61,USGS,14226500,128,1946-06-27,,Yes,JCI,USGS,5.84,2500,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2500.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.780032,70.79211648,121.21140533333335,-50.41928885333334,-44.34052043925334,15.975458096765927,-44.34052043925334
23,1946-07-16 00:00:00,62,62,USGS,14226500,129,1946-07-16,,Yes,WMC,USGS,5.59,2090,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2090.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.703832,59.18220937728001,105.79966784000001,-46.61745846272,-48.518373658026675,15.432347312161525,-46.61745846272
24,1946-11-27 00:00:00,65,65,USGS,14226500,132,1946-11-27,,Yes,JS,USGS,7.38,5860,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,5860.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.249424,165.93672102912004,233.47425919999995,-67.53753817087991,-48.518373658026675,15.767746614714216,-48.518373658026675
25,1946-12-04 00:00:00,66,66,USGS,14226500,133,1946-12-04,,Yes,SWD,USGS,5.58,2560,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2560.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.700784,72.49112727552001,105.20799008000002,-32.71686280448,-48.518373658026675,15.502135445847529,-46.61745846272
26,1946-12-13 00:00:00,67,67,USGS,14226500,134,1946-12-13,,Yes,SWD,USGS,10.01,13200,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,13200.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.051048,373.7823750144,487.5283013333334,-113.74592631893341,-48.518373658026675,26.20712760996132,-48.518373658026675
27,1947-03-12 00:00:00,69,69,USGS,14226500,136,1947-03-12,,Yes,JCI,USGS,4.96,1080,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1080.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.511808,30.582194319360006,71.49386074666667,-40.91166642730666,-48.518373658026675,26.049073068224992,-46.61745846272
28,1947-05-01 00:00:00,70,70,USGS,14226500,137,1947-05-01,,Yes,WMD,USGS,6.26,2740,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2740.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.908048,77.58815966208002,148.9154416,-71.32728193791999,-54.56597715925333,24.180938870209186,-48.518373658026675
29,1947-06-17 00:00:00,71,71,USGS,14226500,138,1947-06-17,,Yes,WLM,USGS,6.36,3090,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3090.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.9385280000000005,87.49905596928001,155.8213392000001,-68.32228323072009,-58.97841351210663,24.37860598341529,-50.77884869504003
30,1947-10-27 00:00:00,74,74,USGS,14226500,141,1947-10-27,,Yes,WLM,USGS,5.04,1510,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1510.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.536192,42.758438353920006,74.95355312,-32.19511476607999,-58.97841351210663,24.491624099355608,-50.41928885333334
31,1947-12-18 00:00:00,75,75,USGS,14226500,142,1947-12-18,,Yes,WLM,USGS,5.67,2440,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2440.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.728216,69.09310568448001,110.65234400000001,-41.559238315520005,-48.518373658026675,24.756038101282098,-46.61745846272
32,1948-01-12 00:00:00,76,76,USGS,14226500,143,1948-01-12,,Yes,WLM,USGS,4.96,1240,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1240.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.511808,35.11288977408,71.49386074666667,-36.38097097258667,-44.08834838912,25.527405306087118,-44.08834838912
33,1948-03-01 00:00:00,77,77,USGS,14226500,144,1948-03-01,,Yes,WLM,USGS,5.14,1380,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1380.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.566672,39.07724829696001,80.24941925333334,-41.172170956373336,-41.36570463594667,25.785965015774565,-44.08834838912
34,1948-05-10 00:00:00,79,79,USGS,14226500,146,1948-05-10,,Yes,WLM,USGS,5.64,2070,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2070.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.719072,58.61587244544001,108.817448,-50.20157555455999,-41.36570463594667,25.398387075894046,-46.61745846272
35,1948-06-10 00:00:00,80,80,USGS,14226500,147,1948-06-10,,Yes,JCI,USGS,7.3,6960,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,6960.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.22504,197.08525228032,226.96589866666662,-29.880646386346626,-41.36570463594667,25.662694378891956,-41.559238315520005
36,1949-04-29 00:00:00,89,89,USGS,14226500,156,1949-04-29,,Yes,JCI,USGS,5.62,3200,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3200.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.712976,90.6139090944,107.59418400000001,-16.980274905600012,-41.041918691839996,16.716192767997573,-44.08834838912
37,1949-06-01 00:00:00,90,90,USGS,14226500,157,1949-06-01,,Yes,WLM,USGS,5.9,3550,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3550.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.79832,100.52480540160002,124.99905333333331,-24.474247931733288,-38.77657096448,17.711232469630563,-41.36570463594667
38,1949-06-30 00:00:00,91,91,USGS,14226500,158,1949-06-30,,Yes,JCI,USGS,5.14,2110,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2110.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.566672,59.74854630912001,80.24941925333334,-20.500872944213334,-34.288042869333324,15.241310185992612,-41.041918691839996
39,1950-01-25 00:00:00,96,96,USGS,14226500,163,1950-01-25,,Yes,CRL,USGS,5.47,2010,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2010.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.667256,56.91686164992001,98.69953472,-41.782673070079994,-34.288042869333324,10.634338809742838,-40.91166642730666
40,1950-03-23 00:00:00,97,97,USGS,14226500,164,1950-03-23,,Yes,PGS,USGS,5.18,1330,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1330.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.578864,37.66140596736,82.39449600000002,-44.73309003264002,-38.77657096448,11.18650737900655,-41.172170956373336
41,1950-05-11 00:00:00,98,98,USGS,14226500,165,1950-05-11,,Yes,PGS,USGS,6.0,2510,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2510.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.8288,71.07528494592002,131.4942,-60.41891505407999,-38.77657096448,13.75409037735055,-41.172170956373336
42,1950-06-07 00:00:00,99,99,USGS,14226500,166,1950-06-07,,Yes,WMD,USGS,6.6,3330,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3330.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.01168,94.29509915136002,172.97943200000006,-78.68433284864004,-41.477422013226665,19.120132254379715,-41.36570463594667
43,1950-07-03 00:00:00,100,100,USGS,14226500,167,1950-07-03,,Yes,FTH,USGS,7.64,5190,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,5190.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.328672,146.96443381248002,255.25406080000005,-108.28962698752002,-43.25788155136001,28.642093500525874,-41.36570463594667
44,1950-07-07 00:00:00,101,101,USGS,14226500,168,1950-07-07,,Yes,JJL/PGS,USGS,7.5,4670,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,4670.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.286,132.23967358464003,243.4384,-111.19872641535997,-43.25788155136001,35.03957428625679,-41.559238315520005
