,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1982-06-01 00:00:00,446,341.0,USGS,12097500.0,449.0,6/1/1982,,Yes,REQ,USGS,4.69,513.0,Unspecified,,,,MEAS,1.0,Imported Channel 1,UNSP,other,,513.0,51.0,69.3,1.82,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.429512,14.526542301696002,19.52473591111111,-4.998193609415109,-2.1031442234737767,4.197331796421668,-4.998193609415109
1,1983-05-31 00:00:00,451,346.0,USGS,12097500.0,454.0,5/31/1983,,Yes,REQ,USGS,4.8,579.0,Unspecified,,,,MEAS,1.0,Imported Channel 1,UNSP,other,,579.0,47.0,36.3,0.98,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.46304,16.395454176768002,21.2000247111111,-4.8045705343430996,-2.1031442234737767,4.197331796421668,-4.901382071879104
2,1984-05-31 00:00:00,455,350.0,USGS,12097500.0,458.0,5/31/1984,,Yes,REQ,USGS,4.52,517.0,Unspecified,,,,MEAS,1.0,Imported Channel 1,UNSP,other,,517.0,45.0,33.6,1.29,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.377696,14.639809688064002,17.04051984,-2.400710151936,-2.1031442234737767,4.197331796421668,-4.8045705343430996
3,1985-11-04 00:00:00,462,357.0,USGS,12097500.0,465.0,11/4/1985,,Yes,MCM,USGS,4.69,579.0,Fair,0.02,1.6,,MEAS,1.0,Imported Channel 1,UNSP,other,,579.0,48.0,52.4,1.5,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.429512,16.395454176768002,19.52473591111111,-3.1292817343431096,-2.1031442234737767,4.197331796421668,-3.1292817343431096
4,1987-05-12 00:00:00,468,363.0,USGS,12097500.0,471.0,5/12/1987,,Yes,MCM,USGS,4.64,601.0,Fair,-0.02,1.6,,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,601.0,45.0,34.1,1.02,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.414272,17.018424801792,18.779988604444448,-1.7615638026524465,-2.1031442234737767,4.197331796421668,-2.400710151936
5,1993-05-13 11:15:00,494,389.0,USGS,12097500.0,497.0,5/13/1993 11:15,PDT,Yes,KEF,USGS,4.79,599.0,Fair,-0.01,1.8,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,599.0,42.8,70.1,1.08,FIRM,BLDR,UNEV,unkn,EVEN,UNSP,ATGA,,1.4599920000000002,16.961791108608004,21.046419057777786,-4.084627949169782,-2.1031442234737767,4.197331796421668,-4.084627949169782
6,1994-12-27 11:15:00,505,400.0,USGS,12097500.0,508.0,12/27/1994 11:15,PST,Yes,MKB/SAG,USGS,5.41,1170.0,Fair,0.02,0.4,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,1170.0,38.0,73.6,1.53,FIRM,BLDR,EVEN,unkn,EVEN,STND,DNST,10.0,1.6489680000000002,33.13071051264001,31.471680391111125,1.6590301215288825,-2.1031442234737767,4.197331796421668,-1.2127989138204498
7,1994-12-27 12:10:00,506,401.0,USGS,12097500.0,509.0,12/27/1994 12:10,PST,Yes,SAG/MKB,USGS,5.39,1130.0,Fair,0.01,0.6,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,1130.0,38.9,86.2,1.71,FIRM,BLDR,EVEN,unkn,EVEN,UNFM,ATGA,,1.642872,31.998036648960007,31.108997937777783,0.8890387111822236,-2.1031442234737767,4.197331796421668,0.8890387111822236
8,1995-02-01 11:40:00,507,402.0,USGS,12097500.0,510.0,2/1/1995 11:40,PST,Yes,EDT/KEF,USGS,4.84,707.0,Good,0.03,0.8,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,707.0,38.8,170.0,2.96,FIRM,BLDR,EVEN,unkn,EVEN,STND,ATGA,,1.475232,20.020010540544003,21.825588835555557,-1.8055782950115535,-2.1031442234737767,4.197331796421668,-0.458269791914665
9,1996-01-10 12:15:00,514,409.0,USGS,12097500.0,517.0,1/10/1996 12:15,PST,Yes,EDT,USGS,4.59,608.0,Good,0.02,1.1,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,608.0,39.7,58.7,0.86,FIRM,CBLS,EVEN,unkn,EVEN,STND,ATGA,,1.399032,17.216642727936,18.045894737777783,-0.829252009841781,-1.783571048832,3.972742709897613,-0.829252009841781
10,1996-02-23 09:53:00,516,411.0,USGS,12097500.0,519.0,2/23/1996 9:53,PST,Yes,EDT,USGS,4.54,471.0,Good,0.02,1.2,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,471.0,43.3,79.7,2.03,FIRM,CBLS,EVEN,unkn,EVEN,STND,ATGA,,1.383792,13.337234744832005,17.327275679999996,-3.9900409351679915,-1.783571048832,3.8872276622866027,-1.3174151524266673
11,1996-04-25 12:45:00,517,412.0,USGS,12097500.0,520.0,4/25/1996 12:45,PDT,Yes,EDT,USGS,4.49,437.0,Good,0.02,1.2,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,437.0,59.6,164.0,3.12,FIRM,BLDR,UNEV,unkn,EVEN,STND,ATGA,,1.3685520000000002,12.374461960704002,16.617779786666674,-4.243317825962672,-1.783571048832,4.021156957582956,-1.8055782950115535
12,1997-03-19 11:28:00,523,418.0,USGS,12097500.0,526.0,3/19/1997 11:28,PST,Yes,JEJ/DTS,USGS,5.15,752.0,Good,0.03,0.7,Clear,MEAS,1.0,Imported Channel 1,WADE,unspe,unkno,752.0,47.9,82.9,1.67,FIRM,BLDR,EVEN,unkn,EVEN,UNFM,UPST,20.0,1.5697200000000002,21.294268637184004,26.898156355555574,-5.6038877183715705,-1.783571048832,4.248278444281987,-1.8055782950115535
13,1999-06-08 11:48:00,537,432.0,USGS,12097500.0,540.0,6/8/1999 11:48,PDT,Yes,JCT,USGS,4.55,466.0,Good,0.01,0.8,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,466.0,48.0,43.8,0.82,FIRM,GRVL,EVEN,unkn,UNEV,STND,DNST,10.0,1.38684,13.195650511872,17.470653600000006,-4.275003088128006,-2.8978096150897725,4.366133886027164,-4.939445403249788
14,2002-05-30 11:11:00,555,450.0,USGS,12097500.0,558.0,5/30/2002 11:11,PDT,Yes,JCT,USGS,5.1,794.0,Good,-0.02,0.9,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,794.0,46.0,45.5,0.75,FIRM,CBLS,EVEN,STDY,EVEN,STND,DNST,5.0,1.55448,22.483576194048,26.049057155555563,-3.565480961507564,-2.685529628259559,4.332649930678596,-3.920242024817785
15,2006-01-13 15:25:00,577,472.0,USGS,12097500.0,580.0,1/13/2006 15:25,PST,Yes,CAC,USGS,5.12,741.0,Fair,-0.01,1.0,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,741.0,,,,,,,,,,,,1.5605760000000002,20.982783324672003,26.38836819555557,-5.405584870883569,-3.777760948337778,4.376936635148461,-5.405584870883569
16,2007-03-14 11:25:00,585,480.0,USGS,12097500.0,588.0,3/14/2007 11:25,PDT,Yes,CAC,USGS,4.98,709.0,Good,-0.01,0.9,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,709.0,,,,,,,,,,,,1.517904,20.076644233728004,24.06393543111111,-3.9872911973831044,-3.988666066275548,4.292502590633343,-4.696438034133337
17,2008-05-30 11:39:00,591,486.0,USGS,12097500.0,595.0,5/30/2008 11:39,PDT,Yes,mkb/fmr,USGS,5.33,924.0,Fair,0.04,0.4,Clear,MEAS,1.0,Imported Channel 1,UNSP,QADCP,VADCP,924.0,,,,,,,,,,,,1.624584,26.164766251008004,30.033013297777774,-3.8682470467697705,-3.988666066275548,4.306645921170614,-3.9872911973831044
18,2009-01-16 13:10:00,596,491.0,USGS,12097500.0,600.0,1/16/2009 13:10,PST,Yes,MKB/FMR,USGS,4.5,465.0,Fair,0.0,0.2,Clear,UNSP,1.0,Imported Channel 1,MBOT,QADCP,VADCP,465.0,,,,,,,,,,,,1.3716000000000002,13.167333665280005,16.757662666666672,-3.5903290013866673,-3.988666066275548,1.293990115560009,-3.8682470467697705
19,2009-05-13 13:03:00,598,493.0,USGS,12097500.0,602.0,5/13/2009 13:03,PDT,Yes,MKB,USGS,4.48,437.0,Fair,0.0,0.3,Clear,UNSP,1.0,Imported Channel 1,MBOT,QADCP,VADCP,437.0,,,,,,,,,,,,1.3655040000000005,12.374461960704002,16.47789690666669,-4.103434945962688,-4.04673794056534,0.6972041638075959,-3.9277691220764375
20,2010-06-09 10:43:00,606,501.0,USGS,12097500.0,610.0,6/9/2010 10:43,PDT,Yes,MKB/KJO,USGS,4.52,522.0,Fair,0.0,0.3,Clear,MEAS,1.0,Imported Channel 1,UNSP,QADCP,VADCP,522.0,,,,,,,,,,,,1.377696,14.781393921024002,17.04051984,-2.2591259189760002,-4.045363071672896,0.9438188963619296,-3.729288024078219
21,2011-01-27 13:09:00,613,508.0,USGS,12097500.0,617.0,1/27/2011 13:09,PST,Yes,MKB,USGS,4.64,543.0,Fair,0.03,0.6,Clear,MEAS,1.0,Imported Channel 1,BRDS,QADCP,VADCP,543.0,,,,,,,,,,,,1.414272,15.376047699456002,18.779988604444448,-3.4039409049884455,-3.9277691220764375,0.965755212095137,-3.5903290013866673
22,2011-06-22 08:47:00,615,510.0,USGS,12097500.0,619.0,6/22/2011 8:47,PDT,Yes,MKB,USGS,4.7,577.0,Good,0.0,1.0,Clear,MEAS,1.0,Imported Channel 1,BRDS,QSCMM,VPAA,577.0,,,,,,,,,,,,1.43256,16.338820483584,19.674968444444453,-3.336147960860451,-3.729288024078219,0.8011377462367056,-3.4039409049884455
