,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1981-02-18 00:00:00,269,269,USGS,12073500,276,1981-02-18,,Yes,JKT,USGS,2.48,68.4,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,68.4,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.755904,1.9368723068928004,1.7884981835294118,0.14837412336338862,0.14412659637458836,0.8882282456766505,0.14837412336338862
1,1981-02-19 00:00:00,270,270,USGS,12073500,278,1981-02-19,,Yes,DJK,USGS,3.07,125.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,125.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.935736,3.539605824000001,2.9557515858823527,0.5838542381176484,0.14412659637458836,0.8882282456766505,0.3661141807405185
2,1982-12-16 00:00:00,284,284,USGS,12073500,292,1982-12-16,,Yes,SS,USGS,2.64,82.3,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,82.3,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.804672,2.3304764745216,2.0792329882352947,0.2512434862863051,0.14412659637458836,0.8882282456766505,0.2512434862863051
3,1986-11-24 00:00:00,309,309,USGS,12073500,317,1986-11-24,,Yes,WVF,USGS,2.62,66.0,Fair,,,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,66.0,20.0,25.0,2.64,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.7985760000000001,1.868911875072,2.0415862964705886,-0.17267442139858868,0.14412659637458836,0.8882282456766505,-0.17267442139858868
4,1990-01-09 12:35:00,328,328,USGS,12073500,336,1990-01-09 12:35:00,PST,Yes,ROO,USGS,3.48,179.0,Fair,-0.02,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,179.0,26.5,42.4,0.0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.060704,5.068715539968001,4.226167774117648,0.8425477658503526,0.14412659637458836,0.8882282456766505,0.8425477658503526
5,1994-12-27 14:50:00,358,358,USGS,12073500,366,1994-12-27 14:50:00,PST,Yes,DR,USGS,3.91,222.0,Good,-0.04,0.7,DebrisLight,NONE,1,Imported Channel 1,WADE,unspe,unkno,222.0,30.5,57.2,3.88,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.1917680000000002,6.286339943424001,6.069537200000004,0.2168027434239974,0.14412659637458836,0.8882282456766505,0.2168027434239974
6,1995-11-29 14:31:00,364,364,USGS,12073500,372,1995-11-29 14:31:00,PST,Yes,DR,USGS,3.68,177.0,Fair,0.01,0.9,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,177.0,33.0,55.2,3.21,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.121664,5.0120818467840005,5.047752842352939,-0.035670995568938935,0.14412659637458836,0.8882282456766505,0.09056587392752924
7,1996-04-24 14:13:00,367,367,USGS,12073500,375,1996-04-24 14:13:00,PDT,Yes,DR,USGS,2.48,68.1,Good,-0.02,0.4,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,68.1,22.5,17.0,4.01,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.755904,1.9283772529152,1.7884981835294118,0.1398790693857881,0.14412659637458836,0.8882282456766505,0.1398790693857881
8,1997-12-17 08:45:00,377,377,USGS,12073500,385,1997-12-17 08:45:00,PST,Yes,FWS,USGS,2.53,68.9,Good,-0.03,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,68.9,15.0,22.3,3.09,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.7711439999999999,1.9510307301888004,1.8772393552941171,0.07379137489468324,0.14412659637458836,0.8882282456766505,0.10683522214023566
9,1998-01-24 14:50:00,378,378,USGS,12073500,386,1998-01-24 14:50:00,PST,Yes,FWS,USGS,2.77,80.3,Fair,0.02,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,80.3,15.0,23.2,3.46,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.844296,2.2738427813376,2.329768804705883,-0.055926023368282785,0.10683522214023566,0.8858221167403258,0.01906018966287215
10,2002-01-08 16:10:00,400,400,USGS,12073500,408,2002-01-08 16:10:00,PST,Yes,DR,USGS,3.28,150.0,Poor,-0.14,0.3,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,150.0,26.0,32.7,4.59,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.999744,4.247526988800001,3.471606715294118,0.7759202735058826,0.10683522214023566,0.9031973782048075,0.7759202735058826
11,2005-12-27 11:54:00,425,425,USGS,12073500,433,2005-12-27 11:54:00,PST,Yes,RES/JEJ,USGS,2.37,46.5,Fair,0.0,0.4,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,46.5,15.0,14.6,3.2,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.722376,1.316733366528,1.6000151152941178,-0.28328174876611767,0.01906018966287215,0.8999356340924902,-0.28328174876611767
12,2005-12-27 13:00:00,426,426,USGS,12073500,434,2005-12-27 13:00:00,PST,Yes,RES/JEJ,USGS,2.36,46.5,Fair,0.0,0.4,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,46.5,15.0,14.8,3.1,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.719328,1.316733366528,1.5833031105882351,-0.26656974406023504,0.01906018966287215,0.9013565904212255,-0.27492574641317635
13,2006-11-06 14:34:00,433,433,USGS,12073500,441,2006-11-06 14:34:00,PST,Yes,RES,USGS,2.86,84.5,Poor,-0.09,0.7,Unspecifed,NONE,1,Imported Channel 1,WADE,unspe,unkno,84.5,23.0,29.1,2.9,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.8717280000000001,2.3927735370240004,2.510613345882353,-0.11783980885835277,0.01906018966287215,0.3926020936555214,-0.26656974406023504
14,2007-12-05 16:21:00,443,443,USGS,12073500,451,2007-12-05 16:21:00,PST,Yes,RES,USGS,2.34,49.9,Fair,-0.01,0.4,Unspecifed,NONE,1,Imported Channel 1,WADE,unspe,unkno,49.9,22.6,16.0,3.12,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,0.713232,1.4130106449408002,1.5499888800000001,-0.13697823505919993,-0.04579850946861086,0.30782508142343284,-0.20177398955971748
15,2009-01-08 14:37:00,451,451,USGS,12073500,459,2009-01-08 14:37:00,PST,Yes,CAM/RES,USGS,3.05,114.0,Fair,-0.08,0.9,Clear,NONE,1,Imported Channel 1,WADE,QSCMM,VADV,114.0,21.0,34.3,3.32,FIRM,GRVL,UNEV,unkn,UNEV,UNSP,UPST,400.0,0.92964,3.2281205114880005,2.912145364705882,0.31597514678211835,-0.04579850946861086,0.31596565705356944,-0.11783980885835277
16,2009-01-08 14:46:00,452,452,USGS,12073500,460,2009-01-08 14:46:00,PST,Yes,RES/CAM,USGS,3.05,114.0,Fair,-0.08,0.7,Clear,NONE,1,Imported Channel 1,WADE,QSCMM,VPAA,114.0,21.0,34.0,3.35,FIRM,GRVL,UNEV,unkn,UNEV,UNSP,UPST,400.0,0.92964,3.2281205114880005,2.912145364705882,0.31597514678211835,0.008932675763200226,0.3259047808868703,0.0990676689618828
17,2010-12-14 15:34:00,468,468,USGS,12073500,476,2010-12-14 15:34:00,PST,Yes,RES,USGS,2.79,98.0,Fair,-0.02,0.6,Clear,NONE,1,Imported Channel 1,WADE,QSCMM,VADV,98.0,22.0,20.4,4.8,SOFT,SAND,EVEN,unkn,EVEN,STND,UPST,400.0,0.850392,2.7750509660160003,2.3692062776470593,0.40584468836894105,0.008932675763200226,0.3421367913944173,0.31597514678211835
