,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1986-11-20 00:00:00,2,2,USGS,12120600,3,1986-11-20,,Yes,SNB,USGS,5.44,235.0,Good,0.04,0.8,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,235.0,33.5,64.8,3.63,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.6581120000000005,6.654458949120001,3.438406304000008,3.2160526451199933,0.9244314705280052,1.8244040638491734,3.2160526451199933
1,1986-11-23 00:00:00,4,4,USGS,12120600,5,1986-11-23,,Yes,SNB,USGS,6.3,376.0,Good,0.09,0.8,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,376.0,36.0,77.2,4.87,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.92024,10.647134318592002,8.195567087999999,2.451567230592003,0.9244314705280052,1.8244040638491734,2.833809937855998
2,1986-11-24 00:00:00,5,5,USGS,12120600,6,1986-11-24,,Yes,SNB,USGS,7.46,714.0,Good,-0.05,0.8,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,714.0,36.0,146.0,4.9,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.2738080000000003,20.218228466688004,16.947738304000012,3.2704901626879916,0.9244314705280052,1.8244040638491734,3.2160526451199933
3,1989-04-06 10:08:00,23,23,USGS,12120600,24,1989-04-06 10:08:00,PDT,Yes,JWU,USGS,6.09,283.0,Good,-0.04,0.9,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,283.0,37.0,67.3,4.21,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.856232,8.013667585536002,6.8875548256000005,1.1261127599360012,0.9244314705280052,1.8244040638491734,2.833809937855998
4,1989-12-04 13:30:00,29,29,USGS,12120600,30,1989-12-04 13:30:00,PST,Yes,JWU,USGS,7.52,589.0,Good,0.02,1.0,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,589.0,40.0,134.0,4.4,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.292096,16.678622642688,17.467447008,-0.7888243653119993,0.9244314705280052,1.8244040638491734,0.16864419731200098
5,1989-12-05 09:25:00,30,30,USGS,12120600,31,1989-12-05 09:25:00,PST,Yes,JWU,USGS,6.08,287.0,Good,-0.1,1.0,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,287.0,37.5,70.3,4.08,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.853184,8.126934971904001,6.826988627199998,1.2999463447040034,0.9244314705280052,1.8244040638491734,1.1261127599360012
6,1990-01-09 10:20:00,31,31,USGS,12120600,32,1990-01-09 10:20:00,PST,Yes,BSP,USGS,8.87,1110.0,Fair,0.22,0.9,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1110.0,43.0,218.0,5.09,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.703576,31.431699717120004,30.708949535999995,0.7227501811200092,0.9244314705280052,1.8244040638491734,0.9244314705280052
7,1990-01-10 14:45:00,32,32,USGS,12120600,33,1990-01-10 14:45:00,PST,Yes,BSP,USGS,6.65,302.0,Good,-0.04,0.7,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,302.0,39.5,82.8,3.65,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.02692,8.551687670784002,10.570912000000003,-2.0192243292160015,0.9244314705280052,1.8244040638491734,0.7227501811200092
8,1990-01-12 12:55:00,33,33,USGS,12120600,34,1990-01-12 12:55:00,PST,Yes,BSP,USGS,5.64,129.0,Good,0.0,0.3,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,129.0,33.0,43.0,3.0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.719072,3.652873210368,4.398413487999997,-0.7455402776319975,0.9244314705280052,1.8244040638491734,-0.011395048255994134
9,1990-01-13 12:50:00,34,34,USGS,12120600,35,1990-01-13 12:50:00,PST,Yes,JWU,USGS,5.43,97.3,Fair,0.0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,97.3,31.0,38.9,2.5,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.655064,2.7552291734016,3.3924058880000025,-0.6371767145984024,0.9244314705280052,1.8244040638491734,-0.6371767145984024
10,1990-06-06 13:45:00,36,36,USGS,12120600,37,1990-06-06 13:45:00,PDT,Yes,JWU,USGS,5.44,136.0,Fair,0.02,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,136.0,33.0,42.9,3.17,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.6581120000000005,3.8510911365120006,3.438406304000008,0.4126848325119927,0.567717506816001,1.6133003897920886,-0.11224594104320484
11,1990-12-05 09:05:00,42,42,USGS,12120600,43,1990-12-05 09:05:00,PST,Yes,KBO,USGS,5.66,162.0,Good,0.01,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,162.0,36.0,50.1,3.23,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.725168,4.587329147904001,4.498210220799999,0.0891189271040016,0.25090187980799716,1.4632754762321685,0.0891189271040016
12,1991-02-21 11:45:00,43,43,USGS,12120600,44,1991-02-21 11:45:00,PST,Yes,KBO,USGS,5.67,210.0,Good,0.0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,210.0,33.0,55.3,3.79,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.728216,5.946537784320001,4.549921369599998,1.396616414720003,0.25090187980799716,1.1154037065978346,0.25090187980799716
13,1991-04-04 09:35:00,44,44,USGS,12120600,45,1991-04-04 09:35:00,PST,Yes,KBO,USGS,5.76,213.0,Good,0.05,0.5,DebrisLight,NONE,1,Imported Channel 1,WADE,unspe,unkno,213.0,36.0,57.6,3.7,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.755648,6.031488324096001,5.018717286400002,1.012771037695999,0.25090187980799716,1.1041756133552543,0.4126848325119927
14,1992-01-29 09:50:00,52,52,USGS,12120600,53,1992-01-29 09:50:00,PST,Yes,DTS,USGS,6.17,306.0,Good,0.06,0.8,DebrisLight,NONE,1,Imported Channel 1,CRAN,unspe,unkno,306.0,39.0,69.4,4.41,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.880616,8.664955057152001,7.3751956768000015,1.2897593803519998,0.567717506816001,1.1191807581136752,0.567717506816001
15,1993-03-24 12:52:00,61,61,USGS,12120600,62,1993-03-24 12:52:00,PST,Yes,RDF,USGS,5.28,115.0,Good,0.0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,115.0,34.0,37.6,3.06,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.609344,3.2564373580800003,2.739369305600001,0.5170680524799995,0.46487644249599613,1.0662035242858012,0.7649195450879993
16,1994-11-30 08:25:00,73,73,USGS,12120600,74,1994-11-30 08:25:00,PST,Yes,KEF/TN,USGS,6.93,396.0,Fair,0.16,0.6,DebrisLight,NONE,1,Imported Channel 1,CRAN,unspe,unkno,396.0,41.0,82.8,4.78,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.112264,11.213471250432002,12.641475456000002,-1.4280042055679996,0.25090187980799716,1.162486166237267,0.5170680524799995
17,1994-12-01 10:15:00,74,74,USGS,12120600,75,1994-12-01 10:15:00,PST,Yes,REQ,USGS,6.11,204.0,Good,-0.04,1.1,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,204.0,40.0,58.9,3.46,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.862328,5.776636704768001,7.008687222399999,-1.2320505176319978,0.25090187980799716,1.0305718632369156,-0.35749123257599913
18,1995-01-19 15:25:00,76,76,USGS,12120600,77,1995-01-19 15:25:00,PST,Yes,JEJ,USGS,5.39,52.6,Good,0.0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,52.6,29.0,26.7,1.97,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.642872,1.4894661307392003,3.2130545312000027,-1.7235884004608024,0.25090187980799716,1.1551843980551666,-1.2320505176319978
19,1995-02-06 08:35:00,77,77,USGS,12120600,78,1995-02-06 08:35:00,PST,Yes,REQ,USGS,5.38,53.3,Good,0.0,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,53.3,26.7,23.6,2.26,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.639824,1.5092879233536,3.1690426304,-1.6597547070463998,0.25090187980799716,1.255758129629379,-1.4280042055679996
20,1995-11-29 11:36:00,82,82,USGS,12120600,83,1995-11-29 11:36:00,PST,Yes,JCT/KF,USGS,8.06,804.0,Good,0.04,0.5,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,804.0,42.5,157.0,5.12,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.456688,22.766744659968005,22.4099408,0.3568038599680037,0.22296139353600264,1.2531840150763953,-1.3300273615999987
21,1995-12-05 10:10:00,83,83,USGS,12120600,84,1995-12-05 10:10:00,PST,Yes,REQ,USGS,5.77,136.0,Good,-0.01,0.7,DebrisLight,NONE,1,Imported Channel 1,WADE,unspe,unkno,136.0,32.0,43.1,3.16,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.758696,3.8510911365120006,5.072260892800001,-1.2211697562880004,-0.43218294815999836,1.2945994411416206,-1.2320505176319978
22,1996-02-13 13:03:00,85,85,USGS,12120600,86,1996-02-13 13:03:00,PST,Yes,REQ,USGS,5.58,102.0,Good,0.0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,102.0,31.5,41.8,2.44,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.700784,2.8883183523840006,4.099331536000001,-1.2110131836160005,-1.2160914699520005,1.1792756364638184,-1.226610136959999
23,1996-04-22 13:55:00,86,86,USGS,12120600,87,1996-04-22 13:55:00,PDT,Yes,REQ,USGS,5.23,53.1,Good,0.02,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,53.1,26.5,25.6,2.07,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.5941040000000002,1.5036245540352002,2.5335202272000017,-1.0298956731648015,-1.2160914699520005,1.0524605749042069,-1.226610136959999
24,1996-10-24 08:53:00,89,89,USGS,12120600,90,1996-10-24 08:53:00,PDT,Yes,REQ,USGS,5.24,50.4,Good,0.0,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,50.4,29.0,30.6,1.65,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.597152,1.4271690682368,2.573408793599998,-1.146239725363198,-1.2160914699520005,0.7781095892270677,-1.2211697562880004
25,1996-12-10 09:10:00,90,90,USGS,12120600,91,1996-12-10 09:10:00,PST,Yes,REQ,USGS,5.72,123.0,Good,0.0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,123.0,32.0,43.7,2.81,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.743456,3.4829721308160004,4.808477113599998,-1.3255049827839973,-1.226610136959999,0.5769564696662387,-1.226610136959999
26,1997-02-11 08:25:00,92,92,USGS,12120600,93,1997-02-11 08:25:00,PST,Yes,REQ,USGS,5.39,46.4,Good,0.0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,46.4,27.3,21.1,2.2,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.642872,1.3139016818688,3.2130545312000027,-1.8991528493312027,-1.2733373695359989,1.3167053831185496,-1.2320505176319978
27,1997-02-27 11:50:00,93,93,USGS,12120600,94,1997-02-27 11:50:00,PST,Yes,REQ,USGS,5.65,89.6,Good,0.0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,89.6,34.0,42.7,2.1,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.72212,2.5371894546432,4.44826048,-1.9110710253568,-1.2733373695359989,1.320399165019691,-1.2787777502079976
28,1997-06-02 08:35:00,95,95,USGS,12120600,96,1997-06-02 08:35:00,PDT,Yes,REQ,USGS,5.3,68.1,Good,-0.02,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,68.1,34.0,37.4,1.82,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.61544,1.9283772529152,2.8233258559999994,-0.8949486030847995,-1.2160914699520005,1.338127242092637,-1.2320505176319978
29,1998-12-02 09:30:00,105,105,USGS,12120600,106,1998-12-02 09:30:00,PST,Yes,REQ,USGS,5.81,144.0,Good,0.0,0.6,DebrisLight,NONE,1,Imported Channel 1,WADE,unspe,unkno,144.0,32.0,45.7,3.15,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.770888,4.077625909248001,5.2864353184000015,-1.2088094091520007,-1.2160914699520005,1.1764259469189733,-1.2110131836160005
30,1998-12-14 09:10:00,106,106,USGS,12120600,107,1998-12-14 09:10:00,PST,Yes,REQ,USGS,6.43,259.0,Fair,-0.02,0.8,DebrisLight,NONE,1,Imported Channel 1,CRAN,unspe,unkno,259.0,41.0,57.7,4.49,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.959864,7.334063267328001,9.0505862336,-1.7165229662719996,-1.268259083199999,1.165667502978196,-1.2110131836160005
31,1999-02-02 09:08:00,107,107,USGS,12120600,108,1999-02-02 09:08:00,PST,Yes,REQ,USGS,5.73,138.0,Good,0.0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,138.0,32.0,44.0,3.14,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.7465040000000005,3.9077248296960008,4.860188262400008,-0.9524634327040076,-1.267157195967999,1.1810394682302878,-1.2099112963840006
32,1999-06-08 09:00:00,109,109,USGS,12120600,110,1999-06-08 09:00:00,PDT,Yes,REQ,USGS,5.38,74.2,Good,0.0,0.6,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,74.2,31.0,30.5,2.43,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.639824,2.101110017126401,3.1690426304,-1.067932613273599,-1.267157195967999,1.1787124172518504,-1.2088094091520007
33,1999-11-12 12:26:00,112,112,USGS,12120600,113,1999-11-12 12:26:00,PST,Yes,jcg,USGS,7.07,446.0,Fair,-0.04,1.1,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,446.0,45.0,109.0,4.1,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.154936,12.629313580032004,13.729950624000008,-1.1006370439680033,-1.267157195967999,1.1811805149032053,-1.2088094091520007
34,1999-12-14 08:37:00,113,113,USGS,12120600,114,1999-12-14 08:37:00,PST,Yes,jcg,USGS,5.75,157.0,Good,0.01,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,157.0,27.0,41.6,3.81,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.7526000000000002,4.445744914944001,4.965173680000003,-0.5194287650560021,-1.154723226560002,1.235521099320145,-1.1006370439680033
35,2000-06-14 09:13:00,117,117,USGS,12120600,118,2000-06-14 09:13:00,PDT,Yes,jcg,USGS,5.34,77.2,Good,-0.01,0.9,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,77.2,22.8,27.8,2.78,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.627632,2.1860605569024005,2.9929950271999997,-0.8069344702975991,-1.0842848286208011,0.4784264306493653,-1.067932613273599
36,2001-06-11 13:25:00,125,125,USGS,12120600,126,2001-06-11 13:25:00,PDT,Yes,CAC,USGS,5.47,109.0,Good,-0.02,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,109.0,24.0,33.8,3.22,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.667256,3.0865362785280004,3.576407552000001,-0.48987127347200055,-1.0101980229888032,0.45932852325979007,-1.0101980229888032
37,2001-11-15 10:00:00,131,131,USGS,12120600,132,2001-11-15 10:00:00,PST,Yes,CAC,USGS,6.13,294.0,Good,-0.05,0.9,DebrisLight,NONE,1,Imported Channel 1,CRAN,unspe,unkno,294.0,38.0,66.8,4.4,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.868424,8.325152898048001,7.129819619200001,1.1953332788480004,-0.8796989515008034,0.9134394562572224,-0.9524634327040076
38,2001-12-06 14:20:00,132,132,USGS,12120600,133,2001-12-06 14:20:00,PST,Yes,CAC,USGS,5.32,126.0,Good,0.0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,126.0,28.0,36.7,3.43,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.621536,3.5679226705920004,2.907282406400001,0.6606402641919993,-0.6631816176768006,0.9615603604779375,-0.8069344702975991
39,2001-12-16 14:25:00,133,133,USGS,12120600,134,2001-12-16 14:25:00,PST,Yes,CAC,USGS,6.51,392.0,Fair,-0.06,0.6,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,392.0,40.5,88.3,4.44,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.984248,11.100203864064,9.592928864,1.5072750000640003,-0.5046500192640013,1.009530802127567,-0.5194287650560021
40,2003-10-21 09:35:00,152,152,USGS,12120600,153,2003-10-21 09:35:00,PDT,Yes,CAC,USGS,6.75,359.0,Poor,-0.05,0.5,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,359.0,40.0,80.7,4.45,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.0574,10.165747926528002,11.2939992,-1.1282512734719976,-0.5046500192640013,1.0278635122480881,0.6606402641919993
41,2003-11-24 14:00:00,154,154,USGS,12120600,155,2003-11-24 14:00:00,PST,Yes,CAC,USGS,5.28,70.8,Fair,0.0,0.5,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,70.8,23.5,27.0,2.62,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.609344,2.0048327387136,2.739369305600001,-0.7345365668864008,-0.5046500192640013,0.9976911992817967,0.08538449535999937
42,2004-02-04 14:05:00,155,155,USGS,12120600,156,2004-02-04 14:05:00,PST,Yes,jcg,USGS,5.76,145.0,Good,-0.03,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,145.0,30.7,58.4,2.48,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.755648,4.105942755840001,5.018717286400002,-0.912774530560001,-0.5046500192640013,0.9774758272814957,-0.48987127347200055
43,2005-01-21 14:51:00,162,162,USGS,12120600,163,2005-01-21 14:51:00,PST,Yes,jcg,USGS,5.21,121.0,Good,0.0,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,121.0,24.3,34.5,3.51,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.588008,3.4263384376320003,2.453743094400001,0.9725953432319994,0.08538449535999937,1.0096543608738364,-0.8236555487232009
44,2005-12-28 11:20:00,171,171,USGS,12120600,172,2005-12-28 11:20:00,PST,Yes,jcg,USGS,5.47,169.0,Good,0.04,0.7,Clear,NONE,1,Imported Channel 1,WADE,unspe,unkno,169.0,30.6,54.8,3.08,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.667256,4.785547074048001,3.576407552000001,1.209139522048,0.7402334037119991,1.0078708879763039,-0.7345365668864008
45,2006-01-11 20:34:00,172,172,USGS,12120600,173,2006-01-11 20:34:00,PST,Yes,jcg,USGS,6.78,397.0,Fair,-0.07,0.7,Unspecifed,NONE,1,Imported Channel 1,CRAN,unspe,unkno,397.0,40.0,86.1,4.61,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.0665440000000004,11.241788097024,11.514442752000008,-0.2726546549760087,0.7402334037119991,0.9909162271836429,-0.5035956109312048
46,2006-11-07 09:54:00,180,180,USGS,12120600,181,2006-11-07 09:54:00,PST,Yes,jcg,USGS,7.62,822.0,Fair,-0.06,0.7,Unspecifed,NONE,1,Imported Channel 1,CRAN,unspe,unkno,822.0,42.0,161.0,5.11,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.322576,23.276447898624003,18.345017312,4.931430586624003,0.8166178037119993,1.765921057618552,0.3499703441279953
47,2008-11-07 14:19:00,194,194,USGS,12120600,195,2008-11-07 14:19:00,PST,Yes,EDT,USGS,6.31,372.0,Good,-0.1,1.0,Clear,NONE,1,Imported Channel 1,BRDS,QSCMM,VPAA,372.0,39.0,86.5,4.31,FIRM,GRVL,EVEN,unkn,EVEN,UNSP,DNST,25.0,1.923288,10.533866932224,8.2594873056,2.2743796266240004,0.8166178037119993,1.828501748854176,1.7417595743360001
48,2009-01-07 15:11:00,196,196,USGS,12120600,197,2009-01-07 15:11:00,PST,Yes,EDT,USGS,7.75,912.0,Good,0.13,1.2,Clear,NONE,1,Imported Channel 1,BRDS,QSCMM,VPAA,912.0,41.0,174.0,5.24,FIRM,GRVL,UNEV,unkn,EVEN,UNSP,DNST,20.0,2.3622,25.824964091904004,19.5131528,6.311811291904004,1.0908674326399996,2.5096377172353974,3.602905106624002
49,2017-12-29 16:08:15,258,258,USGS,12120600,259,2017-12-29 16:08:15,PST,Yes,jrm,USGS,6.16,475.0,Poor,,,Clear,NONE,1,Main,BRDS,QADCP,VADCP,475.0,43.5,101.0,4.7,UNSP,UNSP,UNSP,UNSP,EVEN,UNSP,ATGA,0.0,1.877568,13.450502131200002,7.312940886399998,6.137561244800004,1.0908674326399996,2.921697680868893,6.137561244800004
