,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1986-01-22 00:00:00,32,32,USGS,12121600,197,1986-01-22,,Yes,ROO,USGS,5.63,380.0,Good,0.01,0.9,,NONE,1,Imported Channel 1,UNSP,other,,380.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.716024,10.76040170496,12.36627992,-1.6058782150400006,-2.801120844016002,2.4518744343151586,-1.6058782150400006
1,1986-02-24 00:00:00,34,34,USGS,12121600,200,1986-02-24,,Yes,SNB/ROO,USGS,6.69,649.0,Good,-0.08,0.8,,NONE,1,Imported Channel 1,UNSP,other,,649.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.0391120000000003,18.377633438208004,19.895693540000003,-1.518060101791999,-2.801120844016002,2.4518744343151586,-1.5619691584159998
2,1986-02-24 00:00:00,35,35,USGS,12121600,199,1986-02-24,,Yes,ROO/SNB,USGS,6.83,653.0,Good,-0.07,0.7,,NONE,1,Imported Channel 1,UNSP,other,,653.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.0817840000000003,18.490900824576,20.995170140000006,-2.5042693154240077,-2.801120844016002,2.4518744343151586,-1.6058782150400006
3,1986-11-20 00:00:00,41,41,USGS,12121600,206,1986-11-20,,Yes,SNB,USGS,6.39,498.0,Fair,0.08,1.6,Clear,NONE,1,Imported Channel 1,CWAY,unspe,unkno,498.0,38.0,115.0,4.33,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.947672,14.101789602816002,17.622732240000005,-3.520942637184003,-2.801120844016002,2.4518744343151586,-2.055073765232004
4,1986-11-20 00:00:00,42,42,USGS,12121600,207,1986-11-20,,Yes,SNB,USGS,6.44,526.0,Fair,-0.05,0.7,Clear,NONE,1,Imported Channel 1,CWAY,unspe,unkno,526.0,38.0,115.0,4.57,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.962912,14.894661307392004,17.99263368,-3.0979723726079964,-2.801120844016002,2.4518744343151586,-2.5042693154240077
5,1986-11-23 00:00:00,45,45,USGS,12121600,210,1986-11-23,,Yes,SNB,USGS,8.01,823.0,Good,0.44,1.2,Clear,NONE,1,Imported Channel 1,CWAY,unspe,unkno,823.0,44.0,183.0,4.5,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.441448,23.304764745216005,31.173893419999995,-7.86912867478399,-2.801120844016002,2.4518744343151586,-2.801120844016002
6,1988-04-07 12:02:00,61,61,USGS,12121600,225,1988-04-07 12:02:00,PDT,Yes,WVF,USGS,6.17,491.0,Good,-0.09,1.1,Clear,NONE,1,Imported Channel 1,CWAY,unspe,unkno,491.0,39.0,110.0,4.46,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.880616,13.903571676672,16.023256080000007,-2.119684403328007,-2.801120844016002,2.4518744343151586,-2.5042693154240077
7,1989-04-06 13:05:00,68,68,USGS,12121600,232,1989-04-06 13:05:00,PDT,Yes,JWU,USGS,7.91,818.0,Good,-0.14,1.5,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,818.0,49.0,178.0,4.6,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.410968,23.163180512256,30.25125458,-7.0880740677439995,-2.801120844016002,2.4518744343151586,-3.520942637184003
8,1989-04-06 15:10:00,69,69,USGS,12121600,233,1989-04-06 15:10:00,PDT,Yes,JWU,USGS,7.74,793.0,Good,-0.1,1.1,,NONE,1,Imported Channel 1,CWAY,unspe,unkno,793.0,49.0,168.0,4.72,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.3591520000000004,22.455259347456003,28.703970560000013,-6.248711212544009,-2.801120844016002,2.4518744343151586,-4.884826924864006
9,1990-12-05 11:55:00,85,85,USGS,12121600,249,1990-12-05 11:55:00,PST,Yes,KBO,USGS,5.87,443.0,Good,0.01,0.8,Clear,NONE,1,Imported Channel 1,CWAY,unspe,unkno,443.0,36.0,90.3,4.91,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.789176,12.544363040256002,13.946369660000002,-1.4020066197440002,-2.801120844016002,2.4518744343151586,-4.184197807936008
10,1991-02-19 09:20:00,86,86,USGS,12121600,250,1991-02-19 09:20:00,PST,Yes,KBO,USGS,7.71,855.0,Fair,0.38,0.9,DebrisModerate,NONE,1,Imported Channel 1,CWAY,unspe,unkno,855.0,45.0,166.0,5.16,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.3500080000000003,24.210903836160004,28.43623424000001,-4.225330403840008,-3.3094575048959998,2.3410089738061686,-4.225330403840008
11,1991-04-04 12:26:00,87,87,USGS,12121600,251,1991-04-04 12:26:00,PST,Yes,KBO,USGS,6.81,638.0,Good,0.14,1.1,DebrisLight,NONE,1,Imported Channel 1,CWAY,unspe,unkno,638.0,40.0,129.0,4.93,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.075688,18.066148125696003,20.83724444,-2.771096314303996,-3.3094575048959998,2.2265513256904033,-3.498213359072002
12,1992-01-29 12:00:00,94,94,USGS,12121600,258,1992-01-29 12:00:00,PST,Yes,DTS,USGS,8.07,862.0,Fair,0.03,0.8,DebrisLight,NONE,1,Imported Channel 1,CWAY,unspe,unkno,862.0,46.0,197.0,4.37,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.4597360000000004,24.409121762304004,31.735837940000014,-7.32671617769601,-3.8731365205120056,2.364197709271183,-5.237020808192009
13,1996-11-27 19:05:00,123,123,USGS,12121600,287,1996-11-27 19:05:00,PST,Yes,FWS/WW,USGS,9.35,1190.0,Poor,0.2,1.1,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1190.0,129.0,492.0,2.42,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.84988,33.697047444480006,44.60763570000001,-10.910588255520004,-5.237020808192009,3.054897074523752,-10.910588255520004
14,1996-11-27 21:00:00,124,124,USGS,12121600,288,1996-11-27 21:00:00,PST,Yes,FWS/WW,USGS,9.61,1220.0,Poor,0.08,1.7,,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1220.0,130.0,521.0,2.34,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.929128,34.546552842240004,47.4330477,-12.886494857759999,-6.668392640144004,3.756474677331509,-11.898541556640001
15,1996-12-10 11:20:00,125,125,USGS,12121600,289,1996-12-10 11:20:00,PST,Yes,REQ,USGS,5.67,336.0,Good,-0.01,0.9,Clear,NONE,1,Imported Channel 1,CRAN,unspe,unkno,336.0,54.0,98.6,3.41,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.728216,9.514460454912,12.62496348,-3.1105030250880006,-5.237020808192009,3.8340777434740256,-10.910588255520004
16,1997-01-02 10:10:00,127,127,USGS,12121600,291,1997-01-02 10:10:00,PST,Yes,TEM/BP,USGS,9.9,1500.0,Unspecified,0.13,0.7,DebrisLight,NONE,1,Imported Channel 1,CRAN,unspe,unkno,1500.0,133.0,412.0,3.64,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.01752,42.47526988800001,50.66662920000001,-8.191359312000003,-6.668392640144004,3.6618209946749767,-9.550973783760003
17,1997-01-09 10:00:00,128,128,USGS,12121600,292,1997-01-09 10:00:00,PST,Yes,REQ,USGS,5.61,265.0,Fair,-0.01,1.0,DebrisLight,NONE,1,Imported Channel 1,CRAN,unspe,unkno,265.0,52.0,75.2,3.52,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.709928,7.503964346880001,12.239300239999999,-4.735335893119998,-5.492023552832004,3.6893272763315506,-8.191359312000003
