DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,q_resid_med,q_resid_mean,gaussian_smoothed
1992-01-10 10:54:00,73,73,USGS,12208000,72,1992-01-10 10:54:00,PST,Yes,HNW/DR,USGS,4.13,996.0,Good,0.08,0.8,Clear,MEAS,1.0,Imported Channel 1,CWAY,unspe,unkno,996.0,82.0,241.0,4.13,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.258824,28.203579205632003,36.861750359999995,-8.658171154367992,-8.658171154367992,-8.658171154367992,-4.697289016725455
1993-05-11 17:02:00,83,83,USGS,12208000,82,1993-05-11 17:02:00,PDT,Yes,HNW/DR,USGS,4.14,1180.0,Good,0.1,0.8,Clear,MEAS,1.0,Imported Channel 1,CWAY,unspe,unkno,1180.0,84.0,243.0,4.86,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.261872,33.413878978560014,37.19316432000001,-3.7792853414399943,-6.218728247903993,-6.218728247903993,-4.345436853482119
1995-11-14 10:08:00,106,106,USGS,12208000,105,1995-11-14 10:08:00,PST,Yes,HNW/JM,USGS,4.5,1410.0,Good,-0.08,1.0,Clear,MEAS,1.0,Imported Channel 1,CWAY,unspe,unkno,1410.0,98.0,282.0,4.99,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.3716000000000002,39.926753694720006,49.95204200000003,-10.025288305280021,-6.902286823360008,-6.902286823360008,-3.679407957212561
1997-03-20 10:20:00,122,122,USGS,12208000,121,1997-03-20 10:20:00,PST,Yes,HNW/DR,USGS,5.39,2900.0,Good,-0.06,1.2,Clear,MEAS,1.0,Imported Channel 1,CWAY,unspe,unkno,2900.0,112.0,449.0,6.46,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.642872,82.1188551168,88.34094612000003,-6.2220910032000205,-8.123689654240021,-8.123689654240021,-2.7733261816607695
1997-05-14 12:20:00,123,123,USGS,12208000,122,1997-05-14 12:20:00,PDT,Yes,HNW/JM,USGS,4.44,1480.0,Good,0.0,1.2,Clear,MEAS,1.0,Imported Channel 1,CWAY,unspe,unkno,1480.0,108.0,344.0,4.3,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.3533120000000003,41.90893295616001,47.71165648000002,-5.802723523840015,-6.2220910032000205,-7.350034277440019,-1.731305010648516
1999-05-24 09:00:00,145,145,USGS,12208000,144,1999-05-24 09:00:00,PDT,Yes,DES/DR,USGS,4.33,1470.0,Good,,,Clear,MEAS,1.0,Imported Channel 1,CWAY,unspe,unkno,1470.0,,,0.0,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.319784,41.62576449024001,43.717287639999995,-2.091523149759986,-5.802723523840015,-4.705445892266674,-0.6809910287456893
2002-05-30 14:00:00,168,168,USGS,12208000,167,2002-05-30 14:00:00,PDT,Yes,JKM/MM,USGS,4.19,1430.0,Good,-0.02,1.4,,MEAS,1.0,Imported Channel 1,CWAY,unspe,unkno,1430.0,105.0,294.0,4.79,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.2771120000000002,40.493090626560004,38.86666872000002,1.6264219065599832,1.6264219065599832,1.6264219065599832,0.24914150649037037
2004-12-11 09:55:00,186,186,USGS,12208000,185,2004-12-11 09:55:00,PST,Yes,JEJ/CC,USGS,4.43,2270.0,Fair,-0.12,0.5,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,2270.0,100.0,364.0,6.23,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.350264,64.27924176384,47.34348855999998,16.935753203840022,9.281087555200003,9.281087555200003,0.9505608273319289
2005-01-20 09:26:00,187,187,USGS,12208000,186,2005-01-20 09:26:00,PST,Yes,PHL/RES,USGS,4.81,2540.0,Poor,-0.1,0.7,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,2540.0,99.0,389.0,6.53,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,1.4660879999999998,71.92479034368002,62.23588619999998,9.688904143680034,9.688904143680034,9.41702641802668,1.3586336827303649
2008-11-07 12:08:00,214,214,USGS,12208000,213,2008-11-07 12:08:00,PST,Yes,JMP/JRF,USGS,5.06,2930.0,Fair,0.03,0.8,,MEAS,1.0,Imported Channel 1,BRDS,QSCMM,VPAA,2930.0,107.0,424.0,6.9,UNSP,UNSP,UNSP,unkn,UNEV,UNSP,DNST,2640.0,1.542288,82.96836051456002,72.99426776000001,9.974092754560004,9.974092754560004,9.974092754560004,1.4641551597775124
