,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1942-12-10 00:00:00,24,24,USGS,12025000,25,1942-12-10,,Yes,WH,USGS,199.19,2350.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2350.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.713112,66.54458949120001,100.92657972800004,-34.38199023680002,-33.52556012896028,9.891921287333897,-34.38199023680002
1,1943-04-01 00:00:00,27,27,USGS,12025000,28,1943-04-01,,Yes,FWK,USGS,198.62,2070.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2070.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.539376,58.61587244544001,87.75300835199997,-29.137135906559955,-33.52556012896028,9.891921287333897,-31.759563071679988
2,1945-12-28 00:00:00,48,48,USGS,12025000,49,1945-12-28,,Yes,WMC,USGS,199.86,2410.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2410.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.917328000000005,68.24360028672001,117.33249120000039,-49.08889091328038,-33.52556012896028,9.891921287333897,-39.11301340992017
3,1946-02-27 00:00:00,50,50,USGS,12025000,51,1946-02-27,,Yes,WMC,USGS,199.23,2260.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2260.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.725304,63.99607329792001,101.879920976,-37.88384767807998,-33.52556012896028,9.891921287333897,-37.88384767807998
4,1946-12-09 00:00:00,57,57,USGS,12025000,58,1946-12-09,,Yes,D&FTH,USGS,196.74,1140.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1140.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,59.96635200000001,32.28120511488,49.704185600000336,-17.422980485120334,-33.52556012896028,9.891921287333897,-37.88384767807998
5,1947-01-29 00:00:00,58,58,USGS,12025000,59,1947-01-29,,Yes,PGS,USGS,196.51,1040.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1040.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,59.896248,29.449520455680005,45.644419984000066,-16.19489952832006,-33.52556012896028,9.891921287333897,-27.653414081600157
6,1947-11-17 00:00:00,64,64,USGS,12025000,65,1947-11-17,,Yes,JCI,USGS,197.62,1420.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1420.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.234576,40.209922160640005,66.45207199999975,-26.24214983935974,-33.52556012896028,9.891921287333897,-26.24214983935974
7,1947-12-19 00:00:00,65,65,USGS,12025000,66,1947-12-19,,Yes,HCR,USGS,198.55,1890.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1890.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.518040000000006,53.51884005888001,86.18797008000054,-32.66913002112053,-33.52556012896028,9.891921287333897,-29.455639930240135
8,1948-12-07 00:00:00,74,74,USGS,12025000,76,1948-12-07,,Yes,FTH,USGS,198.79,1990.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1990.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.591192,56.35052471808001,91.60439935999992,-35.25387464191991,-33.52556012896028,9.891921287333897,-32.66913002112053
9,1948-12-13 00:00:00,75,75,USGS,12025000,77,1948-12-13,,Yes,WMD,USGS,199.64,2610.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2610.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.850272,73.90696960512001,111.83123327999962,-37.92426367487961,-33.52556012896028,9.891921287333897,-33.96150233152022
10,1949-02-18 00:00:00,77,77,USGS,12025000,79,1949-02-18,,Yes,M&A,USGS,199.94,2750.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2750.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.941712,77.87132812800002,119.35392480000003,-41.482596672000014,-33.96150233152022,10.356171061053905,-33.96150233152022
11,1949-11-28 00:00:00,85,85,USGS,12025000,87,1949-11-28,,Yes,PGS,USGS,199.62,2430.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2430.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.844176,68.80993721856001,111.33981855999971,-42.529881341439705,-36.56886115999994,10.755669122338645,-33.96150233152022
12,1949-12-23 00:00:00,86,86,USGS,12025000,88,1949-12-23,,Yes,PGS,USGS,198.66,1930.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1930.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.551568,54.65151392256001,88.64924144000044,-33.99772751744043,-34.62580107968017,9.31383713383446,-34.62580107968017
13,1949-12-29 00:00:00,87,87,USGS,12025000,89,1949-12-29,,Yes,SRO,USGS,200.02,2740.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2740.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.96609600000001,77.58815966208002,121.39370784000046,-43.80554817792044,-34.62580107968017,9.888692562298585,-35.25387464191991
14,1950-02-28 00:00:00,89,89,USGS,12025000,91,1950-02-28,,Yes,PGS,USGS,198.21,1810.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1810.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.41440800000001,51.25349233152001,78.73663732800063,-27.48314499648062,-34.62580107968017,8.58118955470284,-35.25387464191991
15,1950-03-05 00:00:00,90,90,USGS,12025000,92,1950-03-05,,Yes,PGS,USGS,201.39,3760.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3760.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,61.383672,106.47134318592002,158.37182255999977,-51.90047937407975,-36.58906915839976,7.859223705295845,-36.58906915839976
16,1950-11-29 00:00:00,97,97,USGS,12025000,99,1950-11-29,,Yes,JJL,USGS,197.21,1240.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1240.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.10960800000001,35.11288977408,58.40731852800049,-23.294428753920485,-36.58906915839976,8.360541603974255,-36.58906915839976
17,1951-02-10 00:00:00,99,99,USGS,12025000,101,1951-02-10,,Yes,PGA,USGS,200.88,3290.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,3290.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,61.228224,93.16242528768,144.15269279999964,-50.99026751231965,-39.70343017343981,9.257086586201833,-39.70343017343981
18,1952-02-05 00:00:00,110,110,USGS,12025000,112,1952-02-05,,Yes,HBK,USGS,198.57,2000.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2000.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.524136,56.63369318400001,86.635123872,-30.001430687999985,-39.70343017343981,9.626465346999565,-41.482596672000014
19,1953-01-12 00:00:00,121,121,USGS,12025000,123,1953-01-12,,Yes,WVF,USGS,199.1,2480.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2480.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.68568,70.22577954816,98.79860271999972,-28.572823171839715,-37.74016209472022,10.113345135921579,-29.28712692991985
20,1953-01-14 00:00:00,122,122,USGS,12025000,124,1953-01-14,,Yes,JS,USGS,197.76,1630.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1630.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.277248,46.156459944960005,69.29317840000012,-23.13671845504011,-31.999579102720208,10.92320793878062,-28.572823171839715
21,1953-12-11 00:00:00,132,132,USGS,12025000,134,1953-12-11,,Yes,EAJ,USGS,199.49,2660.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,2660.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.80455200000001,75.32281193472001,108.14770912000085,-32.82489718528085,-31.413163936640416,10.664319428626776,-30.001430687999985
22,1954-01-15 00:00:00,133,133,USGS,12025000,135,1954-01-15,,Yes,EAJ,USGS,196.98,1230.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1230.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.039504,34.82972130816,54.07793168000019,-19.248210371840187,-29.28712692991985,11.724292399437815,-29.28712692991985
23,1954-02-23 00:00:00,134,134,USGS,12025000,136,1954-02-23,,Yes,EAJ,USGS,197.56,1590.0,Unspecified,,,,NONE,1,Imported Channel 1,UNSP,other,,1590.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,60.216288000000006,45.02378608128001,65.24963600000027,-20.225849918720257,-28.027984084160167,11.708887993379387,-25.854770813439913
