,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1993-03-23 10:15:00,5,5,USGS,12155300,6,1993-03-23 10:15:00,PST,Yes,MKB,USGS,12.44,2200.0,Good,-0.14,1.4,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,2200.0,86.0,423.0,5.2,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.791712,62.29706250240001,52.76462656000001,9.5324359424,6.204612091306647,7.224076993198087,9.5324359424
1,1993-12-10 09:50:00,10,10,USGS,12155300,11,1993-12-10 09:50:00,PST,Yes,MKB,USGS,12.35,2250.0,Good,-0.08,1.3,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,2250.0,88.0,417.0,5.4,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.76428,63.71290483200001,51.0945664,12.618338432000009,6.204612091306647,7.224076993198087,11.075387187200004
2,1994-11-30 10:15:00,16,16,USGS,12155300,17,1994-11-30 10:15:00,PST,Yes,MKB,USGS,14.56,4250.0,Fair,0.26,1.3,DebrisHeavy,MEAS,1.0,Imported Channel 1,UNSP,other,,4250.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.437888,120.34659801600002,98.08156435555559,22.26503366044443,6.204612091306647,7.224076993198087,12.618338432000009
3,1994-11-30 13:23:00,17,17,USGS,12155300,18,1994-11-30 13:23:00,PST,Yes,MKB,USGS,14.66,3800.0,Fair,-0.12,1.1,DebrisHeavy,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,3800.0,92.0,626.0,6.07,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.468368,107.60401704960002,100.48914568888891,7.114871360711106,6.204612091306647,7.224076993198087,11.075387187200004
4,1994-12-20 13:50:00,20,20,USGS,12155300,21,1994-12-20 13:50:00,PST,Yes,MKB/REQ,USGS,14.9,3790.0,Fair,0.2,1.4,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,3790.0,100.0,652.0,5.81,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.54152,107.32084858368002,106.36785866666669,0.9529899170133262,6.204612091306647,7.224076993198087,9.5324359424
5,1995-11-29 14:51:00,27,27,USGS,12155300,28,1995-11-29 14:51:00,PST,Yes,KEF/JCT,USGS,14.67,3760.0,Good,0.03,0.4,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,3760.0,85.0,667.0,5.64,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.4714160000000005,106.47134318592002,100.7299038222223,5.741439363697722,6.204612091306647,7.224076993198087,8.323653651555553
6,1995-12-12 13:45:00,28,28,USGS,12155300,29,1995-12-12 13:45:00,PST,Yes,JEJ,USGS,12.02,1830.0,Good,-0.05,1.1,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,1830.0,82.0,376.0,4.87,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.663696,51.819829263360006,45.152044444444435,6.667784818915571,6.204612091306647,7.224076993198087,7.114871360711106
7,1999-12-16 10:35:00,52,52,USGS,12155300,53,1999-12-16 10:35:00,PST,Yes,EDT,USGS,15.08,3890.0,Good,-0.21,1.0,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,3890.0,96.0,631.0,6.16,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.5963840000000005,110.15253324288,110.86064675555556,-0.7081135126755669,6.204612091306647,7.224076993198087,-0.7081135126755669
8,2003-10-21 17:10:00,77,77,USGS,12155300,78,2003-10-21 17:10:00,PDT,Yes,JCG/RPC,USGS,14.32,3160.0,Good,-0.43,0.8,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,3160.0,138.0,580.0,5.45,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,4.364736000000001,89.48123523072002,92.40076113777783,-2.9195259070578174,6.204612091306647,7.224076993198087,-2.9195259070578174
9,2003-10-29 10:22:00,78,78,USGS,12155300,79,2003-10-29 10:22:00,PST,Yes,EDT,USGS,12.44,2040.0,Good,-0.12,1.2,Clear,MEAS,1.0,Imported Channel 1,CRAN,unspe,unkno,2040.0,88.0,409.0,4.99,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.791712,57.766367047680006,52.76462656000001,5.001740487679996,6.204612091306647,7.224076993198087,1.0411072903110892
