,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1984-01-04 00:00:00,54,11.0,USGS,12143600,55,1/4/1984,,Yes,TGK,USGS,10.96,4230.0,Good,-0.08,1.5,,NONE,1.0,Imported Channel 1,UNSP,other,,4230.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.3406080000000005,119.78026108416002,108.44607840000009,11.334182684159927,2.523374348586671,13.794594202261946,11.334182684159927
1,1986-02-25 00:00:00,71,28.0,USGS,12143600,71,2/25/1986,,Yes,TGK,USGS,10.52,3620.0,Good,-0.06,1.5,,NONE,1.0,Imported Channel 1,UNSP,other,,3620.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.206496,102.50698466304,89.38925221333332,13.11773244970668,2.523374348586671,13.794594202261946,12.225957566933303
2,1989-12-04 13:51:00,94,51.0,USGS,12143600,94,12/4/1989 13:51,PST,Yes,JCT,USGS,12.03,6540.0,Good,0.11,1.2,DebrisLight,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,6540.0,122.0,1050.0,6.23,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.666744,185.19217671168,161.7766026666667,23.4155740450133,2.523374348586671,13.794594202261946,23.4155740450133
3,1991-02-15 10:50:00,98,55.0,USGS,12143600,98,2/15/1991 10:50,PST,Yes,ROO,USGS,9.24,1200.0,Fair,-0.02,1.1,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,1200.0,122.0,556.0,2.16,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.816352,33.980215910400005,43.738408853333354,-9.758192942933348,2.523374348586671,13.794594202261946,6.828690551039976
4,1991-12-05 14:53:00,104,61.0,USGS,12143600,104,12/5/1991 14:53,PST,Yes,SAG/MKB,USGS,10.58,3600.0,Good,0.17,1.1,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,3600.0,124.0,812.0,4.43,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.224784,101.94064773120002,91.88449130666666,10.056156424533356,2.523374348586671,13.794594202261946,10.056156424533356
5,1993-05-13 12:00:00,113,70.0,USGS,12143600,113,5/13/1993 12:00,PDT,Yes,JWU/DTS,USGS,9.29,1260.0,Unspecified,0.04,1.0,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,1260.0,113.0,616.0,2.05,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.831592,35.67922670592001,45.23179317333334,-9.552566467413328,2.523374348586671,13.794594202261946,-9.552566467413328
6,1995-02-01 12:45:00,124,81.0,USGS,12143600,124,2/1/1995 12:45,PST,Yes,REQ/MB,USGS,10.28,2480.0,Good,-0.08,1.4,DebrisLight,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,2480.0,119.0,739.0,3.36,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.133344,70.22577954816,79.70037541333336,-9.474595865173356,2.523374348586671,13.794594202261946,-9.513581166293342
7,1995-11-29 11:45:00,130,87.0,USGS,12143600,130,11/29/1995 11:45,PST,Yes,REQ,USGS,12.74,8000.0,Poor,-0.03,2.0,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,8000.0,124.0,1080.0,7.4,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.883152,226.53477273600004,202.48772266666666,24.04705006933338,2.523374348586671,13.794594202261946,-9.474595865173356
8,1995-12-01 12:20:00,131,88.0,USGS,12143600,131,12/1/1995 12:20,PST,Yes,REQ,USGS,10.12,2420.0,Good,-0.07,1.6,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,2420.0,124.0,701.0,3.45,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.084576,68.52676875264001,73.53617648000002,-5.0094077273600135,2.523374348586671,13.794594202261946,-7.242001796266685
9,1999-06-15 10:20:00,150,107.0,USGS,12143600,150,6/15/1999 10:20,PDT,Yes,REQ,USGS,9.45,1520.0,Fair,-0.06,2.7,DebrisModerate,NONE,1.0,Imported Channel 1,BRUS,unspe,unkno,1520.0,125.0,829.0,1.83,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.88036,43.041606819840005,50.2030248,-7.161417980159996,2.523374348586671,13.794594202261946,-7.161417980159996
10,1999-12-15 11:18:00,154,111.0,USGS,12143600,154,12/15/1999 11:18,PST,Yes,jcg,USGS,11.0,3840.0,Fair,0.26,1.3,DebrisModerate,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,3840.0,148.0,1000.0,3.84,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.3528,108.73669091328,110.27243999999997,-1.5357490867199743,-3.272578407039994,13.644370339858549,-4.348583533439985
11,2005-01-19 10:30:00,183,140.0,USGS,12143600,183,1/19/2005 10:30,PST,Yes,JCG/EDT,USGS,10.47,2850.0,Good,0.1,1.1,DebrisLight,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,2850.0,110.0,653.0,4.36,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.1912560000000005,80.70301278720001,87.32123501333342,-6.618222226133412,-5.813814976746713,13.4138684056129,-6.618222226133412
12,2006-11-07 10:50:00,196,153.0,USGS,12143600,196,11/7/2006 10:50,PST,Yes,EDT/KRL,USGS,12.53,7670.0,Fair,-0.27,1.9,DebrisModerate,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,7670.0,190.0,1240.0,6.19,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.819144,217.19021336064003,190.00764666666672,27.182566693973314,-5.813814976746713,14.150914941464784,10.282172233919951
13,2007-12-05 12:13:00,204,161.0,USGS,12143600,204,12/5/2007 12:13,PST,Yes,EDT,USGS,9.26,1460.0,Fair,-0.15,1.5,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,1460.0,152.0,666.0,2.2,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,2.822448,41.34259602432001,44.33384581333334,-2.991249789013331,-4.000328758186672,13.723067724986779,-2.991249789013331
14,2009-05-14 14:59:00,213,170.0,USGS,12143600,213,5/14/2009 14:59,PDT,Yes,EDT,USGS,9.17,1520.0,Fair,0.05,1.6,Clear,NONE,1.0,Imported Channel 1,BRDS,QSCMM,VPAA,1520.0,153.0,760.0,2.01,FIRM,GRVL,UNEV,unkn,UNEV,UNSP,DNST,50.0,2.795016,43.041606819840005,41.66943117333334,1.372175646506669,-4.000328758186672,13.420622995260366,1.372175646506669
15,2014-11-04 08:13:00,244,201.0,USGS,12143600,244,11/4/2014 8:13,PST,Yes,CGB,USGS,9.44,1600.0,Poor,0.02,0.2,DebrisLight,NONE,1.0,main,BRDS,QADCP,VADCP,1600.0,167.0,796.0,2.01,FIRM,CBLS,EVEN,unkn,UNEV,UNSP,DNST,100.0,2.877312,45.30695454720001,49.887008159999986,-4.580053612799979,-3.785651700906655,13.072739589471222,-4.580053612799979
16,2016-02-17 12:20:00,254,211.0,USGS,12143600,254,2/17/2016 12:20,PST,Yes,JBG,USGS,9.29,1390.0,Poor,-0.02,0.2,Clear,NONE,1.0,main,BRDS,QADCP,VADCP,1390.0,160.0,686.0,2.03,FIRM,GRVL,EVEN,unkn,UNEV,STND,DNST,100.0,2.831592,39.36041676288001,45.23179317333334,-5.87137641045333,-3.785651700906655,12.782363118745156,-5.225715011626654
17,2017-05-05 11:09:00,262,219.0,USGS,12143600,262,5/5/2017 11:09,PDT,Yes,JBG/JJM,USGS,10.28,2480.0,Fair,-0.04,0.24,Clear,NONE,1.0,main,CWAY,QADCP,VADCP,2480.0,144.0,478.0,5.19,FIRM,CBLS,EVEN,STDY,EVEN,STND,DNST,75.0,3.133344,70.22577954816,79.70037541333336,-9.474595865173356,-4.794730670079996,10.51933663355226,-5.87137641045333
