,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1985-11-02 00:00:00,325,7.0,USGS,12144000,18,11/2/1985,,Yes,TGK,USGS,11.88,2830.0,Good,-0.1,1.0,,NONE,1.0,Imported Channel 1,UNSP,other,,2830.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.621024,80.13667585536001,91.72376655999997,-11.587090704639962,-5.595416489493346,9.249025535005993,-11.587090704639962
1,1986-02-24 00:00:00,327,9.0,USGS,12144000,20,2/24/1986,,Yes,TGK,USGS,12.85,3810.0,Good,-0.13,1.1,,NONE,1.0,Imported Channel 1,UNSP,other,,3810.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.91668,107.88718551552002,121.96465733333334,-14.077471817813318,-5.595416489493346,9.249025535005993,-12.83228126122664
2,1986-02-26 00:00:00,328,10.0,USGS,12144000,21,2/26/1986,,Yes,TGK,USGS,10.72,1960.0,Good,-0.06,0.8,,NONE,1.0,Imported Channel 1,UNSP,other,,1960.0,,,,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.267456,55.50101932032001,60.26540432000002,-4.764384999680011,-5.595416489493346,9.249025535005993,-11.587090704639962
3,1986-11-26 00:00:00,333,15.0,USGS,12144000,26,11/26/1986,,Yes,TGK,USGS,10.05,1400.0,Good,-0.02,1.0,,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,1400.0,72.0,447.0,3.1,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.0632400000000004,39.643585228800006,44.5860190666667,-4.9424338378666945,-5.595416489493346,9.249025535005993,-8.264762271253328
4,1987-03-04 00:00:00,336,18.0,USGS,12144000,29,3/4/1987,,Yes,TGK,USGS,10.69,1950.0,Unspecified,0.01,1.0,,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,1950.0,73.0,495.0,4.06,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.258312,55.217850854400005,59.52040168000003,-4.302550825600022,-5.595416489493346,9.249025535005993,-4.9424338378666945
5,1993-05-13 10:05:00,373,55.0,USGS,12144000,66,5/13/1993 10:05,PDT,Yes,JWU/DTS,USGS,10.04,1440.0,Unspecified,0.02,1.0,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,1440.0,70.0,385.0,3.74,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.060192,40.77625909248,44.36602458666666,-3.589765494186665,-5.595416489493346,9.249025535005993,-3.589765494186665
6,1995-02-21 12:45:00,386,68.0,USGS,12144000,79,2/21/1995 12:45,PST,Yes,REQ,USGS,10.7,1890.0,Good,-0.13,1.3,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,1890.0,76.0,451.0,4.19,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.26136,53.51884005888001,59.767239200000006,-6.248399141119997,-5.595416489493346,9.249025535005993,-4.919082317653331
7,1996-01-03 10:20:00,391,73.0,USGS,12144000,84,1/3/1996 10:20,PST,Yes,REQ,USGS,11.22,2590.0,Good,-0.11,1.5,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,2590.0,76.0,433.0,5.98,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.419856,73.34063267328001,73.17626346666664,0.1643692066133724,-5.595416489493346,9.249025535005993,-3.589765494186665
8,1996-02-09 13:20:00,392,74.0,USGS,12144000,85,2/9/1996 13:20,PST,Yes,REQ,USGS,13.08,3820.0,Good,-0.24,1.3,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,3820.0,87.0,752.0,5.08,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.986784,108.17035398144002,129.63747626666668,-21.467122285226665,-5.595416489493346,9.249025535005993,-4.919082317653331
9,1998-12-29 09:30:00,413,95.0,USGS,12144000,106,12/29/1998 9:30,PST,Yes,REQ,USGS,12.09,3180.0,Good,0.31,1.3,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,3180.0,82.0,562.0,5.66,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.685032,90.04757216256002,97.97734597333333,-7.9297738107733124,-5.595416489493346,9.252431618789215,-7.9297738107733124
10,1999-05-25 09:50:00,417,99.0,USGS,12144000,110,5/25/1999 9:50,PDT,Yes,REQ,USGS,10.39,1900.0,Good,0.11,1.5,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,1900.0,71.0,420.0,4.52,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.166872,53.80200852480001,52.30311890666668,1.498889618133326,-4.853409418773353,9.723951181061528,-3.2154420963199932
11,1999-12-15 13:38:00,422,104.0,USGS,12144000,115,12/15/1999 13:38,PST,Yes,jcg,USGS,13.04,4470.0,Fair,0.27,0.6,Clear,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,4470.0,88.0,643.0,6.95,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,3.974592,126.57630426624002,128.28948053333332,-1.7131762670933028,-4.622492331733358,9.886599142315394,-1.7131762670933028
