,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1938-04-19 23:29:30,57,57,USGS,12035000,58,1938-04-19 23:29:30,PST,Yes,WDS,USGS,31.3,5880.0,Unspecified,-0.13,2.6,,NONE,1.0,Main,unkn,QSCMM,unkno,5880.0,187.0,1510.0,3.89,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,9.54024,166.50305796096004,175.28634254545466,-8.783284584494623,-5.988780199098102,26.17896863878162,-8.783284584494623
1,1938-11-16 23:29:30,64,64,USGS,12035000,65,1938-11-16 23:29:30,PST,Yes,GWC,USGS,32.23,7820.0,Unspecified,-0.13,3.1,,NONE,1.0,Main,unkn,QSCMM,unkno,7820.0,191.0,1660.0,4.71,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,9.823704,221.43774034944,228.73881338181798,-7.301073032377985,-5.988780199098102,26.17896863878162,-8.042178808436304
2,1941-12-03 23:29:30,99,99,USGS,12035000,100,1941-12-03 23:29:30,PST,Yes,WHR,USGS,32.29,8570.0,Good,-0.2,2.6,,NONE,1.0,Main,unkn,QSCMM,unkno,8570.0,194.0,1660.0,5.2,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,9.841992,242.67537529344003,232.39109323636345,10.284282057076581,-5.988780199098102,26.17896863878162,10.284282057076581
3,1943-04-02 00:00:00,113,113,USGS,12035000,114,1943-04-02,,Yes,DOM,USGS,33.27,11500.0,Good,0.22,3.5,,NONE,1.0,Imported Channel 1,unkn,QSCMM,unkno,11500.0,197.0,1800.0,6.39,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10.140696000000002,325.64373580800003,295.2218536727276,30.421882135272426,-5.988780199098102,26.17896863878162,20.353082096174504
4,1946-11-27 00:00:00,145,145,USGS,12035000,146,1946-11-27,,Yes,ACK,USGS,33.37,10500.0,Fair,-0.08,1.3,,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,10500.0,200.0,1710.0,6.14,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10.171176,297.32688921600004,302.00337658181826,-4.676487365818218,-5.988780199098102,26.17896863878162,-4.676487365818218
5,1947-01-26 00:00:00,148,148,USGS,12035000,149,1947-01-26,,Yes,PGS/WH,USGS,34.52,13500.0,Good,-0.29,1.5,,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,13500.0,202.0,2170.0,6.22,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10.521696000000002,382.27742899200007,386.4718224000005,-4.194393408000451,-5.988780199098102,26.17896863878162,-4.435440386909335
6,1948-01-02 00:00:00,156,156,USGS,12035000,157,1948-01-02,,Yes,JCI,USGS,33.13,10000.0,Fair,-0.18,1.8,,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,10000.0,200.0,1800.0,5.56,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,10.098024,283.16846592,285.8841776,-2.71571167999997,-5.988780199098102,26.17896863878162,-4.194393408000451
7,1949-02-18 23:29:30,168,168,USGS,12035000,169,1949-02-18 23:29:30,PST,Yes,PGS,USGS,31.59,5900.0,Good,-0.16,2.6,,NONE,1.0,Main,unkn,QSCMM,unkno,5900.0,194.0,1410.0,4.18,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,9.628632,167.06939489280003,191.33766880000002,-24.268273907199983,-5.988780199098102,26.17896863878162,-4.435440386909335
8,1949-11-11 23:29:30,175,175,USGS,12035000,176,1949-11-11 23:29:30,PST,Yes,DWL,USGS,31.34,5560.0,Fair,0.76,2.8,,NONE,1.0,Main,unkn,QSCMM,unkno,5560.0,187.0,1510.0,368.0,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,9.552432,157.44166705152003,177.478907490909,-20.037240439388967,-5.988780199098102,26.17896863878162,-4.676487365818218
9,1949-11-27 00:00:00,176,176,USGS,12035000,177,1949-11-27,,Yes,DGA,USGS,37.13,21600.0,Good,-1.05,2.7,,NONE,1.0,Imported Channel 1,CRAN,unspe,unkno,21600.0,216.0,2810.0,7.69,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,11.317224,611.6438863872,682.429472290909,-70.78558590370892,-5.988780199098102,26.17896863878162,-20.037240439388967
10,1950-03-20 23:29:30,179,179,USGS,12035000,180,1950-03-20 23:29:30,PST,Yes,WMD,USGS,31.81,5930.0,Good,-0.06,1.7,,NONE,1.0,Main,unkn,QSCMM,unkno,5930.0,192.0,1440.0,4.12,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,9.695688,167.91890029056003,203.87081440000023,-35.951914109440196,-5.988780199098102,27.396436255901286,-24.268273907199983
11,1950-12-28 23:29:30,187,187,USGS,12035000,188,1950-12-28 23:29:30,PST,Yes,VFP,USGS,32.31,6580.0,Good,-0.06,1.8,,NONE,1.0,Main,unkn,QSCMM,unkno,6580.0,200.0,1400.0,4.7,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,9.848088,186.32485057536,233.6085198545455,-47.28366927918552,-12.356863902603592,29.333930034869176,-30.11009400832009
12,1951-02-12 23:29:30,189,189,USGS,12035000,190,1951-02-12 23:29:30,PST,Yes,PGS,USGS,33.71,8900.0,Good,-0.17,2.3,,NONE,1.0,Main,unkn,QSCMM,unkno,8900.0,202.0,2080.0,4.28,unkn,unkn,unkn,unkn,unkn,UNKN,unkn,,10.274808,252.01993466880003,325.4472315636364,-73.42729689483639,-30.11009400832009,55.38124864410162,-41.61779169431286
