DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,q_resid_med,q_resid_med_date,gaussian_smoothed
1940-05-25 14:20:00,64,64,USGS,12194000,90,1940-05-25 14:20:00,PST,Yes,WDS,USGS,21.92,28300,Excellent,0.13,,Unspecifed,UNSP,1,Imported Channel 1,CWAY,QSCMM,VPAA,28300,420.0,4710.0,6.01,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6.681216000000001,801.3667585536001,825.8521012363639,-24.485342682763758,,-24.485342682763758,-10.980370230820455
1943-04-20 09:00:00,92,92,USGS,12194000,118,1943-04-20 09:00:00,PDT,Yes,MMM,USGS,21.82,26600,Good,0.08,,Unspecifed,UNSP,1,Imported Channel 1,CWAY,QSCMM,VPAA,26600,420.0,4450.0,5.98,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6.650736,753.2281193472003,813.9729368727272,-60.74481752552697,,-42.61508010414536,-10.004430614026862
1943-06-10 12:00:00,93,93,USGS,12194000,119,1943-06-10 12:00:00,PDT,Yes,HAS,USGS,24.4,40800,Good,0.06,,Unspecifed,UNSP,1,Imported Channel 1,CWAY,QSCMM,VPAA,40800,474.0,5560.0,7.34,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,7.437119999999999,1155.3273409536002,1139.7170836363634,15.610257317236801,-22.049074572800123,-24.485342682763758,-8.230369169920806
1943-06-12 13:40:00,94,94,USGS,12194000,120,1943-06-12 13:40:00,PDT,Yes,HB/WH,USGS,22.09,29100,Excellent,0.12,,Unspecifed,UNSP,1,Imported Channel 1,CWAY,QSCMM,VPAA,29100,420.0,4690.0,6.2,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6.7330320000000015,824.0202358272003,846.0693104000004,-22.049074572800123,-10.243181647709434,-23.26720862778194,-5.963353036287701
1943-06-20 14:00:00,95,95,USGS,12194000,121,1943-06-20 14:00:00,PDT,Yes,S/C,USGS,24.43,42200,Good,0.19,,Unspecifed,UNSP,1,Imported Channel 1,CWAY,QSCMM,VPAA,42200,450.0,5550.0,7.6,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,7.446264,1194.9709261824005,1143.741274909091,51.2296512733094,12.732181716363698,-22.049074572800123,-3.5557968091587977
1945-06-26 13:40:00,109,109,USGS,12194000,135,1945-06-26 13:40:00,PDT,Yes,WMD,USGS,21.51,27100,Fair,0.12,,Unspecifed,UNSP,1,Imported Channel 1,CWAY,QSCMM,VPAA,27100,420.0,4500.0,6.02,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6.556248000000001,767.3865426432001,777.6297242909095,-10.243181647709434,-1.2230842367996502,-16.14612811025478,-1.3084108720459726
1946-06-11 09:05:00,115,115,USGS,12194000,142,1946-06-11 09:05:00,PST,Yes,HCB,USGS,21.41,27500,Good,0.07,,Unspecifed,UNSP,1,Imported Channel 1,CWAY,QSCMM,VPAA,27500,420.0,4620.0,5.95,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6.525768,778.7132812800003,765.9810995636366,12.732181716363698,-1.2230842367996502,-10.243181647709434,0.5908624328414018
1946-07-09 09:15:00,116,116,USGS,12194000,143,1946-07-09 09:15:00,PST,Yes,JCI,USGS,20.81,24600,Good,0.04,,Unspecifed,UNSP,1,Imported Channel 1,CWAY,QSCMM,VPAA,24600,416.0,4540.0,5.42,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6.342887999999999,696.5944261632001,697.8175103999997,-1.2230842367996502,-1.2230842367996502,-5.733132942254542,2.10765080947347
1947-06-26 08:30:00,125,125,USGS,12194000,152,1947-06-26 08:30:00,PST,Yes,PCB,USGS,21.06,25500,Good,0.13,,Unspecifed,UNSP,1,Imported Channel 1,CWAY,QSCMM,VPAA,25500,420.0,4590.0,5.56,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,6.4190879999999995,722.0795880960001,725.909282472727,-3.829694376726934,-1.2230842367996502,-3.829694376726934,3.3577262849330536
1949-05-14 14:35:00,143,143,USGS,12194000,170,1949-05-14 14:35:00,PST,Yes,WHR/REB,USGS,25.2,45300,Good,0.09,,Unspecifed,UNSP,1,Imported Channel 1,CWAY,QSCMM,VPAA,45300,475.0,6070.0,7.46,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,7.680960000000001,1282.7531506175999,1248.7529381818185,34.00021243578135,-3.829694376726934,-2.526389306763292,4.5645999068022505
