,DateTime,Unnamed: 0,Unnamed: 0.1,agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist,gage_height_m,discharge_cms,q_pred_cms,q_resid_cms,median,std,q_resid_cms_med_date
0,1987-12-10 00:00:00,9,9,USGS,12100496,3,1987-12-10,,Yes,MCM,USGS,78.0,4600.0,Fair,-0.17,1.0,Clear,MEAS,1,Imported Channel 1,CWAY,unspe,unkno,4600.0,157.0,757.0,6.08,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,23.7744,130.2574943232,88.62740399999994,41.630090323200065,-60.33037191283229,61.572573478198876,41.630090323200065
1,1990-01-10 08:40:00,26,26,USGS,12100496,20,1990-01-10 08:40:00,PST,Yes,BSP,USGS,78.34,5390.0,Good,0.17,1.0,Clear,MEAS,1,Imported Channel 1,CWAY,unspe,unkno,5390.0,160.0,842.0,6.4,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,23.878032,152.62780313088,104.37763728000019,48.250165850879824,-60.33037191283229,61.572573478198876,44.940128087039945
2,1990-11-26 12:09:00,33,33,USGS,12100496,27,1990-11-26 12:09:00,PST,Yes,KRL,USGS,79.17,6500.0,Good,,,Clear,MEAS,1,Imported Channel 1,CWAY,unspe,unkno,6500.0,162.0,949.0,6.85,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,24.131016,184.059502848,147.16628639999988,36.89321644800012,-60.33037191283229,61.572573478198876,41.630090323200065
3,1995-02-19 15:36:00,65,65,USGS,12100496,59,1995-02-19 15:36:00,PST,Yes,JCT/TEN,USGS,78.28,3190.0,Good,0.18,2.0,DebrisLight,MEAS,1,Imported Channel 1,CWAY,unspe,unkno,3190.0,155.0,608.0,5.25,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,23.859744000000003,90.33074062848002,101.51026176000029,-11.179521131520275,-60.33037191283229,61.572573478198876,-11.179521131520275
4,1995-11-29 11:37:00,71,71,USGS,12100496,65,1995-11-29 11:37:00,PST,Yes,MCM,USGS,80.4,6420.0,Good,,,Clear,MEAS,1,Imported Channel 1,CWAY,unspe,unkno,6420.0,164.0,939.0,6.52,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,24.505920000000003,181.79415512064003,221.27482560000067,-39.48067047936064,-60.33037191283229,61.572573478198876,-25.330095805440457
5,1996-03-05 09:45:00,72,72,USGS,12100496,66,1996-03-05 09:45:00,PST,Yes,EDT,USGS,78.41,509.0,Good,-0.02,0.8,Clear,MEAS,1,Imported Channel 1,WADE,unspe,unkno,509.0,117.0,217.0,2.35,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,23.899368,14.413274915328,107.72290872000008,-93.30963380467207,-60.33037191283229,61.572573478198876,-39.48067047936064
6,1996-05-08 16:20:00,73,73,USGS,12100496,67,1996-05-08 16:20:00,PDT,Yes,EDT,USGS,78.29,364.0,Good,0.01,0.8,Clear,MEAS,1,Imported Channel 1,WADE,unspe,unkno,364.0,115.0,187.0,1.95,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,23.862792,10.307332159488002,101.98815767999972,-91.68082552051172,-60.33037191283229,61.572573478198876,-65.58074799993618
7,1996-06-28 10:55:00,74,74,USGS,12100496,68,1996-06-28 10:55:00,PDT,Yes,EDT,USGS,78.23,397.0,Good,0.02,0.9,Clear,MEAS,1,Imported Channel 1,WADE,unspe,unkno,397.0,124.0,177.0,2.24,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,23.844504000000004,11.241788097024,99.14774553600043,-87.90595743897643,-60.33037191283229,61.572573478198876,-87.90595743897643
8,1996-09-15 15:15:00,75,75,USGS,12100496,69,1996-09-15 15:15:00,PDT,Yes,EDT,USGS,78.65,731.0,Good,0.04,0.9,Clear,MEAS,1,Imported Channel 1,WADE,unspe,unkno,731.0,118.0,265.0,2.76,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,23.972520000000003,20.699614858752003,119.65132800000055,-98.95171314124855,-60.33037191283229,61.572573478198876,-89.79339147974407
9,1996-11-22 09:37:00,76,76,USGS,12100496,70,1996-11-22 09:37:00,PST,Yes,EDT,USGS,78.0,263.0,Good,0.0,0.6,Clear,MEAS,1,Imported Channel 1,WADE,unspe,unkno,263.0,110.0,123.0,2.13,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,23.7744,7.447330653696001,88.62740399999994,-81.18007334630394,-60.33037191283229,61.572573478198876,-87.90595743897643
10,1997-01-03 09:35:00,77,77,USGS,12100496,71,1997-01-03 09:35:00,PST,Yes,BP,USGS,82.97,9010.0,Good,0.12,0.8,,MEAS,1,Imported Channel 1,CWAY,unspe,unkno,9010.0,173.0,1420.0,6.37,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,25.289256,255.13478779392003,414.10365600000034,-158.96886820608032,-84.54301539264019,65.41570529530232,-89.79339147974407
11,1997-02-07 15:00:00,78,78,USGS,12100496,72,1997-02-07 15:00:00,PST,Yes,EDT,USGS,79.16,950.0,Fair,0.1,1.1,Clear,MEAS,1,Imported Channel 1,CWAY,unspe,unkno,950.0,107.0,282.0,3.37,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,UNSP,,24.127968,26.901004262400004,146.6164271999999,-119.71542293759988,-89.79339147974407,56.070291968522135,-91.68082552051172
