#,USGS Gagename,USGS Gageno
1,Nooksack Bl Cascade Creek,12205000
2,MF Nooksack Near Deming,12208000
3,Nooksack At Ferndale,12213100
4,Thunder Creek Near Newhalem,12175500
5,Newhalem At Newhalem,12178100
6,Skagit At Newhalem,12178000
7,Skagit At Marblemount,12181000
8,Sauk Near Sauk,12189500
9,Sauk AB White Chuck Near Darrington,12186000
10,Skagit Near Concrete,12194000
11,Skagit Near Mt. Vernon,12200500
12,Stillaguamish Near Arlington,12167000
13,Skykomish Near Gold Bar,12134500
14,Sultan Near Sultan,12138160
15,Pilchuk Near Snohomish,12155300
16,SF Tolt Near Carnation,12148000
17,Snohomish Near Monroe,12150800
18,Snoquamie Near Carnation,12149000
19,Snoqulamie Near Snoqualmie,12144500
20,MF Snoqualmie Nr Tanner,12141300
21,SF Snoqualmie Nr Edgewick,12143600
22,SF Snoqualmie Nr North Bend,12144000
23,Issaquah Creek Near Hobart,12120600
24,Issaquah Creek Near Issaquah,12121600
25,Cedar At Renton,12119000
26,Green Near Auburn,12113000
27,Greenwater At Greenwater,12097500
28,White Near Auburn,12100496
29,Carbon Near Fairfax,12094000
30,Puyallup Near Orting,12093500
31,Puyallup At Puyallup,12101500
32,Nisqually Near National,12082500
33,Mineral Creek Near Mineral,12083000
34,Nisqually At La Grande,12086500
35,Cowlitz At Packwood,14226500
36,Cowlitz Bl Mayfield Dam,14238000
37,Cowlitz At Castle Rock,14243000
38,Newaukum Near Chehalis,12025000
39,Chehalis Near Doty,12020000
40,Chehalis Near Grand Mound,12027500
41,Chehalis At Porter,12031000
42,Satsop At Satsop,12035000
43,NF Skokomish Near Hoodsport,12056500
44,Skokomish Near Potlatch,12061500
45,Huge Creek Near Wauna,12073500
46,Duckabush Near Brinnon,12054000
47,Dungeness Near Sequim,12048000
48,Hoh Near Forks,12041200
49,Queets Near Clearwater,12040500
50,Deschutes At Tumwater,12080010
