H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
1.0;0.0;0.0;0.0;-3.33919;3.36583;
1.06;0.0;0.0;0.0;-3.33919;3.36583;
1.12;0.0;0.0;0.0;-3.33919;3.36583;
1.18;0.0;0.0;0.0;-3.33919;3.36583;
1.24;0.0;0.0;0.0;-3.33919;3.36583;
1.3;0.0;0.0;0.0;-3.33919;3.36583;
1.36;0.0;0.0;0.0;-3.33919;3.36583;
1.42;0.0;0.0;0.0;-3.33919;3.36583;
1.48;0.0;0.0;0.0;-3.33919;3.36583;
1.54;0.0;0.0;0.0;-3.33919;3.36583;
1.6;0.0;0.0;0.0;-3.33919;3.36583;
1.66;0.0;0.0;0.0;-3.33919;3.36583;
1.72;0.0;0.0;0.0;-3.33919;3.36583;
1.78;0.0;0.0;0.0;-3.33919;3.36583;
1.84;0.0;0.0;0.0;-3.33919;3.36583;
1.9;0.0;0.0;0.0899288;-3.33919;3.36583;
1.96;0.0709361;0.0;0.63364;-3.33142;3.71242;
2.02;0.701522;0.379803;1.51947;-2.8237;4.5999;
2.08;1.78626;1.31858;2.76317;-1.90668;6.05423;
2.14;3.24489;2.66869;4.31049;-0.703497;7.88411;
2.2;5.03602;4.40123;6.13584;0.942387;10.0429;
2.26;7.13252;6.37353;8.24886;2.55179;12.5824;
2.32;9.5146;8.66365;10.6208;4.06733;15.3435;
2.38;12.1669;11.1181;13.2558;5.97838;18.5474;
2.44;15.0769;13.729;16.225;8.02197;21.9843;
2.5;18.2344;16.5077;19.4738;10.3221;25.8258;
2.56;21.6304;19.539;22.9851;12.8399;29.9328;
2.62;25.2574;22.7787;26.7562;15.3798;34.3571;
2.68;29.1085;26.1049;30.8759;17.8503;39.3164;
2.74;33.1778;29.5591;35.1458;20.4979;44.5374;
2.8;37.4599;33.1272;39.7126;23.1209;50.0122;
2.86;41.9499;36.9407;44.5563;25.961;55.734;
2.92;46.6434;40.8918;49.445;29.0342;61.6965;
2.98;51.5363;44.9107;54.5371;32.2305;67.8415;
3.04;56.6248;49.218;59.9045;35.5774;74.0406;
3.1;61.9055;53.6965;65.573;39.0486;80.8252;
3.16;67.3751;58.6343;71.5428;42.6421;87.8444;
3.22;73.0306;63.638;77.8703;47.3267;94.9323;
3.28;78.8691;68.6409;84.4791;50.9824;102.726;
3.34;84.8881;74.0621;92.3483;55.4925;110.511;
3.4;91.0848;79.3332;100.201;60.3181;118.725;
3.46;97.4571;84.7521;107.927;65.9331;129.161;
3.52;104.128;90.4163;116.979;71.7171;139.67;
3.58;113.346;97.4858;126.668;77.9123;152.319;
3.64;122.873;104.094;137.427;83.2722;165.371;
3.7;132.702;111.522;147.022;90.3716;178.373;
3.76;142.83;119.077;158.1;96.7908;192.613;
3.82;153.252;127.671;169.777;103.376;207.935;
3.88;163.963;136.063;181.57;109.844;221.347;
3.94;174.96;145.252;193.564;117.055;237.911;
4.0;186.238;155.002;206.122;125.807;254.403;
4.06;197.795;165.075;219.786;134.331;270.734;
4.12;209.626;174.91;233.093;142.202;287.824;
4.18;221.729;185.708;246.566;150.249;304.768;
4.24;234.101;197.773;260.443;158.469;322.187;
4.3;246.738;207.939;274.887;166.86;340.143;
4.36;259.637;219.087;289.432;175.42;358.494;
4.42;272.797;229.788;304.564;184.194;377.238;
4.48;286.213;239.554;319.552;193.943;396.369;
4.54;299.884;251.451;335.223;204.491;415.885;
4.6;313.808;261.912;351.708;215.267;435.782;
4.66;327.981;272.546;367.752;226.25;456.057;
4.72;342.403;284.132;384.083;235.879;476.707;
4.78;357.069;294.347;401.876;245.668;497.729;
4.84;371.979;305.473;419.978;255.616;519.119;
4.9;387.131;318.245;436.903;265.722;540.874;
4.96;402.522;331.399;455.659;275.661;562.993;
5.02;418.15;342.968;475.481;286.402;585.472;
5.08;434.014;354.699;494.719;296.974;608.309;
5.14;450.112;366.59;512.852;307.699;631.501;
5.2;466.442;379.115;531.14;318.576;655.046;
5.26;483.002;391.407;549.94;329.605;678.941;
5.32;499.791;403.851;570.051;340.784;703.184;
5.38;516.807;416.446;590.861;352.113;727.845;
5.44;534.049;429.191;612.099;363.59;752.705;
5.5;551.515;442.084;633.4;375.214;777.979;
5.56;569.204;455.125;655.125;386.985;803.592;
5.62;587.113;468.534;676.584;398.902;829.543;
5.68;605.243;482.577;698.142;410.964;855.829;
5.74;623.591;496.783;719.968;423.171;882.448;
5.8;642.156;511.148;742.059;435.52;909.399;
5.86;660.937;525.682;764.413;448.012;936.679;
5.92;679.932;540.433;787.029;460.174;964.287;
5.98;699.141;555.347;810.013;472.446;992.222;
6.04;718.561;570.422;834.489;484.842;1020.48;
6.1;738.193;585.657;859.914;497.36;1049.06;
6.16;758.034;601.052;885.649;509.999;1077.96;
6.22;778.084;616.606;911.692;522.76;1107.19;
6.28;798.341;632.318;938.043;535.641;1136.73;
6.34;818.805;648.187;964.393;548.642;1166.58;
6.4;839.473;664.213;990.195;561.762;1196.75;
6.46;860.347;680.394;1016.28;575.024;1227.24;
6.52;881.423;696.73;1042.64;590.287;1258.03;
6.58;902.701;713.22;1069.28;604.448;1289.14;
6.64;924.181;729.39;1096.19;617.78;1320.55;
6.7;945.861;745.532;1123.39;631.227;1352.28;
6.76;967.74;762.064;1150.85;645.378;1384.31;
6.82;989.818;779.021;1178.59;660.131;1416.64;
6.88;1012.09;796.123;1206.6;675.013;1449.28;
6.94;1034.56;813.369;1234.88;690.022;1482.22;
7.0;1057.23;830.76;1263.44;705.158;1515.46;
