H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-2.14828;2.31651;
0.055;0.0;0.0;0.0;-2.14828;2.31651;
0.11;0.0;0.0;0.0;-2.14828;2.31651;
0.165;0.0;0.0;0.0;-2.14828;2.31651;
0.22;0.0;0.0;0.0;-2.14828;2.31651;
0.275;0.0;0.0;0.0;-2.14828;2.31651;
0.33;0.0;0.0;0.0;-2.14828;2.31651;
0.385;0.0;0.0;0.0;-2.14828;2.31651;
0.44;0.0;0.0;0.0;-2.14828;2.31651;
0.495;0.0;0.0;0.0;-2.14828;2.31651;
0.55;0.0;0.0;0.0;-2.14828;2.31651;
0.605;0.0;0.0;0.0;-2.14828;2.31651;
0.66;0.0;0.0;0.0567371;-2.14828;2.31651;
0.715;0.204805;0.0288275;0.503308;-2.0041;2.61779;
0.77;0.849814;0.509956;1.29766;-1.52954;3.39912;
0.825;1.82603;1.39343;2.36535;-0.664843;4.49674;
0.88;3.09058;2.61078;3.66051;0.487428;5.99775;
0.935;4.61795;4.12451;5.19336;1.86901;7.71354;
0.99;6.39034;5.85978;6.95307;3.44571;9.77734;
1.045;8.39431;7.84734;8.97828;5.28804;12.0376;
1.1;10.6192;10.0186;11.2266;7.27231;14.4402;
1.155;13.0561;12.427;13.669;9.35345;17.2069;
1.21;15.6977;15.0074;16.3237;11.7779;20.2517;
1.265;18.5375;17.802;19.2207;14.2112;23.4407;
1.32;21.5699;20.7204;22.3763;16.6818;26.8543;
1.375;24.7899;23.8098;25.6526;19.3206;30.5343;
1.43;28.1931;26.9782;29.1416;22.1778;34.4216;
1.485;31.7755;30.3392;32.884;25.2421;38.4892;
1.54;35.5334;33.8694;36.8099;28.4244;42.636;
1.595;39.4634;37.551;40.8874;31.7505;47.0339;
1.65;43.5625;41.3396;45.136;35.2176;51.8554;
1.705;47.8278;45.3551;49.6648;38.8235;56.5612;
1.76;52.2567;49.5188;54.3765;42.4564;61.2935;
1.815;56.8466;53.7578;59.1776;46.1182;66.574;
1.87;61.5953;58.0981;64.1745;49.9469;72.0355;
1.925;66.5006;62.5422;69.3791;53.8868;77.6752;
1.98;71.5603;67.0996;74.7076;57.9169;83.4399;
2.035;76.7727;71.8132;80.1975;62.0629;89.2967;
2.09;82.1358;76.6384;85.858;66.3234;95.3196;
2.145;87.6478;81.5913;91.6985;70.6969;101.507;
2.2;93.3072;86.7597;97.698;75.1821;107.856;
2.255;99.1123;92.0552;103.893;79.7778;114.365;
2.31;105.062;97.4469;110.263;84.4827;121.137;
2.365;111.154;102.919;116.791;89.3047;128.142;
2.42;117.387;108.509;123.476;94.3417;135.316;
2.475;123.761;114.216;130.275;99.4854;142.54;
2.53;130.274;120.038;137.24;104.735;149.869;
2.585;136.924;125.975;144.437;110.089;157.35;
2.64;143.71;132.025;151.75;115.546;164.982;
2.695;150.632;138.188;159.196;121.107;172.762;
2.75;157.688;144.462;166.791;126.768;180.777;
2.805;164.877;150.845;174.533;132.53;189.079;
2.86;172.199;157.338;182.422;138.345;197.537;
2.915;179.651;163.94;190.456;144.353;206.149;
2.97;187.234;170.648;198.634;150.435;214.913;
3.025;194.946;177.463;207.012;156.635;223.829;
3.08;202.786;184.384;215.551;162.937;232.896;
3.135;210.753;191.41;224.181;169.341;242.112;
3.19;218.848;198.539;232.882;175.845;251.477;
3.245;227.068;205.772;241.72;182.449;260.99;
3.3;235.413;213.107;250.693;189.152;270.65;
3.355;243.883;220.544;259.845;195.954;280.455;
3.41;252.476;228.082;269.145;202.854;290.406;
3.465;261.192;235.72;278.582;209.852;300.43;
3.52;270.029;243.458;288.154;216.947;310.504;
3.575;278.988;251.295;297.883;224.138;320.715;
3.63;288.068;259.23;307.818;231.425;331.061;
3.685;297.268;267.263;317.892;238.808;341.541;
3.74;306.587;275.393;328.104;246.285;352.155;
3.795;316.025;283.6;338.454;253.856;362.902;
3.85;325.581;291.84;348.941;261.521;373.912;
3.905;335.255;300.172;359.565;269.28;384.862;
3.96;345.045;308.596;370.324;277.131;395.941;
4.015;354.952;317.111;381.095;285.074;407.2;
4.07;364.975;325.717;391.975;293.11;418.6;
4.125;375.112;334.413;402.983;301.237;430.128;
4.18;385.365;343.355;414.118;309.454;441.784;
4.235;395.731;352.464;425.38;317.763;453.568;
4.29;406.212;361.67;436.768;326.161;465.478;
4.345;416.805;370.972;448.282;334.649;477.514;
4.4;427.511;380.322;459.921;343.226;490.08;
4.455;438.329;389.665;471.684;351.893;502.941;
4.51;449.258;399.097;483.572;360.647;515.406;
4.565;460.299;408.619;495.582;369.49;527.771;
4.62;471.451;418.23;507.716;378.421;540.577;
4.675;482.712;427.929;519.973;387.439;553.681;
4.73;494.084;437.717;532.351;396.544;566.916;
4.785;505.565;447.592;544.889;405.736;580.283;
4.84;517.154;457.555;557.61;415.014;593.589;
4.895;528.853;467.605;570.454;424.378;606.784;
4.95;540.659;477.741;583.421;433.827;620.571;
5.005;552.573;487.963;596.511;443.362;634.489;
5.06;564.594;498.272;609.724;452.982;648.539;
5.115;576.722;508.665;623.059;462.686;662.72;
5.17;588.957;519.144;636.516;472.475;677.032;
5.225;601.298;529.708;650.095;482.348;691.473;
5.28;613.744;540.355;663.796;492.304;706.045;
5.335;626.296;551.087;677.617;502.344;720.745;
5.39;638.953;561.903;691.558;512.467;735.575;
5.445;651.714;572.805;705.619;522.673;750.533;
5.5;664.579;583.894;719.799;532.961;765.619;
