H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
8.0;0.0;0.0;0.0;-0.620935;0.707686;
8.08;0.0;0.0;0.0;-0.620935;0.707686;
8.16;0.0;0.0;0.0;-0.620935;0.707686;
8.24;0.0;0.0;0.0;-0.620935;0.707686;
8.32;0.0;0.0;0.0;-0.620935;0.707686;
8.4;0.0;0.0;0.0;-0.620935;0.707686;
8.48;0.0;0.0;0.0;-0.620935;0.707686;
8.56;0.0;0.0;0.0;-0.620935;0.707686;
8.64;0.0650251;5.23439E-4;0.223491;-0.566152;0.773996;
8.72;0.658686;0.460935;0.930051;0.0133796;1.40495;
8.8;1.69619;1.44095;2.01603;1.01441;2.45165;
8.88;3.10415;2.82402;3.45787;2.39246;3.85097;
8.96;4.84422;4.57228;5.20506;4.11719;5.58887;
9.04;6.89109;6.57618;7.22972;6.14075;7.71322;
9.12;9.22618;8.90221;9.57597;8.46514;10.0677;
9.2;11.835;11.5186;12.2066;11.0543;12.7595;
9.28;14.7059;14.3727;15.1027;13.8991;15.7164;
9.36;17.8288;17.4545;18.2401;16.9412;18.8916;
9.44;21.1956;20.7657;21.6531;20.2453;22.3143;
9.52;24.7988;24.3148;25.2851;23.747;26.0421;
9.6;28.632;28.0876;29.1537;27.4975;29.9998;
9.68;32.6896;32.0905;33.2667;31.4611;34.1599;
9.76;36.9662;36.2962;37.5844;35.632;38.5527;
9.84;41.4573;40.6962;42.1076;40.0149;43.1561;
9.92;46.1585;45.286;46.8667;44.5846;47.9679;
10.0;51.066;50.0824;51.8101;49.3407;53.0577;
10.08;56.176;55.0873;56.9898;54.3166;58.2775;
10.16;61.4854;60.2796;62.3999;59.4349;63.7628;
10.24;66.9908;65.6725;67.9942;64.7576;69.4508;
10.32;72.6894;71.2338;73.8104;70.3242;75.3187;
10.4;78.5785;77.0075;79.8142;76.0311;81.3794;
10.48;84.6554;82.9491;86.0001;81.8942;87.619;
10.56;90.9177;89.0603;92.3731;87.9207;94.096;
10.64;97.3631;95.3732;98.8913;94.1533;100.797;
10.72;103.989;101.846;105.647;100.654;107.58;
10.8;110.795;108.467;112.565;107.266;114.539;
10.88;117.777;115.286;119.692;113.996;121.673;
10.96;124.933;122.275;126.97;120.935;128.979;
11.04;132.264;129.433;134.401;128.093;136.456;
11.12;139.765;136.757;142.033;135.372;144.191;
11.2;147.436;144.28;149.865;142.817;152.103;
11.28;155.276;151.899;157.849;150.426;160.275;
11.36;163.282;159.626;166.051;158.199;168.566;
11.44;171.454;167.585;174.402;166.112;176.881;
11.52;179.789;175.605;182.914;174.004;185.482;
11.6;188.287;183.874;191.613;182.04;194.253;
11.68;196.945;192.228;200.47;190.217;203.191;
11.76;205.764;200.714;209.494;198.619;212.295;
11.84;214.742;209.37;218.683;207.286;221.563;
11.92;223.876;218.17;228.035;216.106;230.996;
12.0;233.167;227.11;237.551;225.079;240.591;
12.08;242.614;236.193;247.228;234.196;250.347;
12.16;252.214;245.421;257.065;243.332;260.264;
12.24;261.968;254.854;267.042;252.608;270.34;
12.32;271.873;264.457;277.158;262.024;280.574;
12.4;281.93;273.952;287.429;271.735;290.966;
12.48;292.137;283.743;297.854;281.592;301.513;
12.56;302.493;293.685;308.54;291.594;312.216;
12.64;312.997;303.748;319.408;301.581;323.074;
12.72;323.649;313.941;330.342;311.7;334.084;
12.8;334.447;324.373;341.521;321.956;345.329;
12.88;345.391;334.983;352.967;332.347;356.756;
12.96;356.479;345.734;364.491;342.873;368.339;
13.04;367.712;356.625;376.004;353.473;380.077;
13.12;379.088;367.645;387.665;364.198;391.969;
13.2;390.607;378.764;399.474;375.051;404.097;
13.28;402.267;390.018;411.482;386.031;416.459;
13.36;414.068;401.409;423.716;397.142;428.89;
13.44;426.01;412.933;436.71;408.437;441.308;
13.52;438.091;425.081;450.315;420.259;454.796;
13.6;450.311;437.781;469.808;435.003;473.333;
13.68;467.9;452.212;495.198;450.75;498.009;
13.76;495.052;472.539;522.363;470.994;524.76;
13.84;522.893;497.125;549.486;494.487;553.319;
13.92;551.418;523.516;578.471;521.04;582.531;
14.0;580.624;552.103;608.149;550.028;612.244;
14.08;610.507;582.139;638.544;580.212;642.978;
14.16;641.064;611.935;671.312;611.131;674.24;
14.24;672.292;642.438;704.089;641.067;706.562;
14.32;704.186;673.302;737.51;670.467;740.658;
14.4;736.746;704.151;772.423;701.447;775.217;
14.48;769.967;735.114;808.228;731.983;808.741;
14.56;803.846;766.001;844.422;764.158;845.867;
14.64;838.381;797.267;881.438;795.929;882.998;
14.72;873.569;829.565;920.111;827.678;921.227;
14.8;909.407;862.349;960.274;861.228;961.269;
14.88;945.893;895.81;999.961;894.141;1003.76;
14.96;983.025;929.32;1040.75;927.61;1045.98;
15.04;1020.8;963.726;1083.45;961.718;1090.92;
15.12;1059.21;998.264;1124.38;996.21;1132.36;
15.2;1098.27;1033.68;1168.08;1031.34;1174.63;
15.28;1137.95;1069.64;1211.54;1067.01;1220.22;
15.36;1178.28;1106.16;1258.63;1102.48;1268.12;
15.44;1219.23;1143.22;1306.52;1138.73;1313.45;
15.52;1260.81;1179.8;1355.22;1175.29;1359.49;
15.6;1303.02;1216.5;1401.81;1211.92;1406.74;
15.68;1345.86;1253.68;1449.08;1249.95;1455.9;
15.76;1389.31;1291.36;1498.34;1289.53;1505.84;
15.84;1433.39;1330.3;1549.05;1328.51;1556.56;
15.92;1478.09;1370.26;1600.52;1367.99;1608.06;
16.0;1523.41;1410.74;1652.77;1407.98;1660.13;
