H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
92.0;0.0;0.0;0.0;-0.296052;0.312198;
92.105;0.0;0.0;0.0;-0.296052;0.312198;
92.21;0.0;0.0;0.0;-0.296052;0.312198;
92.315;0.0;0.0;0.0;-0.296052;0.312198;
92.42;0.0;0.0;0.0;-0.296052;0.312198;
92.525;0.0;0.0;0.0;-0.296052;0.312198;
92.63;0.0;0.0;0.0;-0.296052;0.312198;
92.735;0.0;0.0;0.0;-0.296052;0.312198;
92.84;0.226637;0.0998867;0.313113;-0.178852;0.545994;
92.945;1.54398;1.31444;1.69329;0.730387;2.24682;
93.05;3.6962;3.38679;3.91901;2.1175;5.08862;
93.155;6.54739;6.12307;6.91711;4.08567;8.92253;
93.26;10.024;9.37277;10.6161;6.4512;13.3878;
93.365;14.0768;13.1538;14.9493;9.17157;18.6435;
93.47;18.6697;17.442;19.9226;12.276;24.6795;
93.575;23.7744;22.1871;25.4526;15.7818;31.393;
93.68;29.3679;27.3504;31.4576;19.5442;38.8497;
93.785;35.431;32.9016;37.9511;23.5389;46.9672;
93.89;41.9472;38.8734;45.0347;27.8267;55.7434;
93.995;48.9022;45.2085;52.6599;32.3985;65.1275;
94.1;56.2835;51.9875;60.8815;37.2464;75.1027;
94.205;64.0799;59.1478;69.3684;42.363;85.6539;
94.31;72.2813;66.5786;78.3477;47.7418;96.7675;
94.415;80.8785;74.3511;87.7542;53.3771;108.431;
94.52;89.8632;82.4575;97.5598;59.2635;120.634;
94.625;99.2278;90.8905;107.798;65.396;133.365;
94.73;108.965;99.6316;118.558;71.7867;146.615;
94.835;119.069;108.653;129.723;78.8249;160.314;
94.94;129.532;118.001;141.485;86.1293;173.961;
95.045;140.351;127.654;153.583;93.6954;188.226;
95.15;151.518;137.582;166.021;101.519;203.338;
95.255;163.029;148.003;178.934;109.551;219.23;
95.36;174.88;158.559;192.476;117.569;235.073;
95.465;187.065;169.399;205.875;125.818;251.504;
95.57;199.581;180.519;220.027;134.296;268.483;
95.675;212.424;191.915;234.906;143.0;285.914;
95.78;225.589;203.584;250.461;151.928;303.943;
95.885;239.074;215.523;265.871;161.076;322.633;
95.99;252.874;227.93;281.891;171.959;341.56;
96.095;266.986;240.759;298.39;182.554;360.111;
96.2;281.407;253.751;315.969;192.287;380.067;
96.305;296.135;267.322;333.955;202.22;400.721;
96.41;311.165;280.545;350.841;212.351;422.247;
96.515;326.496;294.015;369.176;222.677;444.452;
96.62;342.124;307.729;387.911;233.197;465.986;
96.725;358.047;321.683;407.03;243.908;487.89;
96.83;374.263;335.932;426.676;256.143;510.203;
96.935;390.768;352.698;446.406;268.019;532.924;
97.04;407.561;367.606;466.658;279.378;556.049;
97.145;424.639;383.574;487.281;292.276;580.693;
97.25;442.001;401.433;509.301;305.504;606.274;
97.355;459.643;417.841;533.722;318.961;631.673;
97.46;478.329;434.889;556.859;332.644;656.998;
97.565;498.241;451.292;578.726;345.975;685.493;
97.67;518.476;469.258;600.931;359.191;712.859;
97.775;539.032;486.463;623.472;372.608;740.553;
97.88;559.908;503.293;646.346;387.96;769.313;
97.985;581.099;520.343;669.551;402.562;797.173;
98.09;602.605;537.611;693.085;416.075;829.061;
98.195;624.423;555.173;716.945;429.763;859.602;
98.3;646.55;573.028;741.227;443.624;890.584;
98.405;668.985;592.274;768.645;457.657;922.003;
98.51;691.726;611.581;797.344;472.062;953.856;
98.615;714.77;631.652;825.614;487.046;986.141;
98.72;738.115;650.987;852.066;502.22;1018.86;
98.825;761.76;670.244;878.856;517.584;1051.99;
98.93;785.702;689.438;905.982;533.136;1085.56;
99.035;809.94;711.335;933.443;548.876;1119.32;
99.14;834.473;734.149;961.236;564.802;1152.57;
99.245;859.297;757.253;989.36;580.914;1186.22;
99.35;884.412;779.055;1017.81;597.21;1220.25;
99.455;909.816;800.677;1046.59;614.619;1254.67;
99.56;935.508;823.341;1075.95;631.911;1289.46;
99.665;961.485;845.917;1105.13;650.335;1324.64;
99.77;987.746;871.24;1134.88;668.963;1360.2;
