H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
38.5;0.0;0.0;0.0;-8.07672;7.26172;
38.56;0.0;0.0;0.0;-8.07672;7.26172;
38.62;0.0;0.0;0.0;-8.07672;7.26172;
38.68;0.0;0.0;0.0;-8.07672;7.26172;
38.74;0.0;0.0;0.0;-8.07672;7.26172;
38.8;0.0;0.0;0.0;-8.07672;7.26172;
38.86;0.0;0.0;0.0;-8.07672;7.26172;
38.92;0.0;0.0;0.0;-8.07672;7.26172;
38.98;0.0;0.0;0.0463634;-8.07672;7.26481;
39.04;0.0938885;0.0;0.557461;-8.07672;7.50299;
39.1;0.728848;0.345227;1.49703;-7.66333;8.43275;
39.16;1.8265;1.2241;2.84374;-6.5957;9.64561;
39.22;3.32647;2.54248;4.55028;-5.14952;11.2371;
39.28;5.1951;4.30457;6.56734;-3.34258;13.2641;
39.34;7.40948;6.41442;8.89633;-1.18853;15.5213;
39.4;9.95249;8.84655;11.5346;1.28651;18.071;
39.46;12.8106;11.6072;14.4905;4.05498;20.9417;
39.52;15.9726;14.6842;17.7465;7.06014;24.1212;
39.58;19.4291;18.0368;21.2842;10.4133;27.5992;
39.64;23.1721;21.6717;25.1211;13.95;31.5665;
39.7;27.1945;25.6393;29.2334;17.8009;35.7068;
39.76;31.4899;29.7905;33.6036;22.0696;40.0344;
39.82;36.0528;34.2655;38.186;26.4854;44.9147;
39.88;40.878;39.0086;43.1295;31.0925;50.0905;
39.94;45.9609;43.9967;48.2304;35.7772;55.4995;
40.0;51.2973;49.2229;53.7097;40.9399;60.9395;
40.06;56.8832;54.694;59.3338;46.2179;66.6338;
40.12;62.715;60.4256;65.2993;51.7965;72.6064;
40.18;68.7893;66.3529;71.432;57.6056;78.8597;
40.24;75.103;72.5519;77.912;63.4339;85.2248;
40.3;81.653;78.9396;84.6278;69.405;92.2334;
40.36;88.4367;85.5163;91.5516;75.5882;99.198;
40.42;95.4513;92.3592;98.6019;82.3043;106.691;
40.48;102.694;99.4088;105.897;88.9865;114.068;
40.54;110.164;106.747;113.733;95.8737;122.05;
40.6;117.857;114.027;121.567;102.917;130.408;
40.66;125.771;121.666;129.711;110.144;139.009;
40.72;133.906;129.665;138.007;117.699;147.851;
40.78;142.258;137.593;146.793;125.432;156.72;
40.84;150.826;145.917;155.694;133.314;165.354;
40.9;159.609;154.507;164.794;141.391;174.183;
40.96;168.603;163.197;174.214;149.66;183.239;
41.02;177.809;172.15;183.861;158.119;192.597;
41.08;187.223;181.308;193.612;166.767;202.642;
41.14;196.846;190.615;203.526;175.604;213.084;
41.2;206.674;200.048;213.627;184.715;223.786;
41.26;216.707;209.677;223.946;194.196;234.511;
41.32;226.944;219.421;234.469;203.932;245.227;
41.38;237.382;229.381;245.506;213.871;256.348;
41.44;248.022;239.63;256.824;223.635;267.617;
41.5;258.861;250.092;267.969;233.798;278.904;
41.56;269.898;260.651;279.606;244.211;290.804;
41.62;281.132;271.344;291.354;254.794;302.978;
41.68;292.562;282.349;303.204;265.245;315.372;
41.74;304.188;293.577;315.256;275.857;327.841;
41.8;316.007;304.953;327.558;286.887;340.503;
41.86;328.018;316.382;340.341;298.206;353.481;
41.92;340.222;327.987;353.34;309.483;366.596;
41.98;352.616;339.766;366.553;320.769;379.894;
42.04;365.2;351.676;379.98;332.224;393.397;
42.1;377.973;363.791;393.619;343.845;407.105;
42.16;390.934;376.143;407.471;355.633;421.017;
42.22;404.082;388.752;421.533;367.861;434.935;
42.28;417.416;401.5;435.805;380.322;449.278;
42.34;430.936;414.394;450.287;392.955;463.573;
42.4;444.64;427.484;464.977;405.759;478.058;
42.46;458.527;441.173;479.77;418.733;492.733;
42.52;472.598;455.202;494.673;431.875;507.597;
42.58;486.85;469.267;509.774;446.58;524.031;
42.64;501.284;483.098;525.808;461.782;539.542;
42.7;515.899;497.567;542.949;477.747;556.186;
42.76;531.214;511.917;560.624;492.595;573.854;
42.82;551.566;529.701;579.88;510.019;593.659;
42.88;572.245;546.383;599.688;525.25;614.219;
42.94;593.25;563.67;620.042;542.959;634.431;
43.0;614.578;583.206;641.167;560.825;655.428;
43.06;636.228;600.627;662.962;577.657;676.981;
43.12;658.198;620.207;685.707;597.344;698.487;
43.18;680.488;641.126;708.024;617.104;720.375;
43.24;703.094;662.11;731.799;636.867;743.657;
43.3;726.017;682.765;756.041;656.886;767.284;
43.36;749.254;704.848;780.002;677.158;791.419;
43.42;772.804;727.035;804.29;697.682;815.785;
43.48;796.665;750.216;828.902;718.458;841.711;
43.54;820.837;772.887;853.1;739.482;866.544;
43.6;845.318;795.839;878.454;760.778;892.2;
43.66;870.106;819.07;904.426;784.274;918.197;
43.72;895.201;841.378;930.572;808.079;943.673;
43.78;920.601;865.033;957.096;830.667;969.935;
43.84;946.305;889.782;984.135;854.24;997.215;
43.9;972.311;914.031;1011.49;879.688;1024.97;
43.96;998.62;938.028;1038.94;904.777;1053.05;
44.02;1025.23;962.257;1067.17;928.714;1081.08;
44.08;1052.14;987.907;1095.48;953.552;1107.93;
44.14;1079.34;1013.84;1124.57;977.422;1135.51;
44.2;1106.84;1039.48;1155.62;1001.54;1164.68;
44.26;1134.64;1064.71;1186.63;1025.9;1195.2;
44.32;1162.74;1089.26;1216.97;1050.5;1226.07;
44.38;1191.13;1113.79;1247.31;1075.34;1256.65;
44.44;1219.81;1139.78;1277.97;1100.43;1288.35;
44.5;1248.78;1165.59;1308.52;1125.75;1320.31;
