H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
3.0;0.0;0.0;0.0;-7.67576;8.1649;
3.17;0.0;0.0;0.0;-7.67576;8.1649;
3.34;0.0;0.0;0.0;-7.67576;8.1649;
3.51;0.0;0.0;0.0;-7.67576;8.1649;
3.68;0.0;0.0;0.0;-7.67576;8.1649;
3.85;0.0;0.0;0.0;-7.67576;8.1649;
4.02;0.0;0.0;0.0;-7.67576;8.1649;
4.19;0.0;0.0;0.0;-7.67576;8.1649;
4.36;0.0;0.0;0.0;-7.67576;8.1649;
4.53;0.0;0.0;0.0;-7.67576;8.1649;
4.7;0.0;0.0;0.0;-7.67576;8.1649;
4.87;0.0;0.0;0.0;-7.67576;8.1649;
5.04;0.0;0.0;0.0;-7.67576;8.1649;
5.21;0.0;0.0;0.0;-7.67576;8.1649;
5.38;0.0;0.0;0.0;-7.67576;8.1649;
5.55;0.0;0.0;0.0;-7.67576;8.1649;
5.72;0.0;0.0;0.0;-7.67576;8.1649;
5.89;0.0;0.0;0.0;-7.67576;8.1649;
6.06;0.0;0.0;0.0;-7.67576;8.1649;
6.23;0.0;0.0;0.0;-7.67576;8.1649;
6.4;0.0;0.0;0.0;-7.67576;8.1649;
6.57;0.0;0.0;0.0;-7.67576;8.1649;
6.74;0.0;0.0;0.0;-7.67576;8.1649;
6.91;0.0;0.0;0.0;-7.67576;8.1649;
7.08;0.0;0.0;0.0;-7.67576;8.1649;
7.25;0.0;0.0;0.0;-7.67576;8.1649;
7.42;0.0;0.0;0.0;-7.67576;8.1649;
7.59;0.0;0.0;0.0;-7.67576;8.1649;
7.76;0.0;0.0;0.0;-7.67576;8.1649;
7.93;0.0;0.0;0.0;-7.67576;8.1649;
8.1;0.0;0.0;0.0;-7.67576;8.1649;
8.27;0.0;0.0;0.0;-7.67576;8.1649;
8.44;0.0;0.0;0.0;-7.67576;8.1649;
8.61;2.05317;0.600009;4.5988;-5.28331;10.3614;
8.78;11.3526;8.59685;15.2306;4.20187;20.2419;
8.95;25.6951;22.3346;30.0667;17.7618;35.6265;
9.12;44.1803;40.6105;48.7871;34.8689;55.3431;
9.29;66.3208;62.7519;70.968;55.4979;78.7439;
9.46;91.7933;88.4558;96.2283;78.5485;105.783;
9.63;120.361;117.002;124.708;105.129;136.119;
9.8;151.84;148.211;155.877;133.88;170.07;
9.97;186.081;182.007;190.115;165.213;207.561;
10.14;222.96;218.428;226.932;198.931;246.919;
10.31;262.373;257.456;266.725;234.676;289.047;
10.48;304.227;298.605;308.792;272.354;334.396;
10.65;348.444;341.95;353.566;312.169;382.218;
10.82;394.951;387.18;401.09;355.058;432.539;
10.99;443.686;434.628;450.813;399.464;485.184;
11.16;494.59;484.469;502.652;446.076;540.126;
11.33;547.612;536.058;556.901;495.008;597.307;
11.5;602.703;590.256;613.259;545.527;656.674;
11.67;659.819;646.518;671.62;597.908;718.179;
11.84;718.919;703.568;732.114;651.518;781.975;
12.01;779.966;763.379;794.684;706.884;848.668;
12.18;842.923;824.751;859.026;763.972;917.221;
12.35;907.759;887.795;925.165;822.753;986.931;
12.52;974.442;951.514;993.687;883.198;1059.06;
12.69;1042.94;1018.44;1064.01;945.282;1134.24;
12.86;1113.23;1086.36;1135.9;1009.07;1210.4;
13.03;1185.29;1156.75;1209.82;1074.71;1288.49;
13.2;1259.08;1228.74;1285.47;1141.94;1368.49;
13.37;1334.59;1301.36;1362.86;1210.98;1450.37;
13.54;1411.8;1375.51;1442.0;1281.97;1534.1;
13.71;1490.67;1451.19;1522.85;1354.54;1619.66;
13.88;1571.2;1528.39;1605.54;1427.88;1707.04;
14.05;1653.36;1607.53;1690.13;1501.68;1796.21;
14.22;1737.14;1688.15;1776.41;1577.54;1887.15;
14.39;1822.51;1769.67;1864.87;1655.34;1979.84;
14.56;1909.46;1852.13;1955.24;1733.82;2074.18;
14.73;1997.98;1938.12;2046.16;1812.84;2170.23;
14.9;2088.04;2025.63;2139.98;1893.16;2268.26;
15.07;2179.63;2114.33;2235.47;1977.16;2367.79;
15.24;2272.74;2202.58;2331.69;2062.63;2468.99;
15.41;2367.35;2292.15;2428.99;2149.53;2571.84;
15.58;2463.45;2383.04;2528.25;2237.85;2676.33;
15.75;2561.02;2475.67;2629.82;2327.58;2782.45;
15.92;2660.06;2570.05;2732.96;2417.61;2890.18;
16.09;2760.55;2665.76;2838.12;2510.16;2999.5;
16.26;2862.48;2762.78;2945.24;2603.12;3110.53;
16.43;2965.83;2860.75;3053.96;2697.32;3223.26;
16.6;3070.6;2959.23;3164.27;2792.8;3337.56;
16.77;3176.78;3058.93;3276.17;2889.57;3452.77;
16.94;3284.35;3159.83;3389.64;2987.6;3569.67;
17.11;3393.3;3261.93;3504.67;3086.9;3688.33;
17.28;3503.62;3366.15;3621.26;3185.85;3808.51;
17.45;3615.31;3471.72;3738.49;3285.16;3932.21;
17.62;3728.35;3579.04;3856.74;3385.59;4055.69;
17.79;3842.74;3687.92;3975.61;3488.05;4180.67;
17.96;3958.46;3798.04;4095.08;3594.03;4307.13;
18.13;4075.51;3909.4;4217.58;3701.12;4435.07;
18.3;4193.87;4021.98;4342.91;3807.49;4564.47;
18.47;4313.55;4135.79;4469.6;3914.99;4695.33;
18.64;4434.52;4250.82;4596.44;4023.63;4827.63;
18.81;4556.79;4367.05;4724.68;4133.38;4961.38;
18.98;4680.35;4482.94;4854.44;4244.25;5096.55;
19.15;4805.18;4599.81;4987.0;4356.22;5233.15;
19.32;4931.28;4719.04;5120.99;4469.3;5371.16;
19.49;5058.65;4838.23;5256.43;4583.46;5510.79;
19.66;5187.27;4958.1;5393.29;4698.72;5653.18;
19.83;5317.13;5079.06;5531.58;4815.05;5797.02;
20.0;5448.24;5201.08;5671.27;4932.46;5942.3;
