H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-11.9005;11.965;
0.045;0.0;0.0;0.0;-11.9005;11.965;
0.09;0.0;0.0;0.0;-11.9005;11.965;
0.135;0.0;0.0;0.0;-11.9005;11.965;
0.18;0.0;0.0;0.0;-11.9005;11.965;
0.225;0.0;0.0;0.0;-11.9005;11.965;
0.27;0.0;0.0;0.0;-11.9005;11.965;
0.315;0.0;0.0;0.0;-11.9005;11.965;
0.36;0.0;0.0;0.0;-11.9005;11.965;
0.405;0.0;0.0;0.0;-11.9005;11.965;
0.45;0.0;0.0;0.12741;-11.9005;11.965;
0.495;0.0;0.0;0.660639;-11.9005;11.9811;
0.54;0.132477;0.0;1.55533;-11.8444;12.252;
0.585;0.819751;0.0;2.6562;-11.2636;12.7746;
0.63;1.91325;0.327729;4.02684;-10.3047;14.2641;
0.675;3.34376;1.24585;5.57705;-9.02385;15.652;
0.72;5.07384;2.6783;7.38623;-7.43443;17.397;
0.765;7.07854;4.53845;9.49644;-5.95645;19.4691;
0.81;9.33958;6.64777;11.7252;-4.25447;21.7673;
0.855;11.8427;8.9752;14.138;-1.91088;24.4959;
0.9;14.5763;11.5809;16.873;0.171183;27.4362;
0.945;17.5307;14.3602;19.8264;3.20576;30.6631;
0.99;20.6977;17.4075;23.0307;6.16625;34.0923;
1.035;24.0702;20.8186;26.4231;8.94182;37.8263;
1.08;27.6419;24.335;30.1083;11.885;42.1281;
1.125;31.4072;27.8641;34.0596;14.9914;46.8239;
1.17;35.361;31.1843;38.2053;18.2569;50.992;
1.215;39.4989;34.7845;42.5979;21.6779;55.4741;
1.26;43.8167;38.4049;47.1914;25.4494;60.5815;
1.305;48.3106;42.4746;52.2149;29.0473;65.919;
1.35;52.9771;47.0961;57.1584;32.8415;71.569;
1.395;57.813;52.5962;62.6042;37.2789;77.642;
1.44;62.8152;57.3145;68.2472;41.8986;84.0499;
1.485;67.981;63.2633;74.5163;46.6062;90.5635;
1.53;73.8777;69.2465;81.3247;52.3535;97.8683;
1.575;81.6964;76.0442;89.1847;58.5929;106.266;
1.62;89.8264;82.1506;97.5298;64.7537;114.184;
1.665;98.2616;89.5594;106.279;70.9665;123.648;
1.71;106.997;96.3404;115.488;76.5329;132.097;
1.755;116.027;103.196;124.652;82.8831;143.097;
1.8;125.347;109.638;134.435;90.8247;154.573;
1.845;134.952;116.291;144.87;97.8556;166.425;
1.89;144.839;123.298;155.556;104.847;178.539;
1.935;155.003;131.373;166.454;111.709;190.211;
1.98;165.441;139.251;177.808;120.109;202.206;
2.025;176.149;147.574;189.199;128.576;214.711;
2.07;187.124;155.491;201.042;137.084;227.85;
2.115;198.362;164.058;213.494;144.846;240.789;
2.16;209.861;173.119;226.81;154.445;253.847;
2.205;221.617;183.536;239.774;164.56;267.184;
2.25;233.628;193.041;252.846;174.926;280.798;
2.295;245.891;203.811;266.185;185.542;294.843;
2.34;258.404;215.268;280.323;196.404;309.588;
2.385;271.163;227.356;294.502;207.035;324.842;
2.43;284.167;238.545;309.33;217.734;340.4;
2.475;297.413;251.01;324.445;228.635;356.561;
2.52;310.9;263.776;339.842;239.737;373.098;
2.565;324.624;277.59;355.279;251.036;389.93;
2.61;338.584;289.748;370.772;262.532;407.055;
2.655;352.778;302.096;386.52;274.223;424.471;
2.7;367.204;313.954;402.805;286.106;442.175;
2.745;381.861;327.11;419.503;298.18;460.164;
2.79;396.746;340.482;436.472;311.678;478.436;
2.835;411.857;354.153;453.709;326.029;496.988;
2.88;427.193;368.189;471.213;338.713;515.818;
2.925;442.753;382.447;488.981;351.359;534.924;
2.97;458.534;396.926;507.011;364.188;554.304;
3.015;474.535;411.624;524.897;377.198;573.956;
3.06;490.755;425.705;543.003;390.39;593.877;
3.105;507.192;440.352;561.682;403.761;614.066;
3.15;523.845;455.57;580.864;417.31;634.52;
3.195;540.712;470.797;600.608;431.296;655.238;
3.24;557.792;486.612;620.58;445.804;676.218;
3.285;575.083;502.434;640.421;460.491;697.459;
3.33;592.585;518.247;660.488;475.357;718.957;
3.375;610.296;534.672;680.801;490.4;740.713;
3.42;628.215;551.086;701.36;505.619;762.723;
3.465;646.341;567.695;722.164;521.012;784.987;
3.51;664.672;584.497;743.03;536.58;807.503;
3.555;683.207;601.669;764.321;552.319;830.269;
3.6;701.945;619.487;785.761;568.231;853.284;
3.645;720.886;637.514;807.516;584.313;876.547;
3.69;740.028;654.965;829.798;600.463;900.055;
3.735;759.369;672.081;851.976;616.456;923.808;
3.78;778.91;689.312;874.514;632.621;947.804;
3.825;798.648;706.834;897.224;648.958;972.042;
3.87;818.583;724.469;920.166;665.466;996.521;
3.915;838.715;741.524;943.339;682.143;1021.24;
3.96;859.041;759.215;966.743;698.99;1046.19;
4.005;879.561;777.903;990.376;716.005;1071.83;
4.05;900.275;796.716;1014.24;733.188;1097.76;
4.095;921.18;815.2;1038.33;750.539;1123.93;
4.14;942.277;833.851;1062.64;768.055;1150.35;
4.185;963.565;852.669;1087.18;785.738;1177.01;
4.23;985.042;871.652;1111.94;803.585;1203.9;
4.275;1006.71;890.801;1136.93;821.597;1231.04;
4.32;1028.56;910.113;1162.13;839.773;1258.41;
4.365;1050.6;929.574;1187.56;858.112;1286.02;
4.41;1072.83;948.615;1213.21;876.614;1313.87;
4.455;1095.24;967.811;1239.08;895.277;1342.48;
4.5;1117.84;987.159;1266.09;914.102;1371.65;
