H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
1.0;0.0;0.0;0.0;-2.45693;2.45663;
1.07;0.0;0.0;0.0;-2.45693;2.45663;
1.14;0.0;0.0;0.0;-2.45693;2.45663;
1.21;0.0;0.0;0.0;-2.45693;2.45663;
1.28;0.0;0.0;0.0;-2.45693;2.45663;
1.35;0.0;0.0;0.0;-2.45693;2.45663;
1.42;0.0;0.0;0.0;-2.45693;2.45663;
1.49;0.0;0.0;0.0;-2.45693;2.45663;
1.56;0.0;0.0;0.0;-2.45693;2.45663;
1.63;0.0;0.0;0.0;-2.45693;2.45663;
1.7;0.0;0.0;0.0;-2.45693;2.45663;
1.77;0.0;0.0;0.0246922;-2.45693;2.45663;
1.84;0.53046;0.0384376;1.02517;-2.08212;2.90748;
1.91;2.34505;1.39481;3.06119;-0.217678;4.73803;
1.98;5.12127;3.97861;5.95381;2.27588;7.49776;
2.05;8.72991;7.47541;9.65741;5.6842;11.1038;
2.12;13.0951;11.8123;14.0458;10.0334;15.6118;
2.19;18.1642;16.8823;19.1362;15.1255;20.7394;
2.26;23.8978;22.5436;24.9188;20.905;26.5031;
2.33;30.2645;28.923;31.3429;27.2684;33.0161;
2.4;37.2385;35.9396;38.3612;34.365;40.1621;
2.47;44.7981;43.5595;45.9606;41.683;47.8188;
2.54;52.9246;51.722;54.1487;49.806;56.1044;
2.61;61.6016;60.3333;62.87;58.3119;65.0068;
2.68;70.8147;69.594;72.1681;67.3242;74.4622;
2.75;80.5508;79.288;81.9326;76.9299;84.4436;
2.82;90.7984;89.4302;92.2986;87.0411;94.8397;
2.89;101.547;100.009;103.354;97.5743;105.949;
2.96;112.786;111.078;114.771;108.619;117.452;
3.03;124.508;122.662;126.75;120.255;129.442;
3.1;136.703;134.695;139.267;132.436;141.846;
3.17;149.364;147.161;152.33;144.807;154.767;
3.24;162.484;160.043;165.881;157.706;168.33;
3.31;176.057;173.244;179.907;170.945;182.118;
3.38;190.075;186.769;194.401;184.773;196.573;
3.45;204.534;200.855;209.325;198.772;211.499;
3.52;219.426;215.53;224.808;213.183;226.888;
3.59;234.748;230.586;240.636;227.79;242.726;
3.66;250.493;245.769;256.941;242.857;259.219;
3.73;266.658;261.335;273.69;258.232;275.998;
3.8;283.237;277.279;291.037;273.986;293.204;
3.87;300.227;293.598;308.787;290.413;311.058;
3.94;317.623;310.613;326.946;306.958;329.125;
4.01;335.42;327.885;345.537;324.015;347.85;
4.08;353.616;345.398;364.522;341.408;367.008;
4.15;372.207;363.274;383.926;359.222;386.396;
4.22;391.188;381.51;403.904;377.35;406.145;
4.29;410.557;400.101;424.282;395.785;426.351;
4.36;430.311;419.045;444.962;414.714;446.849;
4.43;450.446;438.338;466.058;434.044;467.939;
4.5;470.959;457.977;487.568;453.946;489.337;
4.57;491.847;477.96;509.49;474.07;511.231;
4.64;513.108;498.282;531.89;494.415;533.661;
4.71;534.738;518.903;554.556;515.076;556.528;
4.78;556.735;539.938;577.696;536.082;579.714;
4.85;579.097;561.265;601.236;557.43;603.283;
4.92;601.821;582.921;625.175;579.116;627.272;
4.99;624.904;605.011;649.447;601.14;651.647;
5.06;648.344;627.256;674.024;623.497;676.404;
5.13;672.139;649.844;698.979;646.187;701.542;
