H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
7.25;0.00157191;0.0;0.0334583;-0.549334;0.640819;
7.2825;0.0931748;0.0137213;0.167348;-0.472165;0.719035;
7.315;0.286618;0.146394;0.381716;-0.304127;0.912162;
7.3475;0.564646;0.382628;0.684381;-0.0620819;1.20528;
7.38;0.919031;0.713063;1.05598;0.24523;1.58365;
7.4125;1.34445;1.11582;1.49408;0.614782;2.07056;
7.445;1.83705;1.58608;1.99226;1.04961;2.59765;
7.4775;2.3938;2.13234;2.55937;1.55512;3.226;
7.51;3.01228;2.73879;3.18777;2.13582;3.93052;
7.5425;3.69043;3.4079;3.88192;2.74972;4.68487;
7.575;4.42653;4.12053;4.62718;3.41403;5.55489;
7.6075;5.21904;4.88964;5.42682;4.09531;6.42818;
7.64;6.06663;5.71784;6.29633;4.84054;7.34123;
7.6725;6.9681;6.61761;7.21193;5.61427;8.34025;
7.705;7.92238;7.5437;8.18547;6.44424;9.4647;
7.7375;8.92847;8.53156;9.22071;7.34639;10.6415;
7.77;9.9855;9.57025;10.3126;8.28544;11.8628;
7.8025;11.0926;10.6597;11.446;9.25694;13.1147;
7.835;12.2491;11.7946;12.6334;10.2655;14.4236;
7.8675;13.4542;12.966;13.8833;11.327;15.8349;
7.9;14.7073;14.1636;15.1966;12.4241;17.2612;
7.9325;16.0077;15.4139;16.5578;13.5619;18.7402;
7.965;17.3549;16.7222;17.9469;14.7913;20.2712;
7.9975;18.7483;18.0818;19.3784;16.0539;21.8536;
8.03;20.1874;19.4746;20.8559;17.303;23.5374;
8.0625;21.6718;20.8984;22.411;18.5922;25.2884;
8.095;23.2009;22.3645;24.0148;19.9211;27.0518;
8.1275;24.7743;23.8908;25.6621;21.2894;28.8713;
8.16;26.3916;25.4427;27.3653;22.6966;30.7669;
8.1925;28.0523;27.0362;29.1097;24.1426;32.7139;
8.225;29.7562;28.6844;30.9153;25.6269;34.7116;
8.2575;31.5028;30.3661;32.759;27.1493;36.7598;
8.29;33.2918;32.1002;34.646;28.7035;38.8151;
8.3225;35.1228;33.8707;36.5721;30.2871;40.8758;
8.355;36.9955;35.6614;38.5232;31.9068;42.9818;
8.3875;38.9096;37.4664;40.524;33.5623;45.2251;
8.42;40.8648;39.3256;42.5809;35.2533;47.5186;
8.4525;42.8608;41.2359;44.6811;36.9797;49.7958;
8.485;44.8973;43.1736;46.8243;38.741;52.1651;
8.5175;46.9741;45.1427;49.0102;40.5372;54.6395;
8.55;49.0909;47.1485;51.2385;42.368;57.164;
8.5825;51.2473;49.1909;53.5089;44.2332;59.7382;
8.615;53.4433;51.2696;55.8211;46.1325;62.362;
8.6475;55.6784;53.3923;58.175;48.0617;64.974;
8.68;57.9526;55.5648;60.5702;50.0179;67.5868;
8.7125;60.2656;57.7805;63.0154;52.0076;70.2421;
8.745;62.6171;60.0219;65.5112;54.0306;72.9396;
8.7775;65.0069;62.2992;68.0495;56.0866;75.7306;
8.81;67.4349;64.6124;70.6301;58.1755;78.5923;
8.8425;69.9008;66.9629;73.2314;60.2971;81.501;
8.875;72.4044;69.3519;75.9103;62.4513;84.4563;
8.9075;74.9456;71.7768;78.6221;64.6379;87.4583;
8.94;77.5241;74.2373;81.3289;66.8567;90.5066;
8.9725;80.1397;76.7334;84.103;69.1076;93.6011;
9.005;82.7924;79.2866;86.9281;71.3905;96.7416;
9.0375;85.4819;81.8314;89.7933;73.7052;99.9279;
9.07;88.208;84.4323;92.6985;76.0704;103.16;
9.1025;90.9705;87.0553;95.6434;78.4702;106.381;
9.135;93.7694;89.7106;98.628;80.9015;109.626;
9.1675;96.6044;92.3682;101.652;83.3642;112.911;
9.2;99.4755;95.0971;104.671;85.8582;116.237;
9.2325;102.382;97.8595;107.69;88.3833;119.603;
9.265;105.325;100.655;110.745;90.9394;123.008;
9.2975;108.303;103.485;113.884;93.5264;126.454;
9.33;111.316;106.353;117.116;96.1441;129.94;
9.3625;114.365;109.244;120.387;98.7924;133.465;
9.395;117.449;112.171;123.697;101.471;137.029;
9.4275;120.568;115.132;127.046;104.181;140.633;
9.46;123.722;118.125;130.434;106.92;144.355;
9.4925;126.91;121.151;133.86;109.68;148.129;
9.525;130.133;124.21;137.324;112.468;151.947;
9.5575;133.39;127.301;140.827;115.286;155.807;
9.59;136.682;130.423;144.368;118.133;159.709;
9.6225;140.008;133.578;147.947;121.01;163.654;
9.655;143.368;136.777;151.527;123.917;167.641;
9.6875;146.762;140.025;155.186;126.853;171.648;
9.72;150.19;143.307;158.882;129.818;175.605;
9.7525;153.652;146.588;162.617;132.813;179.602;
9.785;157.147;149.837;166.391;135.837;183.713;
9.8175;160.676;153.173;170.189;138.889;187.887;
9.85;164.238;156.549;174.008;141.971;192.102;
9.8825;167.834;159.955;177.864;145.082;196.358;
9.915;171.463;163.393;181.756;148.221;200.655;
9.9475;175.125;166.862;185.684;151.389;204.992;
9.98;178.82;170.362;189.649;154.585;209.37;
10.0125;182.547;173.892;193.65;157.81;213.788;
10.045;186.308;177.453;197.686;161.064;218.247;
10.0775;190.101;181.044;201.73;164.345;222.746;
10.11;193.927;184.666;205.781;167.609;227.284;
10.1425;197.786;188.318;209.914;170.874;231.858;
10.175;201.677;192.001;214.136;174.165;236.421;
10.2075;205.6;195.714;218.394;177.482;241.021;
10.24;209.555;199.456;222.656;180.824;245.659;
10.2725;213.543;203.229;226.941;184.193;250.335;
10.305;217.562;207.032;231.262;187.587;255.048;
10.3375;221.614;210.864;235.618;191.024;259.799;
10.37;225.698;214.727;240.008;194.547;264.587;
10.4025;229.813;218.618;244.434;198.1;269.412;
10.435;233.96;222.54;248.895;201.712;274.274;
10.4675;238.139;226.491;253.39;205.352;279.172;
10.5;242.349;230.471;257.92;209.028;284.108;
