H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
-0.5;0.0;0.0;0.0;-1.83359;1.64677;
-0.455;0.0;0.0;0.0;-1.83359;1.64677;
-0.41;0.0;0.0;0.0;-1.83359;1.64677;
-0.365;0.0;0.0;0.0;-1.83359;1.64677;
-0.32;0.0;0.0;0.0;-1.83359;1.64677;
-0.275;0.0;0.0;0.0;-1.83359;1.64677;
-0.23;0.0;0.0;0.0;-1.83359;1.64677;
-0.185;0.0;0.0;0.0;-1.83359;1.64677;
-0.14;0.0;0.0;0.0;-1.83359;1.64677;
-0.095;0.0;0.0;0.0;-1.83359;1.64677;
-0.05;0.0;0.0;0.0823831;-1.83359;1.64677;
-0.005;0.127214;9.29345E-4;0.37177;-1.77905;1.73859;
0.04;0.482741;0.211443;0.820167;-1.53654;2.08385;
0.085;1.01073;0.650495;1.41321;-1.05865;2.68815;
0.13;1.68951;1.27299;2.13678;-0.382721;3.52193;
0.175;2.50598;2.05039;2.98491;0.42998;4.42891;
0.22;3.45094;3.00181;3.94089;1.23138;5.44984;
0.265;4.51739;4.05543;4.99794;2.18178;6.67974;
0.31;5.69977;5.20768;6.17882;3.27719;8.06289;
0.355;6.99347;6.47365;7.48658;4.49481;9.48785;
0.4;8.39461;7.79403;8.94198;5.81409;11.0997;
0.445;9.89982;9.22152;10.4975;7.06918;12.7485;
0.49;11.5062;10.7129;12.186;8.501;14.5365;
0.535;13.2111;12.2965;13.9799;10.042;16.4251;
0.58;15.0121;13.9165;15.9069;11.6087;18.4115;
0.625;16.9073;15.6527;17.9277;13.1956;20.494;
0.67;18.8946;17.4508;20.0604;14.9189;22.7435;
0.715;20.9723;19.3102;22.2823;16.6543;24.9662;
0.76;23.1388;21.2324;24.674;18.426;27.4388;
0.805;25.3926;23.1985;27.0958;20.1721;30.0089;
0.85;27.7323;25.2428;29.6384;21.9862;32.6748;
0.895;30.1565;27.3615;32.2729;24.008;35.4351;
0.94;32.6641;29.5242;35.0033;25.9621;38.1628;
0.985;35.2539;31.7334;37.8454;28.1393;41.013;
1.03;37.9249;34.0371;40.7789;30.4626;44.1368;
1.075;40.6759;36.4155;43.8027;32.8581;47.1803;
1.12;43.5061;38.9173;46.9468;35.3251;50.374;
1.165;46.4145;41.4671;50.1393;37.8628;53.7712;
1.21;49.4002;44.0419;53.405;40.4447;57.1775;
1.255;52.4625;46.6785;56.7794;42.9101;60.6278;
1.3;55.6005;49.3764;60.2391;45.4332;64.1625;
1.345;58.8135;52.1346;63.7834;48.0135;67.7978;
1.39;62.1007;54.9527;67.4112;50.6504;71.6233;
1.435;65.4614;57.8301;71.1219;53.3434;75.4503;
1.48;68.895;60.766;74.9147;56.0917;79.3277;
1.525;72.4009;63.7804;78.7889;58.8951;83.2847;
1.57;75.9783;66.8959;82.7437;61.7528;87.3204;
1.615;79.6268;70.0727;86.7786;64.6645;91.4342;
1.66;83.3457;73.3106;90.8928;67.6297;95.8181;
1.705;87.1345;76.609;95.0858;70.6816;100.304;
1.75;90.9926;79.9414;99.3569;73.8465;104.642;
1.795;94.9195;83.2706;103.706;77.0675;109.056;
1.84;98.9148;86.655;108.131;80.3443;113.545;
1.885;102.978;90.0943;112.633;83.6764;118.108;
1.93;107.108;93.5881;117.233;86.966;122.744;
1.975;111.306;97.136;121.942;90.2955;127.454;
2.02;115.57;100.738;126.728;93.6746;132.316;
2.065;119.9;104.393;131.593;97.1031;137.298;
2.11;124.295;108.101;136.535;100.581;142.359;
2.155;128.756;111.861;141.553;104.107;147.499;
2.2;133.281;115.674;146.648;107.681;152.717;
2.245;137.871;119.539;151.819;111.304;158.013;
2.29;142.525;123.456;157.066;114.974;163.385;
2.335;147.243;127.424;162.388;118.691;168.723;
2.38;152.024;131.443;167.785;122.456;174.045;
2.425;156.868;135.513;173.257;126.267;179.56;
2.47;161.774;139.634;178.802;130.125;185.305;
2.515;166.743;143.805;184.421;134.029;191.128;
2.56;171.774;148.026;190.114;137.979;197.027;
2.605;176.866;152.296;195.88;141.975;202.934;
2.65;182.02;156.616;201.718;146.016;208.905;
2.695;187.235;160.986;207.629;150.103;215.014;
2.74;192.51;165.404;213.612;154.234;221.197;
2.785;197.846;169.871;219.667;158.406;227.453;
2.83;203.242;174.386;225.793;162.497;233.754;
2.875;208.698;178.871;231.991;166.629;240.099;
2.92;214.214;183.39;238.259;170.861;246.516;
2.965;219.789;188.065;244.598;175.226;253.006;
3.01;225.423;192.798;251.007;179.635;259.568;
3.055;231.116;197.579;257.486;184.088;266.201;
3.1;236.867;202.408;263.95;188.585;272.853;
3.145;242.676;207.284;270.477;193.125;279.404;
3.19;248.544;212.208;277.175;197.709;286.018;
3.235;254.47;217.141;283.999;202.337;292.694;
3.28;260.453;222.081;290.871;207.007;299.432;
3.325;266.493;227.066;297.654;211.72;306.232;
3.37;272.591;232.094;304.502;216.476;313.093;
3.415;278.745;237.167;311.415;221.275;320.116;
3.46;284.957;242.284;318.391;226.116;327.409;
3.505;291.224;247.444;325.431;230.999;334.772;
3.55;297.548;252.647;332.535;235.924;342.204;
3.595;303.928;257.894;339.701;240.891;349.707;
3.64;310.364;263.184;346.931;245.899;357.278;
