H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.5;0.0;0.0;0.00606686;-0.152969;0.234083;
0.52;0.00772783;0.0;0.058856;-0.152969;0.245677;
0.54;0.070199;0.0;0.151442;-0.129556;0.263153;
0.56;0.177156;0.0464719;0.27765;-0.0455065;0.372617;
0.58;0.321132;0.15588;0.437518;0.0722915;0.529668;
0.6;0.498207;0.31211;0.626629;0.232171;0.719994;
0.62;0.705793;0.507417;0.84247;0.42685;0.941069;
0.64;0.941989;0.737793;1.0836;0.657988;1.16515;
0.66;1.20532;0.999699;1.34885;0.921549;1.42979;
0.68;1.49458;1.29553;1.63098;1.20747;1.72647;
0.7;1.80876;1.61997;1.9396;1.52958;2.04907;
0.72;2.14702;1.96448;2.26814;1.86489;2.41389;
0.74;2.50861;2.33862;2.62315;2.23164;2.78747;
0.76;2.89287;2.73975;3.00547;2.61304;3.17567;
0.78;3.29922;3.16313;3.41192;3.01801;3.58832;
0.8;3.72713;3.61064;3.84589;3.45072;4.044;
0.82;4.17613;4.07557;4.29819;3.91586;4.52177;
0.84;4.64578;4.55093;4.7794;4.38783;5.02117;
0.86;5.13569;5.04674;5.28299;4.86351;5.5312;
0.88;5.64549;5.5437;5.80089;5.37742;6.05613;
0.9;6.17484;6.05372;6.35166;5.90568;6.62461;
0.92;6.72341;6.59259;6.9303;6.44139;7.19963;
0.94;7.29091;7.14115;7.52571;6.99084;7.77583;
0.96;7.87707;7.71662;8.14461;7.55789;8.42204;
0.98;8.48162;8.28784;8.7847;8.13397;9.0894;
1.0;9.10431;8.87555;9.44942;8.71748;9.75038;
1.02;9.74492;9.47955;10.149;9.34303;10.4295;
1.04;10.4032;10.0996;10.8588;9.9721;11.1318;
1.06;11.079;10.7356;11.5878;10.6183;11.8403;
1.08;11.772;11.3958;12.3211;11.2816;12.5672;
1.1;12.4822;12.1335;13.1021;11.9689;13.3242;
1.12;13.2092;12.8611;13.887;12.6845;14.1055;
1.14;14.0951;13.6685;14.8103;13.4896;15.0605;
1.16;15.3593;14.6449;16.0031;14.4062;16.2058;
1.18;16.6666;15.5731;17.2686;15.2584;17.4763;
1.2;18.0162;16.4915;18.61;16.262;18.839;
1.22;19.4075;17.4763;19.9994;17.3426;20.2248;
1.24;20.8399;18.4702;21.4224;18.4137;21.6517;
1.26;22.3127;19.661;22.9198;19.5493;23.204;
1.28;23.8254;20.818;24.5325;20.6366;24.8287;
1.3;25.3776;21.8094;26.1311;21.8228;26.4859;
1.32;26.9686;23.6187;27.7763;23.5071;28.1759;
1.34;28.5981;25.3091;29.527;25.2424;29.9863;
1.36;30.2655;27.1492;31.3434;27.0278;31.7955;
1.38;31.9705;28.8862;33.2229;28.777;33.6679;
1.4;33.7127;30.7875;35.1664;30.5406;35.5161;
1.42;35.4916;32.5404;37.1091;32.2638;37.3763;
1.44;37.3068;34.351;39.1688;34.0467;39.3205;
1.46;39.1581;36.0754;41.2589;35.8567;41.3493;
1.48;41.045;37.8143;43.3115;37.8148;43.5178;
1.5;42.9672;39.6385;45.4287;39.5526;45.73;
1.52;44.9245;41.4738;47.5737;41.2949;47.9913;
1.54;46.9164;43.2937;49.7581;43.1201;50.283;
1.56;48.9427;45.1752;51.9817;44.8959;52.6232;
1.58;51.0031;47.2611;54.5399;46.8873;54.9662;
1.6;53.0974;49.1422;56.8748;48.6973;57.3009;
1.62;55.2251;51.0178;59.3205;50.5331;59.6749;
1.64;57.3862;52.9219;61.8663;52.5157;62.1598;
1.66;59.5803;54.8601;64.3572;54.5415;64.6122;
1.68;61.8071;56.8896;66.8876;56.6121;67.2247;
1.7;64.0665;58.9484;69.4241;58.7126;69.9252;
1.72;66.3582;61.0489;71.9982;60.8427;72.6637;
1.74;68.682;63.1914;74.6723;63.0022;75.3209;
1.76;71.0376;65.3211;77.4908;65.1558;78.0167;
1.78;73.4249;67.4517;80.3524;67.3298;80.7511;
1.8;75.8436;69.623;83.2567;69.5324;83.5236;
1.82;78.2935;71.8214;86.0822;71.7167;86.3835;
1.84;80.7744;74.0469;88.9222;73.9118;89.2857;
1.86;83.2862;76.2991;91.8926;76.1329;92.3002;
1.88;85.8287;78.5614;94.9113;78.3492;95.3633;
1.9;88.4015;80.8345;97.9692;80.5869;98.2659;
1.92;91.0047;83.1329;101.09;82.8498;101.203;
1.94;93.638;85.4565;104.259;85.1397;104.247;
1.96;96.3012;87.7933;107.468;87.5275;107.4;
1.98;98.9942;90.1417;110.716;89.9412;110.798;
2.0;101.717;92.5139;114.003;92.3809;114.014;
2.02;104.469;94.9097;117.33;94.8464;117.188;
2.04;107.25;97.3404;120.695;97.3375;120.397;
2.06;110.061;99.878;124.076;99.8541;123.641;
2.08;112.9;102.404;127.438;102.373;126.919;
2.1;115.768;104.923;130.835;104.892;130.232;
2.12;118.665;107.466;134.269;107.436;133.58;
2.14;121.591;110.034;137.738;110.003;136.968;
2.16;124.544;112.625;141.243;112.594;140.499;
2.18;127.527;115.241;144.782;115.21;144.066;
2.2;130.537;117.88;148.4;117.848;147.669;
2.22;133.575;120.543;152.057;120.512;151.308;
2.24;136.641;123.23;155.75;123.198;154.983;
2.26;139.735;125.94;159.479;125.908;158.693;
2.28;142.857;128.674;163.243;128.641;162.388;
2.3;146.006;131.43;167.042;131.398;166.09;
2.32;149.182;134.21;170.877;134.178;169.825;
2.34;152.386;137.011;174.747;136.98;173.593;
2.36;155.617;139.832;178.621;139.806;177.393;
2.38;158.874;142.675;182.501;142.655;181.226;
2.4;162.159;145.54;186.413;145.526;185.091;
2.42;165.471;148.428;190.358;148.42;188.988;
2.44;168.809;151.339;194.337;151.337;192.917;
2.46;172.174;154.272;198.348;154.276;196.878;
2.48;175.565;157.227;202.391;157.238;200.874;
2.5;178.983;160.204;206.467;160.222;204.942;
