H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
15.5;0.0;0.0;0.0;-0.391556;0.405508;
15.56;0.0;0.0;0.0;-0.391556;0.405508;
15.62;0.0;0.0;0.0;-0.391556;0.405508;
15.68;0.0;0.0;0.0;-0.391556;0.405508;
15.74;0.0;0.0;0.0;-0.391556;0.405508;
15.8;0.0;0.0;0.0125183;-0.390196;0.405508;
15.86;0.2433;0.102145;0.410542;-0.172872;0.74484;
15.92;0.970029;0.750414;1.20482;0.500415;1.502;
15.98;2.04701;1.79269;2.31349;1.55076;2.60716;
16.04;3.42453;3.15272;3.70642;2.90716;4.02988;
16.1;5.07329;4.79961;5.36319;4.5244;5.70318;
16.16;6.97305;6.70917;7.27957;6.40312;7.64615;
16.22;9.10861;8.86054;9.40316;8.53454;9.82636;
16.28;11.4679;11.1918;11.7794;10.8429;12.2335;
16.34;14.0412;13.7562;14.372;13.3789;14.9284;
16.4;16.82;16.5413;17.1979;16.0734;17.7436;
16.46;19.7973;19.4922;20.2446;18.9442;20.807;
16.52;22.9668;22.6195;23.492;21.9603;24.0755;
16.58;26.3231;25.9228;26.9283;25.2056;27.5698;
16.64;29.8613;29.3824;30.5548;28.6031;31.2389;
16.7;33.5769;33.027;34.3732;32.1457;35.0459;
16.76;37.466;36.8313;38.3744;35.8541;39.0556;
16.82;41.5247;40.7954;42.5454;39.7249;43.2717;
16.88;45.7499;44.9358;46.8818;43.755;47.6002;
16.94;50.1383;49.1698;51.4006;47.9707;52.149;
17.0;54.6872;53.5997;56.0893;52.3415;56.9012;
17.06;59.3937;58.1851;60.8996;56.8895;61.8078;
17.12;64.2553;62.8834;65.9404;61.5382;66.8884;
17.18;69.2698;67.7206;71.1336;66.3358;72.1388;
17.24;74.4349;72.7351;76.4358;71.2218;77.5576;
17.3;79.7484;77.9116;81.9355;76.2808;83.1093;
17.36;85.2084;83.1867;87.5642;81.4931;88.8037;
17.42;90.8131;88.5282;93.3533;86.8667;94.6466;
17.48;96.5606;94.0775;99.2955;92.3784;100.641;
17.54;102.449;99.7707;105.409;97.9622;106.799;
17.6;108.477;105.539;111.601;103.717;113.082;
17.66;114.644;111.419;118.023;109.603;119.512;
17.72;120.946;117.421;124.56;115.616;126.131;
17.78;127.384;123.62;131.195;121.755;132.93;
17.84;133.955;129.978;137.976;128.018;139.742;
17.9;140.659;136.463;144.983;134.404;146.691;
17.96;147.494;143.033;152.132;140.911;153.837;
18.02;154.459;149.695;159.423;147.54;161.12;
18.08;161.553;156.477;166.855;154.287;168.541;
18.14;168.774;163.376;174.405;161.153;176.126;
18.2;176.122;170.393;182.096;168.096;183.871;
18.26;183.596;177.525;189.896;175.146;191.748;
18.32;191.194;184.772;197.917;182.31;199.771;
18.38;198.916;192.133;206.027;189.587;207.923;
18.44;206.76;199.594;214.215;196.975;216.208;
18.5;214.726;207.161;222.532;204.542;224.602;
18.56;222.812;214.889;230.978;212.274;233.176;
18.62;231.019;222.677;239.552;220.111;241.857;
18.68;239.345;230.57;248.252;227.856;250.667;
18.74;247.789;238.615;257.108;235.83;259.607;
18.8;256.35;246.771;266.147;243.944;268.675;
18.86;265.028;255.012;275.293;252.167;277.87;
18.92;273.822;263.358;284.443;260.465;287.192;
18.98;282.731;271.811;293.712;268.821;296.64;
19.04;291.755;280.32;303.099;277.281;306.214;
19.1;300.892;288.898;312.674;285.843;315.968;
19.16;310.143;297.574;322.468;294.508;325.882;
19.22;319.506;306.358;332.373;303.262;335.922;
19.28;328.98;315.292;342.431;312.092;346.089;
19.34;338.566;324.327;352.6;321.041;356.381;
19.4;348.263;333.462;362.892;330.175;366.799;
19.46;358.069;342.681;373.307;339.341;377.342;
19.52;367.985;351.941;383.845;348.605;388.009;
19.58;378.009;361.296;394.439;357.967;398.799;
19.64;388.142;370.746;405.097;367.427;409.712;
19.7;398.382;380.362;415.935;376.983;420.747;
19.76;408.729;390.201;427.039;386.635;431.905;
19.82;419.183;400.141;438.267;396.383;443.183;
19.88;429.743;410.062;449.486;406.227;454.583;
19.94;440.408;420.07;460.971;416.165;466.102;
20.0;451.178;430.171;472.488;426.197;477.742;
20.06;462.053;440.366;484.104;436.389;489.5;
20.12;473.032;450.655;495.837;446.605;501.378;
20.18;484.114;461.037;507.686;456.855;513.446;
20.24;495.3;471.511;519.652;467.26;525.64;
20.3;506.588;482.077;531.734;477.756;537.954;
20.36;517.978;492.679;543.931;488.344;550.389;
20.42;529.47;503.349;556.244;499.024;562.802;
20.48;541.063;514.108;568.671;509.793;575.265;
20.54;552.758;524.954;581.212;520.653;587.84;
20.6;564.552;535.888;593.867;531.603;600.617;
20.66;576.447;546.909;606.635;542.643;613.543;
20.72;588.441;558.017;619.516;553.771;626.583;
20.78;600.535;569.21;632.509;564.988;639.738;
20.84;612.727;580.556;645.615;576.294;653.006;
20.9;625.018;592.057;658.833;587.548;666.387;
20.96;637.407;603.647;672.162;599.124;679.88;
21.02;649.894;615.325;685.602;610.637;693.486;
21.08;662.478;627.093;699.152;622.114;707.205;
21.14;675.159;638.949;712.813;633.716;721.035;
21.2;687.936;650.892;726.584;645.549;734.976;
21.26;700.81;662.923;740.465;657.468;749.028;
21.32;713.78;675.042;754.454;669.473;763.191;
21.38;726.845;687.247;768.553;681.564;777.464;
21.44;740.006;699.389;782.76;693.739;791.847;
21.5;753.261;711.591;797.125;705.999;806.339;
