H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.25;0.0;0.0;0.0;-0.239949;0.324385;
0.2725;0.0;0.0;0.0;-0.239949;0.324385;
0.295;0.0;0.0;0.0;-0.239949;0.324385;
0.3175;0.0;0.0;0.0;-0.239949;0.324385;
0.34;0.0;0.0;0.0;-0.239949;0.324385;
0.3625;0.0;0.0;0.0;-0.239949;0.324385;
0.385;0.0;0.0;0.0;-0.239949;0.324385;
0.4075;0.0;0.0;0.0;-0.239949;0.324385;
0.43;0.0;0.0;0.0;-0.239949;0.324385;
0.4525;0.0;0.0;0.0;-0.239949;0.324385;
0.475;0.0;0.0;0.0;-0.239949;0.324385;
0.4975;0.0;0.0;0.0;-0.239949;0.324385;
0.52;0.0;0.0;6.10962E-6;-0.239949;0.324385;
0.5425;0.0184639;0.0;0.0261243;-0.239949;0.324385;
0.565;0.0716063;0.0;0.0832305;-0.239949;0.324385;
0.5875;0.149924;1.02188E-4;0.162744;-0.208986;0.352683;
0.61;0.249881;0.0369172;0.261993;-0.157729;0.446381;
0.6325;0.369381;0.118088;0.385187;-0.0665068;0.575423;
0.655;0.506974;0.232387;0.527237;0.0541974;0.73954;
0.6775;0.661568;0.379896;0.68765;0.186781;0.922438;
0.7;0.832297;0.555288;0.875138;0.336619;1.12491;
0.7225;1.01845;0.74924;1.0719;0.512434;1.35019;
0.745;1.21944;0.964489;1.29145;0.734951;1.60951;
0.7675;1.43474;1.20174;1.53253;0.940815;1.86337;
0.79;1.66391;1.46702;1.79636;1.17816;2.14699;
0.8125;1.90656;1.74852;2.08215;1.41654;2.46844;
0.835;2.16232;2.0379;2.38746;1.65507;2.80776;
0.8575;2.43089;2.33627;2.70783;1.93477;3.16763;
0.88;2.71197;2.61605;3.04871;2.24094;3.53818;
0.9025;3.00529;2.89418;3.40488;2.5326;3.93879;
0.925;3.31062;3.18096;3.7833;2.82004;4.35034;
0.9475;3.62773;3.48054;4.17004;3.11952;4.78177;
0.97;3.95641;3.79491;4.58713;3.42874;5.22641;
0.9925;4.29647;4.12041;5.00887;3.77109;5.69296;
1.015;4.64773;4.4724;5.45062;4.09046;6.17208;
1.0375;5.01001;4.89744;5.90994;4.4348;6.66935;
1.06;5.38316;5.38641;6.38359;4.78273;7.18584;
1.0825;5.76702;5.91073;6.87132;5.20442;7.73101;
1.105;6.33348;6.36352;7.3702;5.59847;8.29247;
1.1275;7.05579;6.88674;7.88815;6.00363;8.86998;
1.15;7.80886;7.41753;8.4256;6.47332;9.46335;
1.1725;8.59208;8.01608;9.03132;6.93419;10.0724;
1.195;9.40486;8.53249;9.78237;7.37213;10.7306;
1.2175;10.2467;9.07037;10.6555;7.83551;11.5413;
1.24;11.117;9.57805;11.5823;8.31624;12.5269;
1.2625;12.0154;10.1461;12.644;8.85709;13.643;
1.285;12.9414;10.714;13.7559;9.39236;14.8003;
1.3075;13.8946;11.2994;14.9774;10.039;15.8994;
1.33;14.8746;11.9271;16.2826;10.611;17.1998;
1.3525;15.8811;12.5165;17.5731;11.3625;18.4925;
1.375;16.9137;13.1156;18.8655;12.2158;19.7651;
1.3975;17.9721;13.727;20.2709;12.9708;21.0709;
1.42;19.0559;14.3841;21.6959;13.6006;22.4689;
1.4425;20.1649;15.2464;23.1795;14.5176;23.9221;
1.465;21.2988;16.0445;24.7281;15.3685;25.5023;
1.4875;22.4572;16.8431;26.2922;16.214;27.0644;
1.51;23.64;17.8449;27.8954;17.0016;28.7163;
1.5325;24.8468;18.9418;29.6136;18.1178;30.4674;
1.555;26.0775;20.0256;31.3948;19.2527;32.1364;
1.5775;27.3319;21.3552;33.2542;20.4169;33.9245;
1.6;28.6096;22.5133;35.1357;21.7907;35.7779;
1.6225;29.9104;24.072;37.0573;23.1681;37.7334;
1.645;31.2342;25.3808;39.0141;24.5655;39.7304;
1.6675;32.5808;26.6251;41.0142;25.9199;41.8089;
1.69;33.95;28.1564;43.0583;27.3226;44.0388;
1.7125;35.3415;29.5476;45.2874;28.4788;46.3163;
1.735;36.7553;30.637;47.484;30.0161;48.6411;
1.7575;38.191;31.7342;49.8052;31.1086;50.9545;
1.78;39.6486;33.1514;52.1035;32.3137;53.4308;
1.8025;41.1279;34.3765;54.441;33.7504;55.693;
1.825;42.6287;35.5705;56.8194;35.1821;58.1254;
1.8475;44.1509;36.7324;59.238;36.3437;60.5993;
1.87;45.6944;37.909;61.6967;37.5201;63.1796;
1.8925;47.2588;39.1164;64.1951;38.7114;65.8538;
1.915;48.8443;40.4644;66.5821;40.1509;68.2732;
1.9375;50.4505;41.6926;68.9781;41.4272;70.9361;
1.96;52.0773;42.9347;71.4119;42.7316;73.6391;
1.9825;53.7247;44.1906;74.0734;43.9731;76.3817;
2.005;55.3925;45.4602;76.8468;45.2282;79.1636;
2.0275;57.0805;46.7691;79.5381;46.731;81.9845;
2.05;58.7887;48.1568;82.3982;48.059;84.8442;
2.0725;60.5169;49.5601;85.2994;49.3856;87.7424;
2.095;62.2651;50.9079;88.2415;50.7264;90.6787;
2.1175;64.033;52.2626;91.2242;52.0814;93.653;
2.14;65.8206;53.6313;94.2125;53.5075;96.6649;
2.1625;67.6277;55.0141;97.1649;54.8755;99.7115;
2.185;69.4544;56.4107;100.153;56.2572;102.768;
2.2075;71.3004;57.8211;103.253;57.6524;105.863;
2.23;73.1656;59.2453;106.627;59.0659;108.995;
2.2525;75.05;60.6833;109.96;60.5041;112.264;
2.275;76.9535;62.1348;113.22;62.0084;115.513;
2.2975;78.8759;63.5999;116.52;63.4759;118.782;
2.32;80.8172;65.0785;119.857;64.935;122.086;
2.3425;82.7773;66.5705;123.234;66.4068;125.426;
