H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.111425;-13.3707;12.919;
0.06;0.0809168;0.0;0.849194;-13.3659;13.092;
0.12;0.805015;0.200528;2.16945;-12.5446;13.9577;
0.18;2.15376;1.19189;4.05312;-10.8371;15.3212;
0.24;4.06542;2.80725;6.3709;-8.75993;17.5204;
0.3;6.50501;5.06311;9.21701;-6.41511;20.2491;
0.36;9.44832;7.85381;12.4835;-3.58549;23.6211;
0.42;12.877;11.2324;16.1602;-0.148314;27.1322;
0.48;16.7765;14.9725;20.2976;3.72642;31.1002;
0.54;21.1346;19.2535;24.7949;7.63449;35.6788;
0.6;25.9409;23.9278;29.7151;12.2204;40.9524;
0.66;31.1865;29.0764;35.0733;17.3563;46.4956;
0.72;36.8634;34.6989;40.8603;22.8069;52.6378;
0.78;42.9647;40.7188;47.0922;28.829;58.9296;
0.84;49.4839;47.0435;53.6411;34.7988;65.4772;
0.9;56.4154;53.7372;60.7733;41.532;72.729;
0.96;63.7537;60.8327;68.0205;48.2026;80.2238;
1.02;71.494;68.3165;75.8019;54.9712;88.131;
1.08;79.6318;76.2086;84.0459;62.5288;96.821;
1.14;88.1629;84.6145;92.5611;70.4466;105.958;
1.2;97.0834;93.1479;101.533;78.8019;115.689;
1.26;106.39;102.101;110.936;87.5152;125.875;
1.32;116.078;111.411;121.092;96.5834;136.157;
1.38;126.145;120.961;131.142;105.463;147.181;
1.44;136.589;130.804;141.846;114.581;158.756;
1.5;147.405;140.688;153.105;124.001;170.568;
1.56;158.591;151.047;164.725;134.255;182.44;
1.62;170.145;161.822;176.765;144.905;194.606;
1.68;182.064;173.041;189.164;155.539;207.321;
1.74;194.345;184.717;201.577;166.495;220.334;
1.8;206.987;196.294;214.74;178.163;233.724;
1.86;219.987;208.339;228.23;190.394;247.488;
1.92;233.342;220.587;242.392;202.941;261.701;
1.98;247.051;233.169;256.936;215.228;276.708;
2.04;261.112;246.334;271.475;227.815;292.09;
2.1;275.523;259.473;286.731;240.701;307.293;
2.16;290.282;272.913;302.284;253.882;322.546;
2.22;305.387;286.651;318.238;267.358;338.663;
2.28;320.837;300.687;334.242;281.096;355.322;
2.34;336.63;315.088;350.597;295.186;372.344;
2.4;352.764;329.642;367.3;309.535;389.728;
2.46;369.237;344.559;384.52;323.954;407.472;
2.52;386.049;359.766;402.036;338.817;425.574;
2.58;403.197;375.263;420.244;353.964;444.032;
2.64;420.681;392.34;438.811;369.396;462.844;
2.7;438.498;408.467;457.148;385.11;481.994;
2.76;456.648;425.301;476.06;401.105;501.013;
2.82;475.129;443.842;495.835;417.38;520.361;
2.88;493.94;461.862;515.325;434.537;540.036;
2.94;513.08;479.197;534.43;451.417;560.038;
3.0;532.547;496.815;555.594;468.572;582.816;
3.06;552.446;515.061;575.859;486.0;605.597;
3.12;572.77;533.865;597.098;503.707;627.017;
3.18;593.385;552.627;619.128;523.419;650.507;
3.24;614.289;573.215;641.594;542.044;675.637;
3.3;635.48;594.732;664.273;561.311;699.691;
3.36;656.957;615.506;687.303;581.487;723.799;
3.42;678.716;635.236;711.673;601.938;748.227;
3.48;700.757;655.618;736.406;622.661;772.971;
3.54;723.078;674.044;762.822;643.656;798.03;
3.6;745.676;695.864;788.644;664.617;822.107;
3.66;768.551;717.703;814.048;684.064;848.988;
3.72;791.7;738.786;839.246;704.732;874.912;
3.78;815.121;759.748;865.842;725.807;900.507;
3.84;838.814;780.389;894.272;745.732;927.967;
3.9;862.776;801.754;921.421;765.869;954.869;
3.96;887.007;823.352;948.717;786.219;982.07;
4.02;911.503;846.434;976.34;806.779;1009.57;
