H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-0.0267223;0.0278969;
0.017;0.0;0.0;0.0;-0.0267223;0.0278969;
0.034;0.0;0.0;0.0;-0.0267223;0.0278969;
0.051;0.0;0.0;0.0;-0.0267223;0.0278969;
0.068;0.0;0.0;0.0;-0.0267223;0.0278969;
0.085;0.0;0.0;0.0;-0.0267223;0.0278969;
0.102;0.0;0.0;0.0;-0.0267223;0.0278969;
0.119;0.0;0.0;0.0;-0.0267223;0.0278969;
0.136;0.0;0.0;0.0;-0.0267223;0.0278969;
0.153;0.0;0.0;0.0;-0.0267223;0.0278969;
0.17;0.0;0.0;0.0;-0.0267223;0.0278969;
0.187;0.0;0.0;3.62986E-4;-0.0267223;0.0278969;
0.204;9.67001E-4;0.0;0.00457161;-0.0263939;0.0290354;
0.221;0.00683315;0.00202554;0.0127593;-0.0226575;0.0345444;
0.238;0.0170917;0.00963599;0.024646;-0.0124831;0.0456013;
0.255;0.0313064;0.0218798;0.0399581;4.81967E-4;0.0605662;
0.272;0.0492226;0.0384107;0.0588089;0.0171571;0.07911;
0.289;0.0706626;0.0590854;0.0809443;0.0375872;0.101448;
0.306;0.0954914;0.0829227;0.105772;0.060099;0.129888;
0.323;0.123601;0.110044;0.134157;0.0875523;0.161832;
0.34;0.1549;0.14066;0.165682;0.118612;0.196682;
0.357;0.189314;0.175654;0.200178;0.151281;0.234024;
0.374;0.226775;0.213394;0.237157;0.184841;0.275764;
0.391;0.267225;0.253275;0.278278;0.221271;0.322288;
0.408;0.310611;0.295302;0.321782;0.261996;0.369036;
0.425;0.356887;0.339998;0.36842;0.30383;0.419823;
0.442;0.40601;0.388918;0.419156;0.348404;0.47161;
0.459;0.45794;0.439021;0.473491;0.395188;0.527786;
0.476;0.512642;0.491275;0.530941;0.441922;0.589488;
0.493;0.570082;0.545855;0.59137;0.491138;0.654239;
0.51;0.630229;0.602261;0.653789;0.544752;0.722002;
0.527;0.693054;0.661;0.719502;0.599586;0.791776;
0.544;0.75853;0.723042;0.788664;0.656665;0.862915;
0.561;0.826632;0.786439;0.861175;0.715965;0.940516;
0.578;0.897335;0.852026;0.936384;0.777462;1.02174;
0.595;0.970616;0.920074;1.01376;0.841135;1.10485;
0.612;1.04645;0.990328;1.09387;0.906964;1.1919;
0.629;1.12483;1.06323;1.17669;0.974928;1.28012;
0.646;1.20572;1.13876;1.26289;1.04501;1.37017;
0.663;1.28911;1.2159;1.35352;1.11719;1.46299;
0.68;1.37498;1.29523;1.44236;1.19146;1.55858;
0.697;1.46331;1.37676;1.53668;1.26779;1.65755;
0.714;1.55409;1.46046;1.63459;1.34618;1.75924;
0.731;1.6473;1.54682;1.73524;1.4266;1.86361;
0.748;1.74292;1.63452;1.83862;1.50905;1.97764;
0.765;1.84095;1.7249;1.94465;1.5935;2.09114;
0.782;1.94136;1.81756;2.05354;1.68068;2.20287;
