H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.5;0.0;0.0;0.0;-0.409054;0.454626;
0.525;0.0;0.0;0.0;-0.409054;0.454626;
0.55;0.0;0.0;0.0;-0.409054;0.454626;
0.575;0.0;0.0;0.0;-0.409054;0.454626;
0.6;0.0;0.0;0.0;-0.409054;0.454626;
0.625;0.0;0.0;0.0;-0.409054;0.454626;
0.65;0.0;0.0;0.0;-0.409054;0.454626;
0.675;0.0;0.0;0.0;-0.409054;0.454626;
0.7;0.0;0.0;0.0;-0.409054;0.454626;
0.725;0.0;0.0;0.0;-0.409054;0.454626;
0.75;0.0;0.0;0.0;-0.409054;0.454626;
0.775;0.0;0.0;0.0;-0.409054;0.454626;
0.8;0.0;0.0;0.0;-0.409054;0.454626;
0.825;0.0;0.0;0.0;-0.409054;0.454626;
0.85;0.0;0.0;0.0;-0.409054;0.454626;
0.875;0.0;0.0;0.0;-0.409054;0.454626;
0.9;0.0;0.0;0.0;-0.409054;0.454626;
0.925;0.0;0.0;0.0;-0.409054;0.454626;
0.95;0.0;0.0;0.0;-0.409054;0.454626;
0.975;0.0;0.0;0.0;-0.409054;0.454626;
1.0;0.0;0.0;0.0;-0.409054;0.454626;
1.025;0.0;0.0;0.0;-0.409054;0.454626;
1.05;0.0;0.0;0.0;-0.409054;0.454626;
1.075;0.0;0.0;0.0;-0.409054;0.454626;
1.1;0.0;0.0;4.28311E-4;-0.409054;0.454626;
1.125;0.0;0.0;0.0159833;-0.409054;0.454626;
1.15;1.02067E-4;0.0;0.0467398;-0.409054;0.454653;
1.175;0.0170599;0.0;0.0881234;-0.408322;0.498716;
1.2;0.0528053;0.0;0.139285;-0.383615;0.561421;
1.225;0.103309;0.0165381;0.202396;-0.352569;0.630729;
1.25;0.166797;0.0636038;0.272717;-0.315095;0.722538;
1.275;0.242157;0.136432;0.35291;-0.273066;0.825905;
1.3;0.328594;0.222999;0.441649;-0.221735;0.953831;
1.325;0.4255;0.321468;0.540716;-0.161792;1.08711;
1.35;0.532389;0.426709;0.648815;-0.0937527;1.2004;
1.375;0.648855;0.528964;0.782314;0.00223006;1.37794;
1.4;0.774556;0.652787;0.930741;0.0650823;1.57757;
1.425;0.909196;0.777443;1.09921;0.171684;1.78232;
1.45;1.05252;0.914761;1.28661;0.279681;1.98913;
1.475;1.20428;1.05761;1.48304;0.366325;2.23784;
1.5;1.40988;1.22427;1.71574;0.466174;2.55645;
1.525;1.68253;1.42347;1.95513;0.599911;2.93525;
1.55;1.97394;1.64638;2.23958;0.717314;3.29141;
1.575;2.28351;1.90742;2.55502;0.879109;3.75025;
1.6;2.61068;2.15939;2.88943;1.03896;4.27386;
1.625;2.95499;2.42216;3.24168;1.17114;4.8009;
1.65;3.31598;2.70583;3.62541;1.29709;5.31473;
1.675;3.69328;3.01141;4.01783;1.45045;5.85769;
1.7;4.08651;3.34945;4.43513;1.61946;6.45432;
1.725;4.49536;3.70166;4.88661;1.82667;7.07541;
1.75;4.9195;4.06775;5.34909;2.04807;7.72051;
1.775;5.35867;4.43268;5.84521;2.27859;8.38918;
1.8;5.81259;4.82643;6.33961;2.51805;9.08104;
1.825;6.28101;5.23784;6.86741;2.76629;9.79573;
1.85;6.76372;5.60147;7.40723;2.99727;10.5329;
1.875;7.26049;5.97521;7.97206;3.22969;11.2403;
1.9;7.77111;6.39759;8.57386;3.48394;11.9829;
1.925;8.29539;6.82571;9.17975;3.73116;12.8453;
1.95;8.83316;7.24828;9.79246;3.98469;13.7001;
1.975;9.38422;7.68083;10.4372;4.24446;14.5452;
2.0;9.94842;8.12325;11.0775;4.50531;15.4076;
2.025;10.5256;8.5754;11.7554;4.76604;16.2834;
2.05;11.1156;9.0372;12.4438;5.0324;17.179;
2.075;11.7183;9.50333;13.1616;5.30434;18.0944;
2.1;12.3336;9.96048;13.8836;5.58178;19.067;
2.125;12.9612;10.4259;14.6089;5.86467;20.0439;
2.15;13.6012;10.8994;15.3495;6.15295;21.057;
2.175;14.2533;11.381;16.1081;6.44658;22.0839;
2.2;14.9174;11.8713;16.9168;6.74549;23.178;
