H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-0.496929;0.518286;
0.04;0.0;0.0;0.0;-0.496929;0.518286;
0.08;0.0;0.0;0.0;-0.496929;0.518286;
0.12;0.0;0.0;0.0;-0.496929;0.518286;
0.16;0.0;0.0;0.0;-0.496929;0.518286;
0.2;0.0;0.0;0.0;-0.496929;0.518286;
0.24;0.0;0.0;0.0;-0.496929;0.518286;
0.28;0.0;0.0;0.0;-0.496929;0.518286;
0.32;0.0;0.0;0.0;-0.496929;0.518286;
0.36;0.0;0.0;0.0;-0.496929;0.518286;
0.4;0.0;0.0;0.0;-0.496929;0.518286;
0.44;0.0;0.0;0.0;-0.496929;0.518286;
0.48;0.0;0.0;0.0;-0.496929;0.518286;
0.52;0.0;0.0;0.0;-0.496929;0.518286;
0.56;0.0;0.0;0.0;-0.496929;0.518286;
0.6;0.0;0.0;0.0;-0.496929;0.518286;
0.64;0.0;0.0;0.0;-0.496929;0.518286;
0.68;0.0;0.0;0.0;-0.496929;0.518286;
0.72;0.0;0.0;0.0176265;-0.496929;0.518286;
0.76;0.024489;0.0;0.100749;-0.478701;0.532578;
0.8;0.128695;0.0437695;0.235684;-0.442614;0.664771;
0.84;0.290813;0.175771;0.409131;-0.284322;0.854736;
0.88;0.501663;0.370383;0.627841;-0.105045;1.12583;
0.92;0.756118;0.618294;0.887859;0.0788373;1.49787;
0.96;1.05072;0.893369;1.18169;0.306536;1.91435;
1.0;1.3829;1.22127;1.51587;0.570053;2.33629;
1.04;1.75065;1.58244;1.90021;0.85392;2.78242;
1.08;2.15234;1.96169;2.31189;1.16407;3.30702;
1.12;2.5866;2.37242;2.7702;1.45864;3.88946;
1.16;3.05225;2.79938;3.25404;1.78563;4.54707;
1.2;3.54828;3.25738;3.75598;2.12614;5.27291;
1.24;4.07378;3.73718;4.32715;2.4653;6.04358;
1.28;4.62797;4.24364;4.93398;2.82374;6.84324;
1.32;5.21012;4.77668;5.58875;3.1834;7.67155;
1.36;5.81958;5.32825;6.26726;3.58398;8.4095;
1.4;6.45576;5.9089;6.97661;4.00264;9.17272;
1.44;7.11811;6.5067;7.71615;4.43905;9.96627;
1.48;7.80612;7.10686;8.48529;4.8929;10.8507;
1.52;8.51933;7.74371;9.28348;5.36391;11.8276;
1.56;9.25731;8.40426;10.0912;5.8518;12.8395;
1.6;10.0196;9.07153;10.9332;6.35633;13.8858;
1.64;10.806;9.75883;11.8284;6.87726;14.966;
1.68;11.6159;10.4659;12.7507;7.41436;16.0796;
1.72;12.4491;11.206;13.6933;7.96939;17.2261;
1.76;13.3053;11.9617;14.6561;8.54458;18.405;
1.8;14.1842;12.7218;15.645;9.13497;19.6269;
1.84;15.0854;13.5081;16.6596;9.74035;20.8959;
1.88;16.0087;14.3129;17.6996;10.3605;22.197;
1.92;16.9539;15.1268;18.7648;10.9954;23.5299;
1.96;17.9207;15.9558;19.8548;11.6447;24.8943;
2.0;18.9088;16.8278;20.9693;12.3084;26.2897;
2.04;19.9181;17.7019;22.1081;12.9862;27.7158;
2.08;20.9483;18.6087;23.271;13.6781;29.1724;
2.12;21.9992;19.5208;24.4576;14.3839;30.6591;
2.16;23.0706;20.4501;25.6739;15.0901;32.1757;
2.2;24.1624;21.3965;26.9303;15.7948;33.7218;
2.24;25.2742;22.3598;28.2117;16.5322;35.2972;
2.28;26.406;23.3399;29.5179;17.2917;36.9017;
2.32;27.5576;24.3366;30.8489;18.065;38.481;
2.36;28.7288;25.3397;32.2044;18.8519;40.0666;
2.4;29.9195;26.3433;33.5684;19.6524;41.6766;
2.44;31.1294;27.3616;34.9411;20.4664;43.3109;
2.48;32.3585;28.4062;36.3351;21.2937;44.9692;
2.52;33.6065;29.4921;37.7502;22.1343;46.6512;
2.56;34.8735;30.5942;39.1861;22.9881;48.3568;
2.6;36.1591;31.7124;40.6537;23.855;50.0858;
2.64;37.4633;32.8466;42.1699;24.7349;51.8481;
2.68;38.786;33.9967;43.6627;25.6277;53.6848;
2.72;40.127;35.1625;45.2088;26.5334;55.5474;
2.76;41.4861;36.3441;46.7771;27.4518;57.4355;
2.8;42.8634;37.5412;48.3674;28.3829;59.3492;
2.84;44.2586;38.7454;49.9796;29.3267;61.2881;
2.88;45.6717;39.9614;51.6135;30.2829;63.2522;
2.92;47.1025;41.1923;53.2579;31.2517;65.2413;
