H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-1.22202;1.19015;
0.02;0.0;0.0;0.0;-1.22202;1.19015;
0.04;0.0;0.0;0.0;-1.22202;1.19015;
0.06;0.0;0.0;0.0;-1.22202;1.19015;
0.08;0.0;0.0;0.0;-1.22202;1.19015;
0.1;0.0;0.0;0.0;-1.22202;1.19015;
0.12;0.0;0.0;0.0111244;-1.22202;1.19015;
0.14;0.0;0.0;0.0544878;-1.20901;1.19015;
0.16;0.00206637;0.0;0.120943;-1.17105;1.19015;
0.18;0.0375186;0.0;0.2054;-1.1173;1.21535;
0.2;0.101887;0.00809955;0.310395;-1.0719;1.27273;
0.22;0.189258;0.0538778;0.432467;-0.998452;1.36459;
0.24;0.2968;0.125525;0.562347;-0.913758;1.49017;
0.26;0.422706;0.21585;0.713433;-0.818459;1.65951;
0.28;0.565677;0.326283;0.878931;-0.713066;1.85059;
0.3;0.724719;0.455615;1.05304;-0.562316;2.05773;
0.32;0.899029;0.608741;1.23843;-0.409523;2.28035;
0.34;1.08795;0.779146;1.43511;-0.29144;2.52865;
0.36;1.29091;0.965754;1.64284;-0.164552;2.82381;
0.38;1.50743;1.15697;1.8749;-0.020258;3.12252;
0.4;1.73709;1.35993;2.12312;0.15026;3.37682;
0.42;1.9795;1.57855;2.37473;0.33851;3.6772;
0.44;2.23434;1.81276;2.65302;0.536478;4.02008;
0.46;2.50129;2.05814;2.93601;0.743954;4.38058;
0.48;2.78008;2.31535;3.23076;0.960745;4.75828;
0.5;3.07045;2.57735;3.53608;1.18667;5.15584;
0.52;3.37217;2.85716;3.84633;1.40529;5.53047;
0.54;3.68502;3.14864;4.17566;1.58273;5.91986;
0.56;4.00881;3.43962;4.51876;1.8183;6.35239;
0.58;4.34334;3.75288;4.88495;2.06324;6.80807;
0.6;4.68844;4.06974;5.23844;2.24156;7.29925;
0.62;5.04395;4.39289;5.60808;2.42361;7.80483;
0.64;5.40971;4.74412;5.99015;2.61118;8.3024;
0.66;5.78557;5.08847;6.37765;2.83187;8.83994;
0.68;6.1714;5.4065;6.78398;3.04494;9.39187;
0.7;6.56707;5.77172;7.20065;3.27952;9.95626;
