H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.165898;-1.79485;2.02589;
0.045;0.0351403;0.0;0.446919;-1.78488;2.10758;
0.09;0.242312;0.043011;0.84417;-1.65707;2.30622;
0.135;0.602336;0.281485;1.35482;-1.36832;2.58587;
0.18;1.09979;0.680316;1.97438;-0.95958;3.06895;
0.225;1.72567;1.21418;2.6934;-0.373861;3.76897;
0.27;2.47369;1.88092;3.53035;0.331276;4.57643;
0.315;3.33908;2.67645;4.45598;1.15171;5.49876;
0.36;4.31802;3.59952;5.46699;2.09535;6.52184;
0.405;5.40733;4.61601;6.57693;3.18868;7.65611;
0.45;6.6043;5.75854;7.77053;4.395;8.90558;
0.495;7.90659;7.05049;9.08963;5.70965;10.2475;
0.54;9.31213;8.42297;10.4537;7.08736;11.7052;
0.585;10.8191;9.90266;11.9426;8.5481;13.3102;
0.63;12.4258;11.5453;13.5034;10.1723;14.9703;
0.675;14.1307;13.2931;15.1663;11.8878;16.7507;
0.72;15.9326;15.1311;16.8994;13.614;18.6374;
0.765;17.83;17.0225;18.7486;15.4416;20.5971;
0.81;19.8218;18.983;20.7621;17.3416;22.6371;
0.855;21.907;21.0453;22.8488;19.3411;24.8395;
0.9;24.0844;23.1739;25.0169;21.4898;27.1142;
0.945;26.3532;25.393;27.3806;23.6958;29.4916;
0.99;28.7125;27.5991;29.7966;25.8701;31.9525;
1.035;31.1613;29.8549;32.3181;28.2486;34.4987;
1.08;33.699;32.1668;34.959;30.6566;37.1359;
1.125;36.3247;34.5602;37.717;33.0639;39.9533;
1.17;39.0377;37.0325;40.564;35.5646;42.8849;
1.215;41.8373;39.6411;43.542;38.0509;45.8677;
1.26;44.723;42.2759;46.5895;40.4973;48.8923;
1.305;47.6939;44.9342;49.7567;43.1143;52.006;
1.35;50.7496;47.6645;52.9591;45.9548;55.2173;
1.395;53.8894;50.5048;56.3193;48.98;58.681;
1.44;57.1129;53.5799;59.8677;52.0397;62.2422;
1.485;60.4195;56.7515;63.4383;55.0527;65.8855;
1.53;63.8086;60.0159;67.2448;58.1377;69.5445;
1.575;67.2797;63.3252;72.3204;61.4949;73.7293;
1.62;70.8325;66.9426;77.7142;64.8074;78.5991;
1.665;75.4667;71.2925;83.6489;69.653;84.5789;
1.71;81.6715;75.7332;89.5944;74.048;90.5631;
1.755;88.0758;81.8777;96.0777;79.9777;97.1984;
1.8;94.677;87.2506;102.811;85.5566;103.662;
1.845;101.472;92.1414;109.836;90.6352;110.752;
1.89;108.46;96.9655;116.934;95.4404;118.157;
1.935;115.637;102.091;124.274;100.676;125.794;
1.98;123.001;107.283;131.832;106.76;133.722;
2.025;130.551;112.961;140.067;113.602;142.469;
2.07;138.284;119.67;149.054;121.137;151.492;
2.115;146.198;127.604;157.881;127.417;160.547;
2.16;154.292;135.145;166.914;135.509;169.971;
2.205;162.564;143.164;176.101;143.804;179.202;
2.25;171.012;150.947;185.446;152.168;188.355;
2.295;179.635;158.98;195.233;160.378;198.606;
2.34;188.431;167.409;204.897;168.71;208.274;
2.385;197.399;176.723;215.265;177.289;218.547;
2.43;206.536;185.182;225.747;185.932;229.344;
2.475;215.843;193.092;236.65;195.149;240.596;
2.52;225.317;202.027;247.66;203.823;252.011;
2.565;234.957;210.241;259.346;213.015;262.759;
2.61;244.762;218.018;270.322;221.712;274.025;
2.655;254.731;226.201;281.697;231.474;286.528;
2.7;264.863;235.045;293.974;240.784;299.263;
2.745;275.155;245.01;306.466;249.304;312.229;
2.79;285.608;253.627;319.171;257.946;325.24;
2.835;296.221;262.371;332.089;266.708;337.991;
2.88;306.991;271.241;344.416;275.589;350.953;
2.925;317.919;280.237;356.723;284.59;364.126;
2.97;329.002;289.358;370.037;293.709;377.507;
3.015;340.241;298.604;383.677;302.761;391.096;
3.06;351.635;307.973;397.524;311.849;404.892;
3.105;363.181;317.886;411.576;321.044;418.894;
3.15;374.88;328.068;425.834;330.749;432.966;
3.195;386.731;338.162;440.13;341.056;446.511;
3.24;398.733;347.882;454.305;350.961;461.523;
3.285;410.884;357.79;468.663;362.351;476.781;
3.33;423.184;370.12;483.256;375.334;491.958;
3.375;435.633;380.877;498.409;386.533;507.176;
3.42;448.23;391.029;513.761;397.862;522.593;
3.465;460.973;401.847;529.31;409.454;538.209;
3.51;473.862;414.264;545.057;420.03;554.023;
3.555;486.897;425.622;560.999;430.713;570.034;
3.6;500.076;437.108;577.137;441.502;586.241;
3.645;513.399;448.722;593.468;452.396;602.644;
3.69;526.865;460.461;609.994;463.396;619.242;
3.735;540.474;472.327;626.706;474.871;635.522;
3.78;554.225;484.319;643.408;487.383;651.876;
3.825;568.117;496.231;660.291;498.82;668.897;
3.87;582.15;508.021;677.356;510.878;686.375;
3.915;596.323;519.592;694.601;522.647;704.04;
3.96;610.635;531.264;712.025;534.38;721.89;
4.005;625.086;543.034;729.628;546.171;739.924;
4.05;639.676;554.921;747.409;558.065;758.141;
4.095;654.403;566.995;765.367;570.063;776.541;
4.14;669.267;579.175;783.502;582.163;795.124;
4.185;684.268;591.375;801.812;594.365;813.887;
4.23;699.404;603.853;820.298;606.668;832.831;
4.275;714.677;618.083;838.958;619.073;851.955;
4.32;730.084;630.537;857.791;632.483;871.258;
4.365;745.626;643.091;876.798;645.188;890.739;
4.41;761.301;655.742;895.977;657.992;910.397;
4.455;777.11;669.651;915.327;671.109;930.233;
4.5;793.052;684.137;934.849;684.019;950.245;
