H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
2.0;0.0;0.0;0.417514;-4.25113;4.95878;
2.045;0.0098384;0.0;0.702551;-4.25113;5.22403;
2.09;0.170826;0.0;1.07228;-4.22494;5.7038;
2.135;0.462897;0.0;1.50634;-4.01613;6.28776;
2.18;0.859772;0.0898477;2.01175;-3.75524;6.92991;
2.225;1.34877;0.422019;2.59959;-3.47101;7.58268;
2.27;1.92176;0.793099;3.16981;-3.13461;8.39454;
2.315;2.57292;1.35996;3.94825;-2.74348;9.21543;
2.36;3.29775;1.96145;4.69139;-2.31693;10.0838;
2.405;4.09264;2.65445;5.46932;-1.66226;11.2301;
2.45;4.95459;3.51568;6.43583;-0.924904;12.5139;
2.495;5.88108;4.43237;7.52037;-0.211189;13.8333;
2.54;6.86989;5.53841;8.78561;0.557989;15.0434;
2.585;7.91911;6.54385;10.3291;1.52973;16.7163;
2.63;9.74992;7.99442;12.0879;2.69121;19.2623;
2.675;12.0933;9.66681;14.4253;3.8482;22.1442;
2.72;14.6337;11.7275;17.3141;5.17657;25.3714;
2.765;17.3636;14.0341;20.233;6.44355;28.8093;
2.81;20.2765;16.424;23.2656;8.56946;32.4326;
2.855;23.3668;19.4028;26.6235;10.3828;37.075;
2.9;26.6295;22.4177;30.1488;12.582;41.9949;
2.945;30.06;25.5779;33.9029;14.711;47.1851;
2.99;33.6543;28.8046;37.9282;17.0013;52.338;
3.035;37.4087;32.2451;42.3182;19.4221;57.2715;
3.08;41.3197;36.0577;46.9594;21.9399;62.4091;
3.125;45.3843;39.9239;51.8302;24.5526;68.1631;
3.17;49.5995;43.6489;56.9582;27.2581;74.0612;
3.215;53.9628;47.5819;62.006;29.9544;80.4686;
3.26;58.4715;51.434;67.4123;32.6575;87.0242;
3.305;63.1234;55.4049;72.9127;35.6479;94.0877;
3.35;67.9162;59.4927;78.7229;38.7406;101.38;
3.395;72.8478;63.787;84.5839;41.9342;108.539;
3.44;77.9164;68.0128;90.6843;45.2277;115.869;
3.485;83.12;72.442;96.9582;48.6199;123.451;
3.53;88.4569;76.8834;103.404;52.049;131.118;
3.575;93.9254;81.6037;110.019;55.5204;138.938;
3.62;99.524;86.3278;116.801;59.0707;146.964;
3.665;105.251;91.0608;123.89;62.6989;155.612;
3.71;111.105;95.8959;131.183;66.4039;164.464;
3.755;117.085;101.074;138.37;70.1848;173.21;
3.8;123.189;106.425;145.948;74.0409;182.1;
3.845;129.417;111.633;153.571;77.9711;191.17;
3.89;135.766;116.906;161.352;81.9747;200.42;
3.935;142.236;122.276;169.472;86.051;209.847;
3.98;148.825;127.741;177.881;90.1991;219.449;
4.025;155.533;133.3;186.455;94.4183;229.225;
4.07;162.359;138.953;195.19;98.708;239.174;
4.115;169.301;144.698;204.053;103.067;249.294;
4.16;176.358;150.535;212.969;107.496;259.583;
4.205;183.529;156.464;222.037;111.993;270.041;
4.25;190.815;162.483;231.256;116.622;280.564;
4.295;198.213;168.764;240.625;121.52;291.456;
4.34;205.722;175.152;250.234;126.497;302.411;
4.385;213.343;181.592;260.04;131.552;313.53;
4.43;221.074;188.012;269.999;136.684;325.352;
4.475;228.914;194.524;280.11;141.668;337.518;
4.52;236.863;201.125;290.372;146.6;349.872;
4.565;244.919;207.816;300.784;151.599;362.415;
4.61;253.083;214.596;311.345;156.663;375.144;
4.655;261.353;221.465;322.053;161.793;388.059;
4.7;269.729;228.421;332.909;166.989;401.159;
4.745;278.21;235.465;343.911;172.249;414.443;
4.79;286.795;242.595;355.058;177.574;427.91;
4.835;295.484;249.813;366.35;182.963;441.048;
4.88;304.276;257.116;377.75;188.416;454.262;
4.925;313.171;264.504;389.157;193.932;467.638;
4.97;322.168;271.978;400.703;199.512;481.175;
5.015;331.266;279.536;412.387;205.154;494.872;
