H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-0.388923;0.321656;
0.035;0.0;0.0;0.0;-0.388923;0.321656;
0.07;0.0;0.0;0.0;-0.388923;0.321656;
0.105;0.0;0.0;0.0;-0.388923;0.321656;
0.14;0.0;0.0;0.0;-0.388923;0.321656;
0.175;0.0;0.0;0.0;-0.388923;0.321656;
0.21;0.0;0.0;0.0;-0.388923;0.321656;
0.245;0.0;0.0;0.0;-0.388923;0.321656;
0.28;0.0;0.0;0.00498119;-0.388923;0.321656;
0.315;0.0347267;0.00716454;0.122281;-0.325272;0.368153;
0.35;0.217176;0.157038;0.358489;-0.19291;0.579373;
0.385;0.515775;0.439196;0.690467;0.0852812;0.89571;
0.42;0.913825;0.826566;1.10742;0.474003;1.31726;
0.455;1.40199;1.31331;1.60423;0.953056;1.82191;
0.49;1.97394;1.88125;2.17549;1.51926;2.43087;
0.525;2.62494;2.5139;2.82181;2.16408;3.10431;
0.56;3.3513;3.23718;3.53476;2.87017;3.8593;
0.595;4.14995;4.0328;4.32075;3.65018;4.68998;
0.63;5.01835;4.88907;5.19305;4.46058;5.58735;
0.665;5.95429;5.79029;6.13393;5.32873;6.54946;
0.7;6.95587;6.74526;7.13467;6.28647;7.57792;
0.735;8.02139;7.7315;8.22105;7.26406;8.65774;
0.77;9.14932;8.77245;9.36902;8.26842;9.81549;
0.805;10.3383;9.86985;10.5852;9.38839;11.0236;
0.84;11.5871;11.0275;11.8593;10.5228;12.3202;
0.875;12.8946;12.2401;13.2204;11.7513;13.6934;
0.91;14.2597;13.6341;14.7161;13.1027;15.1983;
0.945;15.6815;15.0958;16.774;14.4254;17.0851;
0.98;17.8383;16.6806;19.129;16.1346;19.4326;
1.015;20.36;18.869;21.5467;18.2273;21.9773;
1.05;23.0132;21.4194;24.172;20.7833;24.705;
1.085;25.7947;24.2395;26.8933;23.3756;27.4785;
1.12;28.7017;27.0596;29.7465;26.1543;30.45;
1.155;31.7314;30.0474;32.7198;29.0725;33.5713;
1.19;34.8814;33.0978;35.8674;32.0369;36.7599;
1.225;38.1495;36.2907;39.1136;35.1111;40.0918;
1.26;41.5335;39.5646;42.6047;38.3205;43.5678;
1.295;45.0315;42.8961;46.1684;41.5679;47.1144;
1.33;48.6416;46.4147;49.938;44.9237;50.868;
1.365;52.3622;50.02;53.8669;48.3533;54.918;
1.4;56.1916;53.5819;57.8869;51.9554;59.0321;
1.435;60.1282;57.2429;62.0213;55.6521;63.262;
1.47;64.1707;61.0889;66.2188;59.4138;67.6102;
1.505;68.3176;64.9306;70.5286;63.3289;71.9736;
1.54;72.5676;68.8493;74.8857;67.2637;76.3233;
1.575;76.9196;72.8929;79.4789;71.2329;80.8072;
1.61;81.3723;76.9531;84.1834;75.3892;85.4677;
1.645;85.9246;81.161;88.9979;79.5458;90.2449;
1.68;90.5754;85.415;93.8986;83.8225;95.1767;
1.715;95.3237;89.7574;98.9566;88.0281;100.249;
1.75;100.168;94.1873;104.164;92.3141;105.549;
1.785;105.109;98.6907;109.463;96.8579;110.957;
1.82;110.144;103.298;114.754;101.485;116.47;
1.855;115.272;107.995;120.225;106.139;122.089;
1.89;120.494;112.768;125.796;110.81;127.808;
1.925;125.807;117.625;131.466;115.631;133.488;
1.96;131.212;122.565;137.236;120.522;139.269;
1.995;136.707;127.587;143.202;125.484;145.149;
2.03;142.292;132.692;149.307;130.529;151.291;
2.065;147.966;137.816;155.347;135.655;157.552;
2.1;153.729;142.998;161.391;140.864;163.918;
2.135;159.579;148.23;167.599;146.154;170.314;
2.17;165.516;153.673;174.001;151.524;176.707;
2.205;171.539;159.321;180.5;156.975;183.038;
2.24;177.648;165.004;187.096;162.505;189.458;
2.275;183.843;170.678;193.789;168.115;195.967;
2.31;190.122;176.42;200.576;173.803;202.565;
2.345;196.485;182.237;207.459;179.57;209.249;
2.38;202.931;188.023;214.436;185.414;216.183;
2.415;209.46;193.959;221.506;191.336;223.396;
2.45;216.072;200.083;228.67;197.335;230.759;
2.485;222.765;206.281;235.799;203.411;238.219;
2.52;229.54;212.481;243.007;209.471;245.777;
2.555;236.396;218.755;250.301;215.731;253.28;
2.59;243.332;225.104;257.681;222.094;260.746;
2.625;250.348;231.526;265.178;228.473;268.297;
2.66;257.444;238.023;272.837;234.926;275.934;
2.695;264.619;244.592;280.656;241.294;283.655;
2.73;271.872;251.262;288.564;247.699;291.462;
2.765;279.204;258.003;296.529;254.357;299.352;
2.8;286.613;264.737;304.42;261.149;307.326;
2.835;294.099;271.595;312.393;268.015;315.427;
2.87;301.663;278.526;320.509;274.956;323.69;
2.905;309.303;285.527;328.748;281.958;332.041;
2.94;317.019;292.6;337.069;288.89;340.478;
2.975;324.812;299.743;345.471;295.976;349.002;
3.01;332.679;306.956;353.955;303.253;357.611;
3.045;340.622;314.239;362.52;310.603;366.307;
3.08;348.639;321.542;371.199;317.976;375.087;
3.115;356.731;328.765;379.973;325.255;383.953;
3.15;364.897;336.05;388.831;332.598;392.903;
3.185;373.136;343.396;397.772;340.004;401.938;
3.22;381.449;350.804;406.796;347.473;411.056;
3.255;389.835;358.273;415.903;355.004;420.258;
3.29;398.294;365.803;425.092;362.597;429.329;
3.325;406.825;373.393;434.363;370.252;438.563;
3.36;415.428;381.043;443.715;377.969;447.983;
3.395;424.103;388.754;453.149;385.746;457.484;
3.43;432.85;396.524;462.664;393.585;467.066;
3.465;441.668;404.353;472.138;401.484;476.728;
3.5;450.557;412.241;481.668;409.444;486.47;
