H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
58.0;0.0;0.0;0.0;-1.10646;1.05657;
58.05;0.0;0.0;0.0;-1.10646;1.05657;
58.1;0.0;0.0;0.0;-1.10646;1.05657;
58.15;0.0;0.0;0.0;-1.10646;1.05657;
58.2;0.0;0.0;0.0;-1.10646;1.05657;
58.25;0.0;0.0;0.0;-1.10646;1.05657;
58.3;0.0;0.0;0.0;-1.10646;1.05657;
58.35;0.0;0.0;0.0;-1.10646;1.05657;
58.4;0.0;0.0;0.0;-1.10646;1.05657;
58.45;0.0;0.0;0.0;-1.10646;1.05657;
58.5;0.0;0.0;0.0;-1.10646;1.05657;
58.55;0.0;0.0;0.0382505;-1.10646;1.05871;
58.6;0.110262;0.0182813;0.29567;-1.00589;1.2198;
58.65;0.477709;0.307354;0.730413;-0.675514;1.61847;
58.7;1.02749;0.819015;1.3139;-0.144134;2.26011;
58.75;1.73162;1.49137;2.0211;0.536781;3.03141;
58.8;2.57402;2.30329;2.85964;1.33086;3.94788;
58.85;3.54371;3.2526;3.82868;2.25795;4.99594;
58.9;4.63252;4.32018;4.90617;3.24552;6.16878;
58.95;5.83403;5.49966;6.12226;4.31955;7.46093;
59.0;7.14299;6.79917;7.44643;5.51484;8.92208;
59.05;8.55499;8.1937;8.86627;6.74963;10.4609;
59.1;10.0663;9.64274;10.3935;8.10544;12.1247;
59.15;11.6736;11.1933;12.0363;9.48748;13.912;
59.2;13.374;12.7936;13.7795;10.997;15.7803;
59.25;15.165;14.513;15.6115;12.564;17.7137;
59.3;17.0441;16.3271;17.5319;14.2341;19.8079;
59.35;19.0095;18.1915;19.5334;15.9779;22.0179;
59.4;21.059;20.101;21.6219;17.7648;24.321;
59.45;23.191;22.133;23.8294;19.5912;26.7152;
59.5;25.4038;24.2411;26.1192;21.5552;29.188;
59.55;27.696;26.3937;28.5216;23.5455;31.7673;
59.6;30.0661;28.6215;30.9721;25.5956;34.381;
59.65;32.5128;30.9373;33.5191;27.716;37.1076;
59.7;35.035;33.3099;36.1641;29.906;39.9849;
59.75;37.6314;35.7971;38.8823;32.1647;42.8962;
