H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-0.308705;0.321302;
0.03;0.0;0.0;0.0;-0.308705;0.321302;
0.06;0.0;0.0;0.0;-0.308705;0.321302;
0.09;0.0;0.0;0.0;-0.308705;0.321302;
0.12;0.0;0.0;0.0;-0.308705;0.321302;
0.15;0.0;0.0;0.0;-0.308705;0.321302;
0.18;0.0;0.0;0.0;-0.308705;0.321302;
0.21;0.0;0.0;0.0;-0.308705;0.321302;
0.24;0.0;0.0;0.0;-0.308705;0.321302;
0.27;0.014313;0.00501;0.031003;-0.296785;0.337241;
0.3;0.0763434;0.0572675;0.10567;-0.239321;0.402482;
0.33;0.174015;0.14717;0.211909;-0.138342;0.511502;
0.36;0.302007;0.2698;0.348548;-0.0090272;0.658576;
0.39;0.457317;0.421045;0.514441;0.137787;0.820628;
0.42;0.637905;0.597858;0.702965;0.30132;1.00602;
0.45;0.842253;0.796964;0.91504;0.489735;1.21889;
0.48;1.06917;1.0204;1.14992;0.698975;1.45949;
0.51;1.31767;1.26904;1.40273;0.929414;1.73333;
0.54;1.58695;1.53651;1.67815;1.18756;2.0274;
0.57;1.87629;1.82041;1.96997;1.46243;2.35044;
0.6;2.18509;2.12313;2.28458;1.76111;2.66257;
0.63;2.51281;2.44013;2.61554;2.07059;3.00574;
0.66;2.85896;2.77985;2.96763;2.38461;3.37827;
0.69;3.22312;3.13546;3.33588;2.71661;3.78097;
0.72;3.60488;3.49947;3.72625;3.05061;4.18612;
0.75;4.00389;3.88734;4.13259;3.42028;4.60051;
0.78;4.41981;4.28682;4.56386;3.79396;5.02865;
0.81;4.85234;4.70525;5.0088;4.1845;5.48053;
0.84;5.30119;5.13096;5.4771;4.58562;5.971;
0.87;5.76611;5.57091;5.96144;5.0075;6.47665;
0.9;6.24684;6.02307;6.46789;5.44072;7.00757;
0.93;6.74316;6.49253;6.99108;5.89353;7.52422;
0.96;7.25484;6.99214;7.61148;6.3764;8.11975;
0.99;8.42809;7.99946;8.98173;7.44717;9.50768;
1.02;10.0117;9.54836;10.5361;8.89663;11.0785;
1.05;11.7092;11.2293;12.2415;10.3928;12.8287;
1.08;13.5181;12.9434;14.0517;11.9326;14.7261;
1.11;15.4359;14.7482;16.0216;13.6359;16.7918;
1.14;17.4604;16.6427;18.0371;15.4297;19.0009;
1.17;19.5896;18.5721;20.2144;17.1423;21.3476;
1.2;21.8217;20.5483;22.5107;18.9568;23.6973;
1.23;24.1551;22.6394;24.879;20.9668;26.272;
1.26;26.5881;24.7967;27.4905;23.075;28.8258;
1.29;29.1193;27.0128;30.1853;25.1772;31.477;
1.32;31.7473;29.3107;32.8792;27.4104;34.2241;
1.35;34.471;31.6812;35.7644;29.7875;37.0658;
1.38;37.289;34.1863;38.7696;32.2279;40.0811;
1.41;40.2003;36.7852;41.8778;34.6458;43.2732;
1.44;43.2038;39.4281;45.0878;37.1718;46.5726;
1.47;46.2985;42.1138;48.3985;39.8279;49.953;
1.5;49.4835;44.9483;51.8089;42.5624;53.4173;
1.53;52.7577;47.8152;55.3554;45.3746;56.9948;
1.56;56.1205;50.7357;59.0027;48.2637;60.7069;
1.59;59.5708;53.7282;62.7495;51.2292;64.4266;
1.62;63.108;56.8128;66.5948;54.1568;68.2318;
1.65;66.7313;60.0114;70.5367;57.1396;72.1289;
1.68;70.4399;63.2233;74.4869;60.1889;76.1172;
1.71;74.2331;66.4826;78.582;63.3039;80.2719;
1.74;78.1103;69.8087;82.8013;66.4842;84.5438;
1.77;82.0709;73.2013;87.0985;69.7293;88.9107;
1.8;86.1141;76.6596;91.4277;73.0386;93.3717;
1.83;90.2394;80.2236;95.8459;76.4117;97.9264;
1.86;94.4462;83.8888;100.346;79.8481;102.574;
1.89;98.7339;87.6236;104.933;83.3472;107.314;
1.92;103.102;91.4276;109.604;86.9088;112.146;
1.95;107.55;95.2253;114.361;90.5981;117.02;
1.98;112.077;99.0446;119.231;94.4227;121.976;
2.01;116.684;102.924;124.189;98.3164;127.022;
2.04;121.368;106.862;129.213;102.279;132.157;
2.07;126.131;110.906;134.322;106.31;137.381;
2.1;130.971;115.035;139.515;110.408;142.693;
2.13;135.887;119.227;144.791;114.575;148.093;
2.16;140.881;123.482;150.15;118.809;153.58;
2.19;145.951;127.798;155.592;123.11;159.155;
2.22;151.096;132.176;161.115;127.477;164.816;
2.25;156.317;136.616;166.721;131.912;170.564;
2.28;161.612;141.117;172.408;136.412;176.398;
2.31;166.983;145.678;178.175;140.979;182.317;
2.34;172.427;150.3;184.024;145.611;188.321;
2.37;177.945;154.982;189.952;150.309;194.41;
2.4;183.537;159.724;195.96;155.004;200.584;
2.43;189.202;164.525;202.047;159.675;206.842;
2.46;194.94;169.385;208.213;164.402;213.184;
2.49;200.75;174.305;214.458;169.186;219.609;
2.52;206.632;179.283;220.781;173.981;226.118;
2.55;212.586;184.319;227.183;178.83;232.709;
2.58;218.612;189.438;233.653;183.734;239.383;
2.61;224.708;194.644;240.217;188.692;246.14;
2.64;230.876;199.911;246.85;193.704;252.978;
2.67;237.115;205.237;253.56;198.769;259.899;
2.7;243.423;210.623;260.345;203.889;266.9;
2.73;249.802;216.068;267.207;209.061;273.983;
2.76;256.251;221.571;274.145;214.286;281.147;
2.79;262.769;227.134;281.158;219.565;288.392;
2.82;269.356;232.755;288.308;224.895;295.717;
2.85;276.012;238.435;295.648;230.279;303.122;
2.88;282.737;244.172;303.069;235.714;310.607;
2.91;289.531;249.968;310.463;241.201;318.172;
2.94;296.392;255.821;317.905;246.793;325.816;
2.97;303.322;261.731;325.423;252.565;333.539;
3.0;310.319;267.687;333.015;258.395;341.341;
