H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-1.89926;1.84644;
0.03;0.0;0.0;0.0;-1.89926;1.84644;
0.06;0.0;0.0;0.0;-1.89926;1.84644;
0.09;0.0;0.0;0.0;-1.89926;1.84644;
0.12;0.0;0.0;0.0;-1.89926;1.84644;
0.15;0.0;0.0;0.0;-1.89926;1.84644;
0.18;0.0;0.0;0.0;-1.89926;1.84644;
0.21;0.0;0.0;0.0;-1.89926;1.84644;
0.24;0.0;0.0;0.0;-1.89926;1.84644;
0.27;0.0;0.0;0.0;-1.89926;1.84644;
0.3;0.0;0.0;0.0;-1.89926;1.84644;
0.33;0.0;0.0;0.0;-1.89926;1.84644;
0.36;0.0;0.0;0.0;-1.89926;1.84644;
0.39;0.0;0.0;0.0;-1.89926;1.84644;
0.42;0.0;0.0;0.0;-1.89926;1.84644;
0.45;0.0;0.0;0.0;-1.89926;1.84644;
0.48;0.0;0.0;0.00786745;-1.89926;1.84644;
0.51;0.00115602;0.0;0.255071;-1.80171;1.96952;
0.54;0.252028;0.0111975;0.731109;-1.65613;2.26987;
0.57;0.777789;0.338354;1.40127;-1.16786;2.75736;
0.6;1.51633;0.966307;2.22022;-0.489815;3.55218;
0.63;2.44083;1.79691;3.2206;0.395234;4.5215;
0.66;3.53456;2.82507;4.36467;1.46468;5.63481;
0.69;4.78565;4.02307;5.63337;2.70339;6.91111;
0.72;6.18506;5.38696;7.06492;4.10024;8.29693;
0.75;7.72553;6.89551;8.61655;5.64654;9.8632;
0.78;9.40109;8.55942;10.2499;7.31548;11.5361;
0.81;11.2067;10.338;12.0146;9.02337;13.3396;
0.84;13.1379;12.248;13.94;10.8019;15.3512;
0.87;15.1909;14.2237;15.9784;12.7281;17.4979;
0.9;17.3624;16.3473;18.1682;14.7706;19.6625;
0.93;19.6492;18.5173;20.4331;16.9298;22.0086;
0.96;22.0487;20.7608;22.8576;19.1551;24.4669;
0.99;24.5583;23.1013;25.4499;21.3749;27.1373;
1.02;27.1758;25.4995;28.1229;23.7558;29.8063;
1.05;29.8991;28.0198;30.9785;26.4171;32.6209;
1.08;32.7262;30.9796;33.9521;29.2758;35.6607;
1.11;35.6553;34.2571;37.0378;32.6246;38.7374;
1.14;38.6848;37.5383;40.3805;35.7823;42.1074;
1.17;41.813;41.2195;43.9637;39.3505;46.1879;
1.2;45.6454;45.0663;48.0452;42.9449;50.3827;
1.23;50.0531;49.2507;52.3256;46.8447;54.9185;
1.26;54.6211;53.8358;56.8208;51.1449;59.5624;
1.29;59.3468;58.5209;61.4737;55.5918;64.3378;
1.32;64.2274;63.4257;66.3771;60.3654;69.3515;
1.35;69.2606;68.421;71.4806;65.3349;74.6761;
