H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-5.86017;6.07846;
0.04;0.0;0.0;7.82697E-4;-5.86017;6.12107;
0.08;0.0;0.0;0.0952443;-5.86017;6.12107;
0.12;0.0;0.0;0.29171;-5.86017;6.12107;
0.16;0.0214264;0.0;0.576302;-5.85737;6.12107;
0.2;0.185045;0.0;0.922176;-5.73535;6.28854;
0.24;0.460227;0.0;1.3102;-5.50142;6.31178;
0.28;0.827261;0.0;1.75053;-5.08603;6.59205;
0.32;1.27588;0.0176961;2.31792;-4.80848;7.02572;
0.36;1.79932;0.258164;2.95696;-4.51699;7.54571;
0.4;2.39265;0.67644;3.6057;-4.16406;8.14556;
0.44;3.05206;1.23179;4.29681;-3.73191;8.85343;
0.48;3.77443;1.89576;5.03522;-3.19853;9.72308;
0.52;4.55719;2.62454;5.81941;-2.5869;10.5462;
0.56;5.39814;3.42602;6.64804;-1.89874;11.5855;
0.6;6.29537;4.36661;7.48046;-1.14485;12.6905;
0.64;7.24721;5.32231;8.43391;-0.354255;14.0979;
0.68;8.25215;6.3685;9.41211;0.355361;15.1879;
0.72;9.30887;7.5082;10.4565;1.20856;16.3121;
0.76;10.4162;8.69893;11.5813;2.04674;17.6673;
0.8;11.5729;9.95853;12.8293;2.98168;19.1154;
0.84;12.7781;11.2166;14.1858;3.77307;21.0395;
0.88;14.0308;12.4838;15.5629;4.7778;22.9119;
0.92;15.3301;13.7808;17.0125;5.82624;24.791;
0.96;16.6753;15.1064;18.5509;6.91761;26.774;
1.0;18.0655;16.4136;20.1819;8.06196;28.6977;
1.04;19.5002;17.7855;21.8519;9.43794;30.989;
1.08;20.9785;19.2015;23.6393;10.5176;33.3996;
1.12;22.5;20.5917;25.5235;11.6988;35.92;
1.16;24.064;22.0881;27.5605;12.7661;38.5203;
1.2;25.6699;23.7079;29.7271;13.943;40.9559;
1.24;27.4518;25.5274;32.0726;15.1544;43.8394;
1.28;31.7805;28.0742;35.1415;16.5987;46.7288;
1.32;36.3609;30.7078;39.9877;19.371;51.7372;
1.36;41.1865;33.2688;45.0949;22.1102;57.9374;
1.4;46.2514;36.1724;50.4439;23.9503;64.5634;
1.44;51.5503;39.0417;56.0294;26.3461;71.1602;
1.48;57.0784;42.6172;61.9291;29.0414;78.0525;
1.52;62.8311;46.8491;68.1215;32.1813;85.6368;
1.56;68.8042;51.8008;74.4517;35.8619;93.6369;
1.6;74.9939;57.4915;81.1495;39.672;102.157;
1.64;81.3967;63.7183;87.82;43.6092;110.743;
1.68;88.0091;70.3498;94.8702;47.6711;119.378;
1.72;94.828;76.7039;102.16;51.8557;128.524;
1.76;101.85;82.9352;109.571;56.1609;137.908;
1.8;109.073;89.3585;117.371;60.5849;147.638;
1.84;116.495;96.0185;125.384;65.1258;157.599;
1.88;124.111;103.541;133.738;69.782;167.826;
1.92;131.921;110.385;141.986;74.5519;178.313;
1.96;139.922;117.19;150.278;79.4339;189.06;
2.0;148.111;124.661;159.527;84.305;200.046;
2.04;156.487;132.48;168.573;89.1386;210.893;
2.08;165.048;140.069;177.818;94.0753;221.954;
2.12;173.791;147.94;187.783;99.3966;233.879;
2.16;182.715;156.675;197.817;105.036;246.222;
2.2;191.819;164.986;208.014;110.728;258.811;
2.24;201.1;173.21;218.419;116.137;271.429;
2.28;210.556;181.915;229.03;121.646;284.848;
2.32;220.187;190.579;239.845;127.254;298.249;
2.36;229.991;199.692;250.863;132.961;311.582;
2.4;239.966;208.772;262.081;138.817;325.063;
2.44;250.111;218.012;273.498;145.235;338.768;
2.48;260.425;227.409;285.239;151.769;352.946;
2.52;270.906;236.961;297.192;158.418;367.442;
2.56;281.552;246.157;309.348;164.656;382.167;
2.6;292.364;255.413;322.079;170.872;397.119;
2.64;303.339;265.169;334.727;177.178;412.297;
2.68;314.476;275.584;347.459;183.574;427.697;
2.72;325.775;286.162;360.385;190.059;443.319;
2.76;337.234;296.9;373.506;196.633;459.162;
2.8;348.851;307.44;386.82;203.437;475.222;
2.84;360.627;317.58;400.325;210.902;491.499;
2.88;372.56;327.85;414.021;218.475;507.991;
2.92;384.648;338.436;427.906;226.157;525.167;
2.96;396.892;349.559;441.979;233.947;542.733;
3.0;409.29;360.334;456.239;241.843;560.532;
3.04;421.841;371.237;470.686;249.528;578.56;
3.08;434.544;382.49;485.332;257.129;596.817;
3.12;447.399;394.263;500.211;264.816;615.302;
3.16;460.404;406.176;515.133;272.589;634.012;
3.2;473.559;417.586;530.315;280.448;652.947;
3.24;486.862;428.93;545.677;288.391;672.105;
3.28;500.314;440.39;561.221;296.419;691.485;
3.32;513.913;451.963;576.943;304.53;711.085;
3.36;527.659;463.65;592.633;312.724;730.905;
3.4;541.55;475.449;608.291;321.001;750.943;
3.44;555.587;487.361;624.115;329.361;771.198;
3.48;569.768;499.384;640.101;337.803;791.668;
3.52;584.092;511.683;656.251;346.325;812.354;
3.56;598.56;524.167;672.563;354.929;833.252;
3.6;613.169;536.767;689.036;363.614;854.363;
3.64;627.921;549.484;705.669;372.378;875.686;
3.68;642.813;562.317;722.462;381.223;897.218;
3.72;657.846;575.264;739.414;390.146;918.96;
3.76;673.018;588.326;756.525;399.149;940.91;
