H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
1.0;38.3919;37.1551;40.1753;31.2979;46.2309;
1.14;48.6536;47.4632;50.3913;41.713;56.6716;
1.28;59.8807;58.6881;61.6136;52.9847;68.1791;
1.42;72.0359;70.8324;73.6942;64.4769;80.6452;
1.56;85.0876;83.7958;86.7756;77.4319;93.9317;
1.7;99.0081;97.4424;100.907;90.8649;108.209;
1.84;113.773;111.899;116.013;105.338;123.321;
1.98;129.36;126.928;132.037;120.494;139.16;
2.12;145.751;142.809;148.882;136.221;155.826;
2.26;162.926;159.358;166.856;152.666;173.592;
2.4;180.87;176.427;185.497;169.791;192.184;
2.54;199.568;194.39;204.957;187.45;211.691;
2.68;219.007;213.063;225.094;205.786;231.965;
2.82;239.172;232.252;245.958;224.787;252.992;
2.96;260.053;251.886;267.565;244.499;274.76;
3.1;281.638;272.156;289.936;264.796;297.257;
3.24;303.916;293.04;312.991;285.662;320.921;
3.38;326.879;314.536;336.933;307.084;344.897;
3.52;350.516;336.863;361.431;329.289;369.157;
3.66;374.818;359.703;386.616;351.666;394.202;
3.8;399.778;383.131;412.577;374.931;420.123;
3.94;425.388;407.242;439.189;399.243;446.859;
4.08;451.639;431.939;466.519;423.999;473.497;
4.22;478.525;457.217;494.713;448.727;501.287;
4.36;506.039;483.068;523.592;473.782;530.093;
4.5;534.174;509.487;553.071;499.937;559.784;
4.64;562.925;536.467;583.213;526.807;590.09;
4.78;592.284;564.002;613.755;554.077;620.627;
4.92;622.247;592.088;644.827;582.06;651.788;
5.06;652.807;620.368;676.511;610.38;684.206;
5.2;683.96;649.118;708.878;639.129;717.503;
5.34;715.699;678.373;742.397;668.398;751.451;
5.48;748.021;708.158;776.554;698.183;785.862;
5.62;780.92;738.848;811.344;728.48;820.478;
5.76;814.392;769.468;846.762;759.283;855.591;
5.9;848.432;800.563;882.578;790.589;891.717;
6.04;883.036;832.543;918.674;822.394;927.824;
6.18;918.199;865.265;955.349;854.693;964.447;
6.32;953.918;898.493;992.599;887.482;1001.89;
6.46;990.189;932.225;1030.56;920.758;1040.28;
6.6;1027.01;966.426;1069.54;954.542;1078.94;
6.74;1064.37;1000.8;1109.13;989.061;1118.02;
6.88;1102.27;1035.64;1149.32;1023.49;1158.14;
7.02;1140.71;1070.96;1190.1;1058.66;1198.15;
7.16;1179.68;1106.74;1231.47;1094.31;1239.5;
7.3;1219.19;1143.06;1273.42;1130.43;1281.42;
7.44;1259.21;1179.72;1315.96;1167.02;1323.92;
7.58;1299.77;1216.85;1359.09;1204.06;1366.98;
7.72;1340.84;1254.47;1402.78;1241.57;1410.62;
7.86;1382.43;1292.54;1447.06;1279.52;1454.81;
8.0;1424.54;1331.06;1491.9;1317.93;1499.57;
8.14;1467.15;1370.03;1537.1;1356.79;1544.89;
8.28;1510.28;1409.57;1582.8;1396.09;1590.76;
8.42;1553.91;1449.69;1629.04;1435.83;1637.18;
8.56;1598.04;1490.25;1675.84;1476.02;1683.81;
8.7;1642.68;1531.26;1723.17;1516.64;1730.77;
8.84;1687.81;1572.72;1771.05;1557.7;1778.26;
8.98;1733.44;1614.63;1819.47;1599.37;1826.26;
9.12;1779.56;1656.97;1868.42;1641.12;1875.05;
9.26;1826.17;1699.76;1917.91;1683.47;1924.73;
9.4;1873.27;1742.98;1967.93;1726.25;1974.93;
9.54;1920.86;1786.64;2018.47;1769.46;2025.67;
9.68;1968.93;1830.74;2069.55;1813.08;2076.94;
9.82;2017.48;1875.26;2121.15;1856.99;2128.74;
9.96;2066.51;1919.59;2173.27;1901.16;2181.06;
10.1;2116.02;1963.92;2225.91;1945.51;2233.9;
10.24;2166.0;2008.64;2279.07;1990.15;2287.26;
10.38;2216.45;2053.94;2332.75;2035.18;2341.15;
10.52;2267.38;2100.59;2386.94;2080.61;2395.54;
10.66;2318.77;2147.66;2441.64;2126.42;2450.46;
10.8;2370.63;2195.12;2496.85;2172.62;2505.88;
10.94;2422.96;2242.31;2552.57;2219.2;2561.81;
11.08;2475.75;2289.87;2608.79;2266.17;2618.26;
11.22;2529.0;2337.67;2665.52;2313.52;2675.2;
11.36;2582.71;2385.86;2722.75;2361.25;2732.66;
11.5;2636.87;2434.43;2780.47;2409.36;2790.61;
11.64;2691.49;2483.42;2838.7;2457.84;2849.06;
11.78;2746.57;2533.49;2897.42;2506.7;2908.02;
11.92;2802.1;2583.4;2956.64;2555.93;2967.47;
12.06;2858.08;2634.22;3016.35;2605.53;3027.41;
12.2;2914.5;2685.42;3076.55;2655.51;3087.85;
12.34;2971.38;2737.02;3137.24;2705.85;3148.78;
12.48;3028.7;2789.02;3198.42;2756.56;3210.2;
12.62;3086.46;2841.4;3260.08;2807.63;3272.11;
12.76;3144.67;2894.16;3322.22;2859.07;3334.51;
12.9;3203.32;2947.32;3384.85;2910.87;3397.39;
13.04;3262.4;3000.48;3447.96;2963.03;3460.75;
13.18;3321.93;3053.02;3511.55;3016.11;3524.6;
13.32;3381.89;3105.9;3575.62;3069.86;3588.92;
13.46;3442.28;3159.46;3640.16;3123.98;3653.87;
13.6;3503.11;3214.19;3705.18;3178.48;3719.5;
13.74;3564.37;3269.3;3770.68;3233.36;3785.61;
13.88;3626.06;3324.29;3836.64;3288.61;3852.2;
14.02;3688.18;3379.2;3903.07;3343.08;3918.15;
14.16;3750.73;3434.46;3969.98;3399.13;3984.88;
14.3;3813.71;3490.05;4037.35;3454.15;4052.53;
14.44;3877.11;3545.98;4105.18;3509.48;4120.65;
14.58;3940.93;3602.26;4172.77;3565.15;4189.23;
14.72;4005.17;3658.87;4240.81;3621.16;4258.28;
14.86;4069.84;3715.82;4309.3;3677.5;4327.79;
15.0;4134.93;3773.62;4378.22;3734.17;4397.77;
