H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-2.23705;1.85319;
0.04;0.0;0.0;0.0;-2.23705;1.85319;
0.08;0.0;0.0;0.0;-2.23705;1.85319;
0.12;0.0;0.0;0.100769;-2.23705;1.85319;
0.16;0.11719;0.0;0.433981;-2.21587;1.87695;
0.2;0.493069;0.0512512;0.936229;-1.95591;2.26143;
0.24;1.05787;0.421684;1.58022;-1.51641;2.88056;
0.28;1.78492;1.02122;2.35939;-0.816332;3.6691;
0.32;2.65858;1.81931;3.27489;0.0248966;4.59193;
0.36;3.66809;2.77874;4.30298;0.995683;5.65777;
0.4;4.80536;3.87051;5.44758;2.07546;6.85828;
0.44;6.06397;5.1134;6.6751;3.25376;8.19377;
0.48;7.43868;6.49241;8.03013;4.55678;9.72678;
0.52;8.92508;7.98683;9.50287;6.00784;11.3269;
0.56;10.5194;9.57856;11.0673;7.48104;13.0341;
0.6;12.2182;11.2785;12.7606;9.05348;14.9183;
0.64;14.0188;13.0718;14.5547;10.7252;16.8849;
0.68;15.9183;14.9635;16.4443;12.3984;18.8238;
0.72;17.9146;16.8964;18.48;14.1405;21.0185;
0.76;20.0054;18.8595;20.6028;16.1196;23.3381;
0.8;22.1888;20.9192;22.8108;18.0096;25.6364;
0.84;24.463;23.0535;25.1358;19.9469;28.0297;
0.88;26.8263;25.2796;27.6;22.043;30.5165;
0.92;29.2772;27.5222;30.2234;24.2523;33.0468;
0.96;31.8142;29.8584;32.8429;26.5042;35.7864;
1.0;34.436;32.2305;35.5627;28.6678;38.6538;
1.04;37.1414;34.6686;38.406;30.9291;41.5137;
1.08;39.9292;37.1993;41.391;33.364;44.5733;
1.12;42.7981;39.7663;44.4444;35.87;47.7361;
1.16;45.7473;42.443;47.6241;38.4461;50.9879;
1.2;48.7756;45.1814;50.8445;40.9753;54.2526;
1.24;51.8821;47.9302;54.1612;43.502;57.6525;
1.28;55.0659;50.757;57.6429;46.0887;61.1128;
1.32;58.3262;53.6389;61.1913;48.7349;64.695;
1.36;61.6621;56.5853;64.7424;51.4397;68.3358;
1.4;65.0728;59.6808;68.5517;54.3287;72.0549;
1.44;68.5575;62.9478;72.3317;57.1066;76.0917;
1.48;72.1156;66.1266;76.4488;59.93;80.0386;
1.52;75.7463;69.6142;80.7362;63.2229;84.6949;
1.56;79.449;72.902;85.5701;66.4915;89.7894;
1.6;83.223;76.6379;90.5322;70.8852;95.3424;
1.64;87.4854;80.7561;95.7806;74.5436;100.835;
1.68;92.9165;84.3835;101.271;78.4942;106.121;
1.72;98.4623;88.5406;106.802;82.686;112.427;
1.76;104.121;92.9768;112.429;86.7069;118.702;
1.8;109.89;97.4004;118.01;91.797;124.819;
1.84;115.769;103.476;123.689;97.3245;132.141;
1.88;121.756;109.009;130.21;103.051;138.971;
1.92;127.848;115.062;136.667;109.244;145.926;
1.96;134.045;121.284;143.334;114.918;153.005;
2.0;140.345;127.511;149.878;120.777;160.047;
2.04;146.746;133.264;156.474;126.063;167.531;
2.08;153.248;139.155;163.262;131.86;174.974;
2.12;159.85;145.585;170.219;137.748;182.536;
2.16;166.549;152.333;177.509;143.728;189.569;
2.2;173.344;159.187;185.198;149.859;196.676;
2.24;180.236;165.561;193.171;155.958;203.875;
2.28;187.221;171.787;201.009;162.205;211.164;
2.32;194.301;177.91;208.687;168.541;219.946;
2.36;201.472;184.257;216.941;174.962;228.792;
2.4;208.736;190.935;225.096;181.058;236.782;
2.44;216.089;197.471;233.962;186.983;244.93;
2.48;223.533;204.083;242.436;192.974;254.056;
2.52;231.065;210.77;250.982;199.03;263.303;
2.56;238.685;217.852;260.079;206.199;272.668;
2.6;246.392;225.272;268.627;213.572;282.064;
2.64;254.186;232.781;277.553;221.037;291.71;
2.68;262.064;240.053;286.685;227.805;301.464;
2.72;270.028;247.297;296.229;234.609;311.293;
2.76;278.076;254.225;305.885;241.485;321.234;
2.8;286.206;261.353;315.65;248.432;331.288;
2.84;294.42;268.309;325.072;255.45;341.453;
2.88;302.715;275.4;334.323;262.537;351.728;
2.92;311.091;282.586;343.663;269.694;362.113;
2.96;319.549;289.836;354.568;276.919;372.606;
3.0;328.085;297.148;364.745;284.183;383.207;
3.04;336.702;304.523;374.519;291.275;393.915;
3.08;345.397;311.959;384.969;298.429;404.179;
3.12;354.17;319.598;395.662;305.644;414.413;
3.16;363.021;327.394;406.466;312.92;424.741;
3.2;371.949;335.255;417.38;320.257;435.162;
3.24;380.953;343.181;428.403;327.653;445.676;
3.28;390.033;351.15;439.535;335.11;456.281;
3.32;399.189;358.905;450.776;342.712;467.342;
3.36;408.419;366.847;462.123;351.141;478.86;
3.4;417.724;374.671;473.259;358.869;490.475;
3.44;427.103;382.555;484.49;366.659;502.188;
3.48;436.555;390.498;495.81;374.51;513.996;
3.52;446.08;398.5;507.225;382.424;525.901;
3.56;455.678;406.562;518.733;390.399;537.9;
3.6;465.348;414.712;530.334;398.435;549.994;
3.64;475.089;423.206;542.026;406.532;562.181;
3.68;484.902;431.763;553.811;414.689;574.373;
3.72;494.785;440.384;565.765;422.907;586.191;
3.76;504.739;449.068;578.448;431.184;598.094;
3.8;514.763;457.814;591.237;439.521;610.082;
3.84;524.856;466.622;604.131;447.917;622.185;
3.88;535.018;475.492;617.129;456.373;634.312;
3.92;545.249;484.203;629.959;464.887;646.553;
3.96;555.549;492.836;642.186;473.459;658.877;
4.0;565.916;501.787;654.495;482.09;671.284;
