H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
2.0;0.0;0.0;0.0;-0.30653;0.327254;
2.045;0.0;0.0;0.0;-0.30653;0.327254;
2.09;0.0;0.0;0.0;-0.30653;0.327254;
2.135;0.0;0.0;0.0;-0.30653;0.327254;
2.18;0.0;0.0;0.0;-0.30653;0.327254;
2.225;0.0;0.0;0.0;-0.30653;0.327254;
2.27;0.0;0.0;0.0;-0.30653;0.327254;
2.315;0.0;0.0;0.0;-0.30653;0.327254;
2.36;0.00783579;0.0;0.0705943;-0.304949;0.327254;
2.405;0.207431;0.0706028;0.338214;-0.208975;0.529902;
2.45;0.58488;0.390548;0.743942;0.0662932;1.00362;
2.495;1.10372;0.862734;1.27582;0.405165;1.65091;
2.54;1.74683;1.49428;1.95158;0.81657;2.45607;
2.585;2.5033;2.19696;2.73214;1.2615;3.42854;
2.63;3.36532;3.04257;3.57933;1.90551;4.51013;
2.675;4.32689;3.96632;4.5821;2.49698;5.85187;
2.72;5.38319;4.97773;5.68477;3.18809;7.23927;
2.765;6.53023;6.07021;6.88089;3.9001;8.75787;
2.81;7.76462;7.23572;8.18285;4.66825;10.4459;
2.855;9.08344;8.49735;9.62288;5.51435;12.2548;
2.9;10.4841;9.79194;11.1143;6.37701;14.1812;
2.945;11.9644;11.1565;12.7064;7.32755;16.2221;
2.99;13.5222;12.5992;14.4151;8.30997;18.3063;
3.035;15.1557;14.1032;16.1885;9.36345;20.4908;
3.08;16.8632;15.6824;18.0519;10.4657;22.7757;
3.125;18.6432;17.3226;19.9817;11.6158;25.223;
3.17;20.4942;19.0342;22.0127;12.8128;27.7924;
3.215;22.4151;20.784;24.0951;14.0559;30.4624;
3.26;24.4044;22.6471;26.2509;15.3296;33.1491;
3.305;26.4612;24.552;28.4969;16.6388;35.923;
3.35;28.5843;26.4867;30.8038;17.9916;38.7828;
3.395;30.7727;28.5396;33.2253;19.3979;41.729;
3.44;33.0255;30.611;35.7;20.8195;44.7605;
3.485;35.3419;32.7242;38.247;22.2954;47.8758;
3.53;37.7209;34.8816;40.8741;23.8116;51.074;
3.575;40.1618;37.0924;43.6267;25.3676;54.3538;
3.62;42.6638;39.375;46.378;26.9629;57.7143;
3.665;45.2263;41.7283;49.1418;28.5969;61.1672;
3.71;47.8484;44.1367;52.0382;30.2693;64.7496;
3.755;50.5296;46.5651;55.0022;31.9796;68.4138;
3.8;53.2692;49.0369;58.0332;33.7275;72.1589;
3.845;56.0666;51.6045;61.1305;35.5125;75.9841;
3.89;58.9213;54.2251;64.2934;37.3343;79.8885;
3.935;61.8326;56.8982;67.5215;39.1924;83.8713;
3.98;64.8001;59.5357;70.8141;41.0867;87.9318;
4.025;67.8232;62.2118;74.1482;43.0167;92.0693;
4.07;70.9015;64.9625;77.5329;44.9821;96.2831;
4.115;74.0344;67.8581;80.9772;46.993;100.572;
4.16;77.2216;70.7698;84.4807;49.057;104.937;
4.205;80.4625;73.6812;88.0428;51.157;109.376;
4.25;83.7567;76.6383;91.663;53.2928;113.888;
4.295;87.1038;79.6407;95.4139;55.4633;118.474;
4.34;90.5034;82.688;99.2237;57.6309;123.132;
4.385;93.9551;85.7798;103.103;59.831;127.862;
4.43;97.4585;88.8578;107.036;62.0632;132.664;
4.475;101.013;91.9767;110.975;64.3273;137.537;
4.52;104.619;95.1363;115.032;66.6231;142.48;
4.565;108.276;98.3364;119.214;68.9503;147.494;
4.61;111.982;101.579;123.407;71.3087;152.576;
4.655;115.739;104.96;127.61;73.6981;157.728;
4.7;119.545;108.384;131.871;76.1182;162.949;
4.745;123.401;111.852;136.189;78.5689;168.238;
4.79;127.306;115.364;140.564;81.05;173.594;
4.835;131.259;118.919;144.995;83.5612;179.018;
4.88;135.261;122.516;149.459;86.1081;184.509;
4.925;139.311;126.156;154.022;88.6977;190.066;
4.97;143.409;129.839;158.626;91.318;195.69;
5.015;147.554;133.561;163.28;93.9688;201.379;
5.06;151.747;137.283;167.99;96.6501;207.134;
5.105;155.987;141.045;172.754;99.3616;212.989;
5.15;160.273;144.847;177.572;102.103;218.934;
5.195;164.607;148.689;182.445;104.875;224.947;
5.24;168.986;152.569;187.372;107.676;231.026;
5.285;173.412;156.488;192.352;110.507;237.171;
5.33;177.884;160.477;197.386;113.367;243.382;
5.375;182.401;164.51;202.473;116.257;249.659;
5.42;186.963;168.583;207.613;119.175;256.001;
