H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
2.0;0.0;0.0;0.0;-5.66487;5.50844;
2.08;0.0;0.0;0.0;-5.66487;5.50844;
2.16;0.0246344;0.0;0.611453;-5.66487;5.81286;
2.24;1.12594;0.378336;2.24995;-4.71415;7.25473;
2.32;3.27401;2.12344;4.69084;-2.35051;9.40505;
2.4;6.23999;4.84327;7.8288;0.795501;12.5256;
2.48;9.92038;8.3567;11.5912;4.47111;16.5005;
2.56;14.2501;12.563;15.983;8.65352;21.0895;
2.64;19.183;17.4459;20.933;13.4178;26.0089;
2.72;24.6834;22.882;26.4136;18.7768;31.5183;
2.8;30.7232;28.8918;32.4368;24.5552;37.6904;
2.88;37.2788;35.466;38.8954;30.8342;44.4473;
2.96;44.3304;42.5946;45.9016;37.5554;51.7719;
3.04;51.8609;50.1479;53.3558;44.7032;59.6874;
3.12;59.8554;58.181;61.3124;52.3077;68.0258;
3.2;68.3005;66.5877;69.7197;60.6745;76.4734;
3.28;77.1845;75.4152;78.6528;69.2509;85.6728;
3.36;86.4964;84.6008;87.9437;77.8682;95.5611;
3.44;96.2267;94.2283;97.7057;87.1818;105.319;
3.52;106.366;103.969;107.884;97.156;115.477;
3.6;116.907;114.318;118.44;107.393;126.351;
3.68;127.841;124.979;129.558;117.629;137.517;
3.76;139.162;136.077;141.113;128.456;148.932;
3.84;150.863;147.515;153.142;139.382;161.209;
3.92;162.938;159.144;165.543;150.983;173.763;
4.0;175.38;171.212;178.487;163.07;186.959;
4.08;188.185;183.559;191.683;175.132;200.577;
4.16;201.348;196.117;205.21;187.376;214.575;
4.24;214.863;209.09;219.175;199.933;228.769;
4.32;228.726;222.363;233.499;212.827;243.5;
4.4;242.933;236.035;248.177;226.403;258.621;
4.48;257.479;249.964;262.968;240.061;274.178;
4.56;272.361;264.171;278.272;253.857;290.046;
4.64;287.575;278.754;294.097;267.962;306.09;
4.72;303.116;293.647;310.271;282.374;322.354;
4.8;318.982;308.849;326.788;297.089;339.362;
4.88;335.17;324.215;343.647;312.144;356.601;
4.96;351.675;339.88;360.771;328.076;374.017;
5.04;368.495;355.925;378.265;344.309;391.778;
5.12;385.628;372.072;396.011;360.667;409.881;
5.2;403.069;388.593;414.079;376.831;428.327;
5.28;420.817;405.622;432.467;393.28;447.447;
5.36;438.869;422.749;451.171;410.012;466.73;
5.44;457.222;440.04;470.19;427.023;486.18;
5.52;475.874;457.6;489.586;444.312;505.941;
5.6;494.822;475.448;509.323;462.084;526.012;
5.68;514.064;493.701;529.36;480.185;546.389;
5.76;533.598;512.228;549.725;498.475;567.07;
5.84;553.421;531.026;570.385;516.668;588.053;
5.92;573.531;550.094;591.418;535.114;609.335;
6.0;593.927;569.43;612.85;554.272;630.914;
6.08;614.607;589.033;634.596;573.742;652.787;
6.16;635.567;608.899;656.653;593.483;675.236;
6.24;656.808;629.104;679.0;613.469;698.201;
6.32;678.325;649.492;701.692;633.329;721.479;
6.4;700.119;670.068;724.671;653.436;745.069;
6.48;722.186;690.975;747.912;674.083;768.969;
6.56;744.526;712.137;771.295;695.049;792.664;
6.64;767.137;733.555;794.964;716.276;816.57;
6.72;790.017;755.225;818.919;737.762;840.758;
6.8;813.164;777.147;843.157;759.505;865.454;
6.88;836.577;799.318;867.677;781.504;890.882;
6.96;860.254;821.739;892.477;803.757;916.613;
7.04;884.195;844.406;917.802;826.263;942.647;
7.12;908.396;867.32;943.241;849.022;968.83;
7.2;932.858;890.478;968.878;872.03;994.874;
7.28;957.578;913.88;994.891;895.289;1021.2;
7.36;982.556;937.523;1021.44;918.286;1047.8;
7.44;1007.79;961.187;1047.91;940.917;1074.68;
7.52;1033.28;984.993;1074.52;963.752;1101.49;
7.6;1059.02;1009.02;1101.39;987.864;1128.49;
7.68;1085.01;1033.27;1128.76;1012.51;1155.74;
