H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
1.0;3.86827;2.2594;4.45759;0.434569;6.90561;
1.03;4.73434;3.10005;5.36515;0.880414;8.07344;
1.06;5.66971;4.05823;6.31818;1.54646;9.45047;
1.09;6.67201;5.08318;7.3938;2.17514;10.9379;
1.12;7.73919;6.19571;8.50692;2.94836;12.3853;
1.15;8.8694;7.38304;9.67414;3.6256;14.1;
1.18;10.061;8.60083;10.9311;4.34587;16.0276;
1.21;11.3126;9.86768;12.2261;5.10488;17.8401;
1.24;12.6228;11.1793;13.6879;5.87547;19.7303;
1.27;13.9903;12.5394;15.1394;6.77738;21.7742;
1.3;15.4141;13.923;16.8435;7.67096;23.9617;
1.33;16.8931;15.2437;18.554;8.54758;26.167;
1.36;18.4263;16.6929;20.3581;9.35208;28.5943;
1.39;20.0129;18.063;22.2334;10.1827;31.1086;
1.42;21.6521;19.7055;24.1768;11.2974;33.7085;
1.45;23.3429;21.4188;26.4282;12.3578;36.3835;
1.48;25.0847;23.3021;28.5554;13.4195;39.1597;
1.51;27.8331;25.1834;31.1396;14.7348;43.5584;
1.54;31.0725;27.0117;34.0202;16.2157;46.9363;
1.57;34.4524;28.8838;37.7609;17.5697;50.1929;
1.6;37.97;30.7289;41.5466;19.0484;54.6778;
1.63;41.6226;32.6021;45.4178;20.5673;59.6813;
1.66;45.4076;34.5587;49.8816;22.3599;64.0383;
1.69;49.3228;36.5609;54.1234;24.1713;69.0858;
1.72;53.366;38.5584;58.6523;25.9729;74.3607;
1.75;57.5351;40.7003;63.1607;27.7145;79.7918;
1.78;61.8282;43.21;68.1259;29.3501;85.3771;
1.81;66.2436;45.7637;73.0606;31.0215;91.1213;
1.84;70.7796;48.6956;78.2498;32.6808;97.239;
1.87;75.4345;51.0988;83.5798;34.4705;103.523;
1.9;80.2068;53.6325;89.3732;36.2474;109.971;
1.93;85.095;56.2715;95.2426;38.0589;117.106;
1.96;90.0979;59.325;101.186;40.2733;123.888;
1.99;95.2139;61.8812;107.379;42.9111;130.765;
2.02;100.442;64.4819;113.404;45.1964;138.209;
2.05;105.781;67.3546;119.559;47.1594;145.975;
2.08;111.229;70.052;125.908;49.1555;153.794;
2.11;116.786;73.6824;132.335;51.8549;162.429;
2.14;122.451;77.4345;138.881;55.3336;170.919;
2.17;128.222;80.3819;145.598;58.9353;179.582;
2.2;134.098;84.7887;152.699;61.5036;188.416;
2.23;140.079;89.3663;159.934;64.8608;197.42;
2.26;146.163;93.3237;167.308;67.8855;206.592;
2.29;152.35;97.942;174.813;70.6439;215.93;
2.32;158.639;102.582;182.451;73.4266;225.434;
2.35;165.028;106.321;190.219;76.29;235.102;
2.38;171.518;110.351;198.118;79.2802;244.932;
2.41;178.108;114.934;206.146;83.191;255.225;
2.44;184.796;118.946;214.302;87.1731;265.829;
2.47;191.581;124.661;222.484;91.2508;276.766;
2.5;198.464;129.891;230.481;94.5964;287.557;
2.53;205.444;135.162;238.545;98.1294;298.677;
2.56;212.519;140.396;246.719;101.754;309.966;
2.59;219.689;145.735;255.003;105.61;321.424;
2.62;226.954;151.484;263.396;109.524;333.213;
2.65;234.313;157.566;271.942;113.495;344.839;
2.68;241.765;164.503;280.974;117.522;356.794;
2.71;249.31;170.774;290.432;121.421;368.753;
2.74;256.947;177.141;300.129;125.014;380.455;
2.77;264.676;183.185;309.708;128.65;392.304;
2.8;272.495;188.617;319.048;133.136;404.301;
2.83;280.405;193.952;328.498;137.685;416.444;
2.86;288.405;199.81;338.057;142.296;428.733;
2.89;296.495;205.209;347.725;146.741;441.167;
2.92;304.673;210.663;357.511;150.713;453.744;
2.95;312.94;216.173;367.897;154.728;466.464;
2.98;321.294;221.738;378.81;158.786;479.327;
3.01;329.737;227.358;389.852;162.887;492.332;
3.04;338.266;233.032;401.021;167.03;505.477;
3.07;346.882;238.76;412.318;171.216;518.763;
3.1;355.584;244.948;423.741;175.444;532.188;
3.13;364.372;250.938;435.291;179.713;545.753;
3.16;373.245;256.958;446.336;184.025;559.455;
3.19;382.202;263.394;457.441;188.553;573.295;
3.22;391.245;269.895;468.656;193.216;587.272;
3.25;400.371;276.107;479.98;197.925;601.385;
3.28;409.581;282.142;491.413;202.681;615.634;
3.31;418.875;288.228;502.925;207.483;630.018;
3.34;428.251;294.365;514.356;212.33;644.537;
3.37;437.71;300.555;526.36;217.223;659.189;
3.4;447.251;306.795;538.223;222.024;673.975;
3.43;456.874;313.086;550.193;226.728;688.894;
3.46;466.578;319.427;562.268;231.47;703.945;
3.49;476.364;325.819;574.449;236.251;719.128;
3.52;486.23;332.262;586.735;241.071;734.441;
3.55;496.177;338.754;599.126;245.928;749.886;
3.58;506.204;345.296;611.621;250.824;765.461;
3.61;516.31;351.888;624.22;255.757;781.165;
3.64;526.497;358.529;638.116;260.728;796.998;
3.67;536.762;365.314;652.639;265.736;812.96;
3.7;547.106;372.173;666.59;270.782;829.051;
3.73;557.529;379.083;679.404;275.865;845.269;
3.76;568.029;386.045;692.314;281.272;861.614;
3.79;578.608;393.059;705.321;286.795;878.474;
3.82;589.265;400.124;718.425;292.361;895.745;
3.85;599.999;407.239;731.624;297.972;913.479;
3.88;610.81;414.406;744.919;303.625;931.354;
3.91;621.697;421.624;758.309;309.321;949.372;
3.94;632.662;428.892;771.975;315.061;967.531;
3.97;643.702;436.211;787.531;320.843;985.095;
4.0;654.819;443.58;803.216;326.129;1002.24;
