H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
1.0;0.0;0.0;0.0;-4.99123;6.3429;
1.07;0.0;0.0;0.0;-4.99123;6.3429;
1.14;0.0;0.0;0.0;-4.99123;6.3429;
1.21;0.0;0.0;0.0;-4.99123;6.3429;
1.28;0.0;0.0;0.0;-4.99123;6.3429;
1.35;0.0;0.0;0.0;-4.99123;6.3429;
1.42;0.0;0.0;0.0;-4.99123;6.3429;
1.49;0.0235961;0.0;0.49212;-4.91838;6.39747;
1.56;1.19926;0.420084;2.19473;-3.87887;7.50271;
1.63;3.51293;2.33049;4.91347;-1.76266;9.69018;
1.7;6.71678;5.21084;8.32558;1.46416;13.032;
1.77;10.699;8.92471;12.3806;5.38436;17.3577;
1.84;15.3893;13.4408;17.1292;9.7157;22.2593;
1.91;20.7376;18.7231;22.6078;14.8664;27.8722;
1.98;26.7057;24.6556;28.8033;20.832;34.161;
2.05;33.2629;31.2691;35.5224;27.4891;41.0288;
2.12;40.3838;38.5578;42.653;34.5194;48.5077;
2.19;48.047;46.2506;50.5143;42.1473;56.5287;
2.26;56.234;54.3609;58.9428;50.3619;65.0784;
2.33;64.9285;62.9724;67.9649;58.7514;74.2807;
2.4;74.1161;72.1165;77.4377;67.524;84.0221;
2.47;83.7841;81.6265;87.4103;77.1257;94.2754;
2.54;93.9207;91.4446;98.1152;86.7845;105.029;
2.61;104.515;101.812;109.255;97.1367;116.272;
2.68;115.559;112.532;121.123;107.715;128.268;
2.75;127.041;123.878;133.263;118.779;140.438;
2.82;138.955;135.699;146.138;130.138;153.742;
2.89;151.293;148.55;160.217;142.472;168.086;
2.96;166.997;162.195;176.438;156.894;184.148;
3.03;185.317;176.954;194.472;171.592;202.101;
3.1;204.445;192.245;213.642;187.131;221.346;
3.17;224.371;208.837;233.721;203.78;242.172;
3.24;245.084;226.486;254.313;222.142;264.034;
3.31;266.573;245.914;276.569;242.285;287.178;
3.38;288.83;266.531;299.404;262.91;311.259;
3.45;311.845;289.592;322.484;285.113;336.288;
3.52;335.61;312.878;346.97;307.942;362.191;
3.59;360.117;336.935;372.436;331.141;387.664;
3.66;385.358;361.757;399.053;355.477;413.859;
3.73;411.327;387.58;426.421;380.565;440.766;
3.8;438.016;414.085;454.497;406.769;468.378;
3.87;465.419;441.704;482.923;433.738;497.087;
3.94;493.529;469.923;512.314;460.731;527.774;
4.01;522.341;498.005;542.329;488.321;559.234;
4.08;551.85;527.096;573.322;517.083;591.459;
4.15;582.048;556.334;605.353;546.21;624.863;
4.22;612.931;585.671;638.123;574.983;658.413;
4.29;644.495;616.351;671.142;604.382;694.749;
4.36;676.733;646.992;705.116;634.651;731.911;
4.43;709.641;677.489;740.275;665.318;769.893;
4.5;743.215;708.951;777.481;696.595;808.687;
4.57;777.45;740.747;814.99;728.395;848.288;
4.64;812.342;773.489;852.606;760.392;886.459;
4.71;847.887;806.856;890.911;793.655;924.756;
4.78;884.08;840.649;929.947;827.446;962.71;
4.85;920.917;875.014;969.517;861.375;1001.32;
4.92;958.396;909.948;1009.69;895.262;1040.57;
4.99;996.512;945.446;1050.57;929.693;1080.53;
5.06;1035.26;981.778;1092.16;966.63;1124.41;
5.13;1074.64;1018.38;1134.44;1004.39;1168.63;
5.2;1114.65;1055.56;1177.42;1041.55;1211.57;
5.27;1155.28;1093.31;1221.32;1079.28;1255.16;
5.34;1196.53;1131.62;1266.16;1117.57;1299.39;
5.41;1238.39;1170.51;1311.71;1156.44;1344.26;
5.48;1280.87;1209.95;1357.79;1195.86;1389.76;
5.55;1323.96;1249.96;1404.23;1235.85;1437.19;
5.62;1367.66;1290.53;1451.4;1275.58;1486.33;
5.69;1411.97;1331.65;1499.25;1315.41;1533.8;
5.76;1456.87;1373.33;1547.77;1355.76;1584.09;
5.83;1502.38;1415.56;1596.96;1396.62;1636.26;
