H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
1.0;0.0;0.0;0.0;-0.526443;0.595775;
1.03;0.0;0.0;0.0;-0.526443;0.595775;
1.06;0.0;0.0;0.0;-0.526443;0.595775;
1.09;0.0;0.0;0.0;-0.526443;0.595775;
1.12;0.0;0.0;0.0;-0.526443;0.595775;
1.15;0.0;0.0;0.0;-0.526443;0.595775;
1.18;0.0;0.0;0.0;-0.526443;0.595775;
1.21;0.0;0.0;0.0;-0.526443;0.595775;
1.24;0.0;0.0;0.0;-0.526443;0.595775;
1.27;0.0;0.0;0.0;-0.526443;0.595775;
1.3;0.0;0.0;0.0;-0.526443;0.595775;
1.33;0.0;0.0;0.0;-0.526443;0.595775;
1.36;0.0;0.0;0.0;-0.526443;0.595775;
1.39;0.0;0.0;0.0;-0.526443;0.595775;
1.42;0.0;0.0;0.0;-0.526443;0.595775;
1.45;0.0;0.0;0.0;-0.526443;0.595775;
1.48;0.0;0.0;0.0;-0.526443;0.595775;
1.51;0.0;0.0;0.0;-0.526443;0.595775;
1.54;0.0;0.0;0.0;-0.526443;0.595775;
1.57;0.0;0.0;0.0;-0.526443;0.595775;
1.6;0.0;0.0;0.0;-0.526443;0.595775;
1.63;0.0;0.0;0.0;-0.526443;0.595775;
1.66;0.0;0.0;0.0;-0.526443;0.595775;
1.69;0.0;0.0;0.0;-0.526443;0.595775;
1.72;0.0;0.0;0.0;-0.526443;0.595775;
1.75;0.0;0.0;0.0;-0.526443;0.595775;
1.78;0.0;0.0;0.0115965;-0.526443;0.595775;
1.81;0.034105;0.0;0.109074;-0.516552;0.651261;
1.84;0.16742;0.0538305;0.280856;-0.438335;0.790875;
1.87;0.375888;0.218815;0.513704;-0.253196;0.979159;
1.9;0.649208;0.458949;0.805996;-0.0164603;1.29482;
1.93;0.981425;0.764024;1.1471;0.272212;1.64981;
1.96;1.36844;1.13513;1.55024;0.646428;2.05252;
1.99;1.80719;1.56218;1.9952;1.06616;2.52004;
2.02;2.29523;2.03349;2.48659;1.53533;3.01953;
2.05;2.83056;2.56175;3.02811;2.04512;3.55078;
2.08;3.41152;3.13472;3.61065;2.60129;4.15375;
2.11;4.03665;3.7521;4.24073;3.18646;4.82693;
2.14;4.70468;4.42753;4.91904;3.82359;5.55769;
2.17;5.4145;5.12144;5.64384;4.51267;6.29269;
2.2;6.16511;5.86776;6.41062;5.21427;7.12718;
2.23;6.9556;6.63775;7.23708;5.94516;7.96349;
2.26;7.78516;7.42666;8.10228;6.70639;8.83682;
2.29;8.65304;8.22412;9.01598;7.50382;9.76462;
2.32;9.55853;9.07301;9.96534;8.30157;10.7341;
2.35;10.501;10.1016;10.9461;9.15134;11.8278;
2.38;11.4799;11.1086;12.1195;10.183;12.9512;
2.41;12.5199;12.1849;13.6584;11.2338;14.5983;
2.44;14.2218;13.4265;15.3759;12.5695;16.3331;
2.47;16.0229;14.7546;17.2555;13.8739;18.2953;
2.5;17.9221;16.4355;19.2147;15.6017;20.3622;
2.53;19.9185;18.4003;21.2454;17.4284;22.5332;
2.56;22.0114;20.5329;23.4041;19.4019;24.7426;
2.59;24.2;22.793;25.6459;21.472;27.1616;
2.62;26.4834;25.0109;27.9776;23.6372;29.662;
2.65;28.8611;27.4095;30.4086;25.8968;32.2413;
2.68;31.3324;29.7486;32.9769;28.2505;34.8059;
2.71;33.8966;32.2111;35.6376;30.6336;37.5392;
2.74;36.5532;34.8407;38.514;33.0667;40.5789;
2.77;39.3015;37.5882;41.3693;35.7525;43.4506;
2.8;42.1412;40.3222;44.3122;38.262;46.4548;
2.83;45.0715;43.1067;47.3614;40.8742;49.7519;
2.86;48.0921;45.9986;50.6108;43.7344;53.0744;
2.89;51.2025;48.9449;53.9402;46.4995;56.5402;
2.92;54.4022;51.9234;57.3369;49.3949;60.1845;
2.95;57.6907;54.9645;60.9105;52.4203;63.9609;
2.98;61.0677;58.0858;64.6006;55.5566;67.793;
3.01;64.5328;61.2871;68.392;58.7403;71.6461;
3.04;68.0855;64.5811;72.239;62.0437;75.6129;
3.07;71.7254;68.035;76.2774;65.3716;79.8374;
3.1;75.4523;71.557;80.3706;68.7799;84.0631;
3.13;79.2657;75.0721;84.6307;72.2883;88.382;
3.16;83.1653;78.6653;88.9521;75.8348;92.8006;
3.19;87.1508;82.3365;93.2693;79.4393;97.3186;
3.22;91.2217;86.1033;97.7393;83.0798;101.971;
