H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
2.0;0.442832;0.0;0.75186;-1.19759;1.70112;
2.03;0.704162;0.0415893;1.00496;-1.0062;1.91175;
2.06;1.01202;0.229361;1.31939;-0.738464;2.22996;
2.09;1.36319;0.543225;1.63551;-0.399073;2.56046;
2.12;1.75518;0.929711;1.9931;-0.0167908;3.08615;
2.15;2.18602;1.40613;2.41485;0.432262;3.6991;
2.18;2.65406;1.95968;2.93437;0.948654;4.30978;
2.21;3.15791;2.55944;3.48887;1.5151;5.00396;
2.24;3.69636;3.24018;4.19972;2.12264;5.56834;
2.27;4.26836;3.85044;4.93953;2.76279;6.35304;
2.3;4.87297;4.59267;5.75849;3.43049;7.17408;
2.33;5.66159;5.46106;6.6252;4.17443;8.13894;
2.36;6.6357;6.36023;7.54125;4.99193;9.20897;
2.39;7.67106;7.36479;8.50493;5.86149;10.3129;
2.42;8.76597;8.40699;9.54876;6.71244;11.487;
2.45;9.9189;9.51051;10.6511;7.62698;12.7284;
2.48;11.1285;10.6512;11.8326;8.68443;14.027;
2.51;12.3934;11.7543;13.0499;9.6255;15.3816;
2.54;13.7125;12.9618;14.3811;10.577;16.7909;
2.57;15.0848;14.1716;15.7349;11.6509;18.254;
2.6;16.5093;15.3912;17.2024;12.7931;19.8666;
2.63;17.985;16.6846;18.7437;13.8769;21.5282;
2.66;19.5112;17.9286;20.3312;14.982;23.1709;
2.69;21.0869;19.2701;21.9804;16.1154;24.9408;
2.72;22.7115;20.6886;23.6524;17.2789;26.7092;
2.75;24.3843;22.0861;25.4871;18.51;28.5924;
2.78;26.1046;23.4953;27.2833;19.8377;30.5267;
2.81;27.8717;24.9375;29.1187;21.2008;32.5113;
2.84;29.6852;26.4381;31.0478;22.4847;34.556;
2.87;31.5443;27.9828;33.0543;23.7763;36.6046;
2.9;33.4486;29.5626;35.1316;25.0971;38.6573;
2.93;35.3976;31.1769;37.2324;26.4467;40.8134;
2.96;37.3907;32.8255;39.3829;27.8952;43.0655;
2.99;39.4275;34.4856;41.5827;29.3963;45.3733;
3.02;41.5075;36.1514;43.8312;30.9281;47.7344;
3.05;43.6304;37.882;46.1281;32.4901;50.113;
3.08;45.7957;39.6631;48.4727;34.0822;52.5364;
3.11;48.0029;41.4774;50.8648;35.704;54.992;
3.14;50.2518;43.28;53.2682;37.3553;57.5062;
3.17;52.5419;45.1065;55.7441;39.0358;60.1719;
3.2;54.8728;46.963;58.2644;40.7453;62.7315;
3.23;57.2444;48.8494;60.8286;42.4835;65.3323;
3.26;59.6561;50.7654;63.4211;44.2502;67.9767;
3.29;62.1077;52.7107;66.0454;46.0452;70.6646;
3.32;64.5989;54.7163;68.7666;47.8683;73.4022;
3.35;67.1293;56.8098;71.5504;49.7193;76.2021;
3.38;69.6987;58.936;74.4008;51.5979;79.0434;
3.41;72.3068;61.0351;77.2889;53.504;81.9258;
3.44;74.9533;63.1506;80.2004;55.4374;84.8491;
3.47;77.638;65.5081;83.1333;57.3978;87.8128;
