H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-2.80288;2.7474;
0.025;0.0;0.0;0.0;-2.80288;2.7474;
0.05;0.0;0.0;0.0;-2.80288;2.7474;
0.075;0.0;0.0;8.87586E-6;-2.80288;2.7474;
0.1;0.0;0.0;0.0209489;-2.80288;2.75392;
0.125;0.0;0.0;0.0663709;-2.80288;2.75392;
0.15;0.0;0.0;0.137638;-2.80288;2.82521;
0.175;0.018641;0.0;0.229254;-2.80288;2.84423;
0.2;0.0746208;0.0;0.334016;-2.80288;2.9354;
0.225;0.158073;0.0;0.439638;-2.78688;3.03111;
0.25;0.265249;0.0;0.584663;-2.74753;3.17137;
0.275;0.393926;0.0358415;0.732893;-2.69077;3.34676;
0.3;0.54256;0.119441;0.895718;-2.61888;3.52373;
0.325;0.70999;0.236358;1.06908;-2.53324;3.71728;
0.35;0.895293;0.387038;1.25727;-2.43386;3.92876;
0.375;1.09771;0.556855;1.46764;-2.3003;4.15246;
0.4;1.31661;0.765552;1.68157;-2.15735;4.39853;
0.425;1.55143;0.978366;1.90651;-2.00525;4.65625;
0.45;1.8017;1.20723;2.14764;-1.84421;4.96223;
0.475;2.067;1.45903;2.38951;-1.67443;5.29903;
0.5;2.34694;1.75434;2.68228;-1.49606;5.65085;
0.525;2.64118;2.0247;2.99855;-1.30927;6.02109;
0.55;2.94942;2.29733;3.32019;-1.11421;6.40927;
0.575;3.27136;2.57918;3.62986;-0.911014;6.81498;
0.6;3.60674;2.86179;4.02276;-0.699802;7.2051;
0.625;3.95533;3.13577;4.4189;-0.480693;7.55674;
0.65;4.3169;3.43883;4.81502;-0.253798;7.92071;
0.675;4.69123;3.77204;5.25097;-0.0192187;8.31739;
0.7;5.07814;4.13449;5.71424;0.222947;8.82168;
0.725;5.47744;4.47617;6.19827;0.51727;9.58631;
0.75;5.88895;4.81584;6.70728;0.828978;10.1164;
0.775;6.31251;5.16622;7.34856;1.20498;10.6505;
0.8;6.74797;5.55715;8.0767;1.59287;11.2539;
0.825;7.19518;5.9708;8.91723;2.01273;12.0343;
0.85;7.90367;6.60802;9.92303;2.75962;12.8547;
0.875;8.95812;7.1898;10.9865;3.23023;13.956;
0.9;10.0644;7.80267;12.0706;3.68529;15.2704;
0.925;11.2214;8.41394;13.2822;4.22821;16.6285;
0.95;12.428;9.28449;14.5597;5.09486;18.3362;
0.975;13.6831;10.0464;15.9809;6.01871;20.1118;
1.0;14.9857;11.1518;17.3148;6.88884;21.768;
1.025;16.3351;12.4476;18.8202;7.81214;23.5328;
1.05;17.7304;13.6078;20.4086;8.84588;25.3518;
1.075;19.1708;15.0128;22.0686;9.93424;27.6099;
1.1;20.6556;16.158;23.8959;11.0214;29.7577;
1.125;22.1842;17.5465;25.8782;12.1436;32.1636;
1.15;23.7559;19.2808;27.7894;13.3002;34.6496;
1.175;25.3701;21.0309;29.8076;14.5808;37.2145;
1.2;27.0263;22.7238;32.012;15.844;39.8569;
1.225;28.7238;24.6452;34.0643;17.2275;42.5789;
1.25;30.4623;26.1884;36.1682;18.5582;45.3487;
1.275;32.2412;27.8172;38.5579;19.921;48.065;
1.3;34.06;29.4909;41.0567;21.2523;50.8485;
1.325;35.9184;31.2822;43.5603;22.676;54.0416;
1.35;37.8158;33.128;46.043;24.1422;57.0272;
1.375;39.7519;34.8073;48.8652;25.6406;60.3232;
1.4;41.7263;36.8077;51.6659;27.1709;63.664;
1.425;43.7385;38.7648;54.6073;28.7326;66.9595;
1.45;45.7883;40.4378;57.3649;30.3275;70.3233;
1.475;47.8753;42.1783;60.2479;31.9341;73.7272;
1.5;49.9991;43.8695;63.2243;33.5699;77.1715;
1.525;52.1595;45.6278;66.2576;35.2872;80.6786;
1.55;54.3561;47.4917;69.4621;36.9279;84.2479;
1.575;56.5886;49.6384;72.4928;38.6496;87.879;
1.6;58.8567;51.5176;75.7443;40.2941;91.65;
1.625;61.1601;53.5519;79.0617;41.9368;95.7278;
1.65;63.4986;55.4797;82.3236;43.6037;99.615;
1.675;65.8719;57.4347;85.6504;45.2949;103.565;
1.7;68.2797;59.4166;89.3107;47.01;107.577;
1.725;70.7217;61.4251;93.0453;48.8656;111.652;
1.75;73.1979;63.4602;96.8121;50.8179;115.945;
1.775;75.7078;65.5217;100.652;52.7981;120.352;
1.8;78.2512;67.6094;104.551;54.8061;124.825;
1.825;80.828;69.723;108.609;56.8417;129.365;
1.85;83.4379;71.8626;112.548;58.9046;133.971;
1.875;86.0807;74.0278;116.597;60.9947;138.643;
1.9;88.7563;76.2186;120.727;62.9939;143.38;
1.925;91.4643;78.4348;124.914;65.01;148.182;
1.95;94.2045;80.6763;129.158;67.0501;153.048;
1.975;96.9769;83.0611;133.508;69.114;157.978;
2.0;99.7812;85.5012;137.984;71.2016;162.972;
2.025;102.617;87.97;142.519;73.3128;168.029;
2.05;105.485;90.4359;147.083;75.4474;173.148;
2.075;108.384;92.7951;151.764;77.6052;178.331;
2.1;111.314;95.1779;156.473;79.7863;183.575;
2.125;114.275;97.5844;161.24;81.9904;188.882;
2.15;117.267;100.014;166.063;84.2174;193.916;
2.175;120.29;102.467;170.944;86.4672;198.916;
2.2;123.343;104.944;175.881;88.7397;203.968;
2.225;126.426;107.443;180.869;91.0347;209.932;
2.25;129.54;109.965;185.72;93.3522;216.117;
2.275;132.684;112.511;190.622;95.692;222.001;
2.3;135.858;115.079;195.576;98.054;227.731;
2.325;139.062;117.669;200.58;100.431;233.521;
2.35;142.295;120.282;205.635;102.782;239.37;
2.375;145.558;122.917;210.739;105.266;245.277;
2.4;148.85;125.559;215.895;107.773;251.244;
2.425;152.171;128.206;221.197;110.303;257.268;
2.45;155.522;130.876;226.562;112.856;263.108;
2.475;158.901;133.568;231.979;115.431;268.972;
2.5;162.309;136.282;237.447;118.028;274.888;
