H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
7.5;0.0;0.0;0.0;-17.5614;18.2219;
7.555;0.0;0.0;0.0;-17.5614;18.2219;
7.61;0.0;0.0;0.0;-17.5614;18.2219;
7.665;0.0;0.0;0.0;-17.5614;18.2219;
7.72;0.0;0.0;0.0;-17.5614;18.2219;
7.775;0.0;0.0;0.0;-17.5614;18.2219;
7.83;0.0;0.0;0.192772;-17.5614;18.2219;
7.885;0.0489566;0.0;1.0702;-17.5614;18.3866;
7.94;0.777351;0.0;2.31824;-16.8668;19.3077;
7.995;2.11483;0.233004;4.14271;-15.5583;20.8227;
8.05;3.95183;1.30346;6.38581;-14.2797;22.2046;
8.105;6.23379;3.01574;8.94288;-12.207;24.4268;
8.16;8.92525;5.18686;11.9091;-9.69352;27.3426;
8.215;12.0005;7.83455;15.0119;-6.66643;30.5666;
8.27;15.4395;11.0186;18.7054;-3.4924;34.4534;
8.325;19.2262;14.5455;22.5502;-0.333084;38.7994;
8.38;23.3472;18.4641;26.745;3.24023;43.332;
8.435;27.7909;22.7578;31.1167;7.46854;48.265;
8.49;32.5475;27.4129;36.0326;11.9324;53.4039;
8.545;37.6082;32.2963;41.2212;16.6888;58.8563;
8.6;42.9651;37.4952;46.5145;21.465;64.4697;
8.655;48.6114;42.7777;52.2121;25.8068;71.2522;
8.71;54.5407;48.4675;58.1993;30.9672;78.3048;
8.765;60.7471;54.6555;64.5145;35.6178;85.1618;
8.82;67.2255;60.9448;71.4425;41.9906;92.0869;
8.875;73.9708;67.2499;78.6542;47.4331;100.374;
8.93;80.9787;73.6159;86.1042;53.4515;108.797;
8.985;88.2447;80.2223;93.7977;59.8982;116.602;
9.04;95.765;87.3845;101.738;66.5839;125.684;
9.095;103.536;94.8258;110.011;73.5053;134.54;
9.15;111.554;102.07;118.832;80.6589;143.3;
9.205;119.816;109.701;127.811;88.0417;152.327;
9.26;128.318;117.471;137.171;95.6507;161.824;
9.315;137.059;125.205;146.648;103.483;172.931;
9.37;146.034;133.14;156.455;110.81;183.521;
9.425;155.242;141.37;166.728;117.658;194.065;
9.48;164.68;150.012;177.586;126.09;205.328;
9.535;174.344;158.869;188.245;133.923;216.617;
9.59;184.235;168.055;199.369;141.652;228.154;
9.645;194.347;177.201;210.816;149.535;239.936;
9.7;204.681;186.469;222.491;157.656;252.428;
9.755;215.233;195.919;234.352;168.399;265.173;
9.81;226.002;206.058;246.915;179.038;277.786;
9.865;236.986;215.978;259.745;187.876;290.658;
9.92;248.183;225.952;272.849;196.874;304.136;
9.975;259.592;236.195;287.54;206.03;320.28;
10.03;271.209;247.265;301.357;215.343;334.684;
10.085;283.035;257.916;316.639;225.311;349.361;
10.14;295.067;268.508;332.767;235.806;364.447;
10.195;307.304;279.268;347.283;246.479;379.526;
10.25;319.745;292.744;364.288;260.537;395.011;
10.305;332.387;304.248;382.585;273.566;412.719;
10.36;345.23;317.352;400.73;284.322;432.714;
10.415;358.272;329.127;418.692;295.157;451.108;
10.47;371.511;343.569;436.921;308.847;470.955;
10.525;387.428;356.946;455.454;323.177;490.184;
10.58;405.499;371.81;472.435;337.777;511.045;
10.635;423.935;384.709;489.451;352.397;532.453;
10.69;442.736;397.912;508.088;367.782;554.159;
10.745;461.9;416.921;528.431;382.994;575.905;
10.8;481.424;432.447;549.992;398.85;597.827;
10.855;501.307;450.959;572.119;415.435;620.517;
10.91;521.547;466.539;592.646;429.566;643.209;
10.965;542.144;484.842;613.879;446.325;665.585;
11.02;563.095;503.456;635.581;464.127;690.144;
11.075;584.399;522.725;657.258;479.294;714.58;
11.13;606.054;543.394;679.264;498.316;738.513;
11.185;628.06;561.478;704.037;516.176;763.208;
11.24;650.414;581.223;727.552;536.573;789.363;
11.295;673.116;603.306;753.411;555.583;816.861;
11.35;696.165;626.33;778.45;573.764;841.885;
11.405;719.558;650.273;802.073;593.718;867.256;
11.46;743.294;671.548;826.004;613.967;892.974;
11.515;767.373;692.518;851.068;634.512;919.037;
11.57;791.794;714.909;879.247;653.771;946.123;
11.625;816.554;736.177;908.159;672.054;973.674;
11.68;841.653;756.785;937.496;695.043;1001.58;
11.735;867.091;779.827;965.191;718.54;1029.83;
11.79;892.864;802.018;992.917;737.427;1058.55;
11.845;918.974;824.484;1020.99;758.978;1090.2;
