H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-1.52221;1.43629;
0.04;0.0;0.0;0.0;-1.52221;1.43629;
0.08;0.0;0.0;0.0;-1.52221;1.43629;
0.12;0.0;0.0;0.0;-1.52221;1.43629;
0.16;0.0;0.0;0.0;-1.52221;1.43629;
0.2;0.0;0.0;0.0;-1.52221;1.43629;
0.24;0.0;0.0;0.0;-1.52221;1.43629;
0.28;0.0;0.0;0.0;-1.52221;1.43629;
0.32;0.0;0.0;0.0;-1.52221;1.43629;
0.36;0.0;0.0;0.0;-1.52221;1.43629;
0.4;0.0;0.0;0.0;-1.52221;1.43629;
0.44;0.0;0.0;0.0;-1.52221;1.43629;
0.48;0.0;0.0;0.0152895;-1.52221;1.43629;
0.52;0.085884;2.71682E-4;0.324619;-1.47555;1.54855;
0.56;0.548096;0.286172;0.931853;-1.02734;2.07874;
0.6;1.33073;0.95372;1.81527;-0.255678;2.94527;
0.64;2.39787;1.94679;2.95595;0.812894;4.01525;
0.68;3.72867;3.21526;4.33768;2.08982;5.38525;
0.72;5.30868;4.7511;5.95639;3.63893;7.0113;
0.76;7.12694;6.53148;7.80308;5.41014;8.92169;
0.8;9.17472;8.55579;9.86117;7.40419;11.0478;
0.84;11.4448;10.8115;12.1458;9.65299;13.4943;
0.88;13.931;13.2783;14.5883;12.0424;16.0703;
0.92;16.6281;15.9819;17.2662;14.6541;18.9207;
0.96;19.5314;18.8804;20.1818;17.445;21.9597;
1.0;22.6367;21.9995;23.2731;20.4689;25.2148;
1.04;25.9403;25.2726;26.6099;23.6284;28.689;
1.08;29.4389;28.7043;30.2203;26.9644;32.427;
1.12;33.1293;32.3005;33.9028;30.4581;36.3664;
1.16;37.0087;36.0097;37.9053;34.0371;40.3818;
1.2;41.0745;39.9403;42.1198;37.875;44.585;
1.24;45.3242;44.0014;46.5462;41.9207;49.0688;
1.28;49.7556;48.2789;51.0834;46.0596;53.9069;
1.32;54.3666;52.6531;55.7978;50.2734;58.9182;
1.36;59.1551;57.1893;60.7849;54.6677;64.0042;
1.4;64.1192;61.8857;65.8865;59.2378;69.3354;
1.44;69.2573;66.739;71.2618;63.9657;74.9092;
1.48;74.5676;71.7278;76.8246;68.8916;80.6737;
1.52;80.0485;76.9181;82.5647;73.9799;86.5249;
1.56;85.6984;82.2382;88.4711;79.2251;92.5474;
1.6;91.516;87.7103;94.6235;84.585;98.7452;
1.64;97.4999;93.3702;100.859;90.098;105.117;
1.68;103.649;99.1276;107.246;95.7637;111.66;
1.72;109.961;105.026;113.82;101.581;118.374;
1.76;116.436;111.094;120.661;107.549;125.256;
1.8;123.072;117.307;127.737;113.667;132.307;
1.84;129.869;123.583;134.935;119.934;139.523;
1.88;136.824;130.074;142.235;126.347;146.905;
1.92;143.938;136.73;149.772;132.847;154.548;
1.96;151.208;143.532;157.481;139.502;162.442;
2.0;158.635;150.479;165.361;146.301;170.511;
2.04;166.217;157.57;173.41;153.26;178.755;
2.08;173.952;164.795;181.566;160.278;187.171;
2.12;181.842;172.138;189.884;167.478;195.76;
2.16;189.883;179.619;198.365;174.816;204.521;
2.2;198.077;187.235;207.153;182.233;213.453;
2.24;206.421;194.987;216.087;189.749;222.555;
2.28;214.915;202.874;225.046;197.434;231.88;
2.32;223.559;210.934;234.165;205.308;241.265;
2.36;232.351;219.078;243.443;213.389;250.871;
2.4;241.29;227.285;252.881;221.609;260.645;
2.44;250.377;235.69;262.476;229.965;270.547;
2.48;259.611;244.266;272.204;238.381;280.481;
2.52;268.99;252.976;282.075;246.924;290.573;
2.56;278.514;261.793;292.097;255.599;300.821;
2.6;288.183;270.732;302.272;264.404;311.227;
2.64;297.996;279.8;312.62;273.338;321.788;
2.68;307.952;288.996;323.326;282.402;332.505;
2.72;318.05;298.319;334.008;291.378;343.376;
2.76;328.291;307.77;344.971;300.393;354.402;
2.8;338.673;317.346;356.156;309.523;365.581;
2.84;349.196;327.049;367.503;318.766;376.912;
2.88;359.86;336.876;379.011;328.272;388.397;
2.92;370.663;346.829;390.68;337.983;400.033;
2.96;381.606;356.905;402.51;347.813;411.82;
3.0;392.688;367.106;414.409;357.763;423.758;
3.04;403.908;377.429;426.583;367.833;435.846;
3.08;415.266;387.876;438.872;378.094;448.084;
3.12;426.761;398.445;450.976;388.514;460.473;
3.16;438.393;409.135;463.584;399.059;473.007;
3.2;450.162;419.947;476.349;409.727;485.691;
3.24;462.067;430.88;489.271;420.519;498.679;
3.28;474.107;441.902;502.345;431.435;511.99;
3.32;486.282;453.107;515.331;442.473;525.458;
3.36;498.592;464.4;528.376;453.516;539.081;
3.4;511.037;475.812;541.561;464.586;552.86;
3.44;523.615;487.245;554.886;475.768;566.511;
3.48;536.326;498.687;568.387;487.062;580.31;
3.52;549.171;510.239;582.232;498.468;594.255;
3.56;562.148;521.912;596.225;509.986;608.347;
3.6;575.257;533.799;610.366;521.614;622.585;
3.64;588.499;545.799;624.653;533.353;637.167;
3.68;601.871;557.911;639.087;545.202;651.625;
3.72;615.375;570.136;653.667;557.161;666.172;
3.76;629.01;582.473;668.393;569.229;680.991;
3.8;642.775;594.922;683.265;581.407;695.954;
3.84;656.67;607.481;698.282;593.693;711.269;
3.88;670.694;620.151;713.444;606.087;726.878;
3.92;684.848;632.932;728.75;618.67;742.639;
3.96;699.131;645.823;744.2;631.368;758.028;
4.0;713.543;658.824;759.794;644.176;773.517;
