H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-10.1985;11.0526;
0.06;0.0;0.0;0.0;-10.1985;11.0526;
0.12;0.0;0.0;0.0;-10.1985;11.0526;
0.18;0.0;0.0;0.0;-10.1985;11.0526;
0.24;0.0;0.0;0.0;-10.1985;11.0526;
0.3;0.0;0.0;0.0;-10.1985;11.0526;
0.36;0.0;0.0;0.0;-10.1985;11.0526;
0.42;0.0;0.0;0.0;-10.1985;11.0526;
0.48;0.0;0.0;1.4094E-4;-10.1985;11.0526;
0.54;0.0632105;0.0;1.04223;-10.0585;11.0649;
0.6;1.5712;0.227638;3.3397;-8.68562;12.5906;
0.66;4.42223;2.14181;6.6287;-5.92595;15.1783;
0.72;8.34795;5.48261;10.9039;-2.24001;19.0537;
0.78;13.221;9.99652;16.0215;2.35752;23.8776;
0.84;18.9602;15.4674;21.9112;8.01502;29.5101;
0.9;25.5071;21.9591;28.5066;14.4887;36.3376;
0.96;32.8167;29.2577;35.6126;21.593;43.9528;
1.02;40.8529;37.3138;43.5875;29.1947;52.3038;
1.08;49.5856;46.183;52.1975;37.5023;61.7374;
1.14;58.9895;55.8155;61.5337;46.6325;71.3937;
1.2;69.0426;66.0058;71.58;56.5769;81.7577;
1.26;79.7254;76.9733;82.1192;67.3789;92.9682;
1.32;91.0208;88.2894;93.3764;78.2516;104.146;
1.38;102.913;100.338;105.252;90.055;116.387;
1.44;115.389;112.644;117.95;102.086;129.216;
1.5;128.436;125.554;131.334;114.702;142.855;
1.56;142.042;138.711;145.389;128.023;156.627;
1.62;156.196;152.517;160.06;142.072;171.476;
1.68;170.888;166.794;175.379;155.946;186.708;
1.74;186.11;181.629;191.781;170.37;202.37;
1.8;201.853;196.637;208.742;185.499;218.08;
1.86;218.108;212.109;226.321;200.726;234.697;
1.92;234.868;228.231;244.416;216.35;252.315;
1.98;252.126;244.413;262.927;232.472;269.986;
2.04;269.875;261.316;282.84;249.504;289.736;
2.1;288.109;278.856;302.66;266.594;309.409;
2.16;306.822;296.48;323.419;284.329;328.789;
2.22;326.008;315.04;344.346;303.266;349.845;
2.28;349.072;334.717;366.547;324.466;374.256;
2.34;374.593;355.21;391.053;345.805;399.175;
2.4;400.872;376.928;417.049;365.186;424.109;
2.46;427.901;398.827;443.335;389.146;450.881;
2.52;455.673;422.978;471.116;413.899;479.734;
2.58;484.18;447.364;500.418;437.72;509.407;
2.64;513.416;473.447;531.317;462.446;540.671;
2.7;543.373;500.466;564.231;490.416;572.573;
2.76;574.047;528.771;596.88;518.895;604.989;
2.82;605.43;558.043;629.818;546.64;638.775;
2.88;637.517;585.361;663.179;575.598;673.006;
2.94;670.303;615.067;699.222;604.982;710.209;
3.0;703.782;646.106;736.05;633.992;747.069;
3.06;737.948;677.021;775.692;665.139;785.457;
3.12;772.798;706.339;814.865;696.125;825.193;
3.18;808.325;737.554;855.386;725.45;865.351;
3.24;844.526;769.024;896.906;753.619;906.989;
3.3;881.396;801.734;938.067;785.881;949.464;
3.36;918.93;834.678;978.96;816.634;992.771;
3.42;957.125;868.185;1022.33;850.105;1036.9;
3.48;995.975;901.092;1065.81;885.322;1081.18;
3.54;1035.48;933.638;1111.83;918.73;1127.63;
3.6;1075.63;967.371;1158.36;953.878;1172.89;
3.66;1116.42;1003.68;1205.48;988.643;1219.96;
3.72;1157.86;1038.69;1252.86;1022.92;1268.95;
3.78;1199.93;1073.85;1301.28;1057.69;1318.75;
3.84;1242.64;1109.51;1350.48;1093.24;1368.52;
3.9;1285.98;1145.66;1400.51;1129.69;1419.08;
3.96;1329.94;1182.3;1451.33;1166.63;1470.42;
4.02;1374.53;1219.42;1503.26;1207.08;1522.53;
4.08;1419.74;1257.02;1555.97;1244.23;1575.72;
4.14;1465.57;1295.11;1609.47;1283.24;1630.2;
4.2;1512.01;1333.67;1663.75;1322.97;1685.49;
4.26;1559.06;1372.71;1718.81;1362.28;1741.57;
4.32;1606.72;1412.23;1774.65;1402.07;1798.44;
4.38;1654.99;1452.21;1831.27;1442.35;1854.76;
4.44;1703.86;1492.67;1888.75;1483.11;1911.02;
4.5;1753.33;1533.59;1946.8;1524.35;1968.01;
4.56;1803.4;1574.98;2005.71;1566.07;2025.95;
4.62;1854.07;1616.83;2065.38;1608.26;2085.63;
4.68;1905.32;1659.15;2125.82;1650.93;2147.28;
4.74;1957.17;1701.92;2187.0;1694.08;2210.92;
4.8;2009.6;1745.16;2248.33;1737.69;2275.36;
4.86;2062.62;1788.85;2310.16;1781.77;2340.6;
4.92;2116.23;1832.99;2372.71;1826.32;2406.64;
4.98;2170.41;1877.59;2435.99;1871.33;2470.46;
5.04;2225.18;1922.64;2499.98;1916.81;2534.77;
5.1;2280.51;1968.14;2564.68;1962.75;2599.8;
5.16;2336.43;2014.09;2630.09;2009.15;2665.55;
5.22;2392.91;2060.48;2696.21;2056.01;2732.01;
5.28;2449.97;2107.32;2763.04;2103.32;2799.18;
5.34;2507.59;2154.6;2830.57;2151.09;2869.41;
5.4;2565.78;2202.33;2899.79;2199.31;2940.91;
5.46;2624.53;2250.49;2970.22;2247.99;3013.19;
5.52;2683.85;2299.09;3041.38;2297.12;3086.24;
5.58;2743.72;2348.13;3113.25;2346.7;3160.07;
5.64;2804.16;2397.61;3185.84;2396.92;3234.66;
5.7;2865.15;2447.52;3259.13;2447.58;3310.02;
5.76;2926.69;2497.86;3333.13;2498.69;3386.15;
5.82;2988.79;2548.64;3407.84;2550.0;3463.05;
5.88;3051.43;2599.84;3483.26;2601.25;3540.7;
5.94;3114.63;2651.48;3559.37;2653.49;3619.12;
6.0;3178.37;2703.72;3636.18;2706.17;3698.3;
