H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-3.42928;3.14674;
0.03;0.0;0.0;0.0;-3.42928;3.14674;
0.06;0.0;0.0;0.0;-3.42928;3.14674;
0.09;0.0;0.0;0.0;-3.42928;3.14674;
0.12;0.0;0.0;0.0;-3.42928;3.14674;
0.15;0.0;0.0;0.0;-3.42928;3.14674;
0.18;0.0;0.0;0.289516;-3.42928;3.16526;
0.21;0.371331;0.0;1.06235;-2.92447;3.67364;
0.24;1.24802;0.247751;2.24483;-2.06246;4.77831;
0.27;2.53528;1.09534;3.76258;-0.995824;6.09417;
0.3;4.19156;2.43055;5.62174;0.362304;7.91973;
0.33;6.19045;4.17782;7.79415;2.26601;10.0024;
0.36;8.51294;6.28275;10.2785;4.37784;12.2813;
0.39;11.1443;8.70142;13.0965;6.91178;15.1011;
0.42;14.0727;11.4727;16.1936;9.81177;18.1333;
0.45;17.2882;14.6035;19.5602;12.9374;21.4324;
0.48;20.7824;18.0097;23.188;16.3534;25.0104;
0.51;24.5478;21.7098;27.0239;20.0545;28.8601;
0.54;28.578;25.6981;31.1794;24.0336;32.9814;
0.57;32.8673;30.0277;35.5412;28.3124;37.4691;
0.6;37.4104;34.6427;40.1398;32.8015;42.1766;
0.63;42.2026;39.4441;44.959;37.5796;47.0475;
0.66;47.2395;44.418;50.0094;42.6142;52.1222;
0.69;52.5173;49.7292;55.335;47.8811;57.4218;
0.72;58.0322;55.3155;60.8551;53.2152;62.9427;
0.75;63.7809;61.0518;66.609;58.8902;68.7491;
0.78;69.7601;67.1118;72.5699;64.8079;74.7589;
0.81;75.9669;73.3489;78.7453;71.0936;80.9267;
0.84;82.3984;79.9527;85.1853;77.5567;87.3069;
0.87;89.0521;86.7435;91.8063;84.0399;94.0058;
0.9;95.9255;93.5883;98.6108;90.6667;101.042;
0.93;103.016;100.576;105.662;97.5029;108.359;
0.96;110.322;107.778;112.975;104.546;115.922;
0.99;117.841;115.169;120.516;111.903;123.527;
1.02;125.57;122.884;128.341;119.356;131.342;
1.05;133.509;130.788;136.329;127.09;139.398;
1.08;141.655;138.778;144.639;135.201;147.78;
1.11;150.006;147.052;153.22;143.522;156.365;
1.14;158.56;155.536;161.835;152.051;165.248;
1.17;167.317;164.067;170.871;160.787;174.171;
1.2;176.274;172.895;179.971;169.593;183.472;
1.23;185.431;181.915;189.302;178.367;192.925;
1.26;194.784;191.158;198.782;187.196;202.527;
1.29;204.334;200.586;208.594;196.2;212.325;
1.32;214.079;210.237;218.62;205.429;222.317;
1.35;224.017;219.874;228.796;214.837;232.503;
1.38;234.147;229.637;239.172;224.669;242.968;
1.41;244.468;239.635;249.8;234.689;253.531;
1.44;254.979;249.837;260.768;244.891;264.549;
1.47;265.678;260.131;271.753;255.309;275.764;
1.5;276.565;270.597;283.064;265.835;287.175;
1.53;287.639;281.255;294.638;276.575;298.78;
1.56;298.897;292.126;306.26;287.492;310.418;
1.59;310.34;303.102;318.158;298.507;322.127;
1.62;321.966;314.249;330.291;309.48;334.32;
1.65;333.775;325.552;342.608;320.602;346.768;
1.68;345.765;336.954;355.018;331.896;359.052;
1.71;357.935;348.616;367.636;343.354;371.683;
1.74;370.285;360.463;380.493;355.071;384.781;
1.77;382.814;372.478;393.544;367.044;397.685;
1.8;395.52;384.513;406.801;378.966;410.946;
1.83;408.404;396.787;420.309;391.334;424.425;
1.86;421.463;409.24;434.009;403.568;438.093;
1.89;434.698;421.859;447.9;415.938;452.054;
1.92;448.107;434.719;461.981;428.46;466.335;
1.95;461.691;447.611;476.252;441.268;480.808;
1.98;475.447;460.639;490.712;454.492;495.426;
2.01;489.375;473.882;505.36;467.733;510.048;
2.04;503.475;487.281;520.195;481.219;525.17;
2.07;517.746;500.835;535.217;494.866;540.199;
2.1;532.188;514.543;550.425;508.672;555.346;
2.13;546.798;528.445;565.818;522.636;570.639;
2.16;561.578;542.465;581.396;536.759;586.177;
2.19;576.526;556.587;597.159;550.982;601.86;
2.22;591.641;570.905;613.104;565.102;617.719;
2.25;606.923;585.364;629.233;579.372;633.755;
2.28;622.372;599.915;645.543;593.791;649.967;
2.31;637.986;614.615;661.922;608.358;666.353;
2.34;653.766;629.462;678.549;623.073;682.914;
2.37;669.71;644.458;695.462;637.935;699.649;
2.4;685.818;659.6;712.555;652.943;716.557;
2.43;702.089;674.889;729.809;668.098;733.637;
2.46;718.523;690.324;747.201;683.398;750.89;
2.49;735.12;705.904;764.712;698.843;768.314;
2.52;751.878;721.629;782.404;714.433;786.02;
2.55;768.797;737.498;800.378;730.166;804.072;
2.58;785.878;753.511;818.53;746.043;822.303;
2.61;803.118;769.667;836.823;762.063;840.711;
2.64;820.518;785.966;855.276;778.225;859.297;
2.67;838.077;802.408;873.904;794.529;878.06;
2.7;855.795;818.991;892.708;810.975;896.999;
2.73;873.672;835.715;911.685;827.562;916.114;
2.76;891.706;852.58;930.836;844.289;935.405;
2.79;909.897;869.586;950.161;861.157;954.801;
2.82;928.245;886.731;969.658;878.164;974.12;
2.85;946.75;904.072;989.328;895.31;993.604;
2.88;965.41;921.593;1009.17;912.595;1013.25;
2.91;984.226;939.252;1029.18;930.019;1033.07;
2.94;1003.2;956.917;1049.37;947.58;1053.04;
2.97;1022.32;974.719;1069.72;965.279;1073.18;
3.0;1041.6;992.658;1090.25;983.115;1093.48;
