H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
24.0;0.102676;0.0;0.731434;-2.19502;2.43043;
24.04;0.544971;0.121682;1.42451;-1.73061;2.90299;
24.08;1.24945;0.614349;2.31996;-1.05629;3.60459;
24.12;2.18047;1.3819;3.44325;-0.223972;4.67572;
24.16;3.31756;2.38113;4.72537;0.795236;5.82304;
24.2;4.64668;3.62186;6.18588;2.13383;7.22774;
24.24;6.15731;5.06182;7.80249;3.68315;8.80065;
24.28;7.84111;6.68731;9.58162;5.37587;10.4583;
24.32;9.69124;8.48056;11.5163;7.22275;12.3102;
24.36;11.7019;10.4508;13.6069;9.22808;14.4479;
24.4;13.8682;12.5879;15.8338;11.3918;16.7197;
24.44;16.1858;14.8656;18.1933;13.6984;19.1218;
24.48;18.6509;17.2971;20.7001;16.0875;21.6393;
24.52;21.2599;19.9068;23.3273;18.6219;24.3677;
24.56;24.0098;22.6428;26.0425;21.2979;27.1817;
24.6;26.8978;25.525;28.9893;24.1122;30.0697;
24.64;29.9214;28.5706;32.0308;27.0617;33.084;
24.68;33.078;31.7121;35.1905;30.1438;36.3508;
24.72;36.3656;34.9778;38.4526;33.4202;39.6859;
24.76;39.7821;38.4126;41.8342;36.851;43.1847;
24.8;43.3255;41.9855;45.3941;40.3011;46.8224;
24.84;46.9942;45.6493;49.0244;43.8251;50.5874;
24.88;50.7863;49.4265;52.8653;47.5772;54.4781;
24.92;54.7004;53.3329;56.798;51.4504;58.428;
24.96;58.7349;57.2612;60.8726;55.4551;62.4662;
25.0;62.8885;61.3004;65.1309;59.5691;66.6505;
25.04;67.1597;65.3953;69.3914;63.6972;70.9995;
25.08;71.5474;69.5748;73.8277;67.7988;75.5011;
25.12;76.0502;73.8999;78.4057;72.0882;80.1166;
25.16;80.6671;78.2991;83.1653;76.4436;84.7147;
25.2;85.3969;82.8296;87.9877;80.8957;89.6837;
25.24;90.2385;87.4715;92.9755;85.4695;94.6326;
25.28;95.191;92.1138;98.1157;90.1441;99.6901;
25.32;100.253;96.927;103.381;94.9206;104.805;
25.36;105.425;101.799;108.714;99.7974;110.126;
25.4;110.704;106.722;114.298;104.795;115.596;
25.44;116.09;111.844;119.918;109.877;121.39;
25.48;121.583;116.966;125.649;115.062;127.027;
25.52;127.181;122.446;131.49;120.373;132.761;
25.56;132.884;127.861;137.441;125.881;138.545;
25.6;138.691;133.624;143.486;131.595;144.959;
25.64;144.601;139.456;149.614;137.495;151.787;
25.68;150.613;146.483;156.124;143.812;158.054;
25.72;156.728;153.143;163.131;151.332;165.259;
25.76;163.987;160.83;171.693;159.015;173.528;
25.8;173.57;168.893;180.823;167.386;182.947;
25.84;183.368;177.455;190.532;175.842;192.628;
25.88;193.381;186.404;200.426;184.482;202.678;
25.92;203.604;195.482;210.551;193.359;212.767;
25.96;214.037;204.155;221.037;202.454;223.096;
26.0;224.678;213.138;231.34;211.971;233.762;
26.04;235.523;222.688;242.288;222.126;244.55;
26.08;246.572;233.419;253.317;232.677;255.55;
26.12;257.822;245.069;264.542;243.481;266.812;
26.16;269.272;256.114;276.097;254.573;278.8;
26.2;280.919;267.359;288.205;265.759;290.477;
26.24;292.763;278.952;300.245;277.482;302.523;
26.28;304.801;290.591;312.371;288.838;315.318;
26.32;317.032;302.907;324.705;300.551;328.251;
26.36;329.455;314.486;337.54;312.682;341.293;
26.4;342.067;326.796;350.623;325.213;354.509;
26.44;354.869;339.17;364.03;337.116;366.909;
26.48;367.857;351.429;377.264;349.462;379.997;
26.52;381.031;363.92;391.115;361.911;393.788;
26.56;394.39;376.627;405.058;374.205;407.326;
26.6;407.931;389.806;418.826;387.242;420.974;
26.64;421.655;403.147;433.041;400.272;435.655;
26.68;435.56;416.295;447.303;413.012;450.912;
26.72;449.644;429.002;462.206;426.179;465.359;
26.76;463.906;442.509;477.187;439.546;479.888;
26.8;478.346;456.192;492.083;452.71;494.963;
26.84;492.962;469.657;507.157;466.522;510.382;
26.88;507.754;483.079;522.409;480.726;525.631;
26.92;522.719;497.039;537.904;495.144;541.055;
26.96;537.858;511.108;554.122;509.425;557.075;
27.0;553.169;525.147;570.859;523.722;573.288;
27.04;568.65;539.338;588.077;537.928;589.68;
27.08;584.302;553.679;604.591;552.08;606.252;
27.12;600.124;568.171;621.17;566.343;623.001;
27.16;616.114;582.812;638.895;580.748;640.535;
27.2;632.271;597.547;656.089;595.678;657.936;
27.24;648.595;612.452;673.566;610.795;675.161;
27.28;665.084;627.624;691.591;626.063;692.567;
27.32;681.739;642.854;709.654;641.48;710.154;
27.36;698.558;658.231;727.453;656.933;728.27;
27.4;715.54;673.752;745.423;672.264;746.478;
27.44;732.684;689.499;763.679;687.735;764.416;
27.48;749.99;705.627;782.36;703.346;782.522;
27.52;767.458;721.692;801.223;719.097;800.795;
27.56;785.085;737.7;820.269;734.986;819.422;
27.6;802.872;753.847;839.496;751.059;838.236;
27.64;820.818;770.123;858.905;767.663;856.945;
27.68;838.922;786.476;878.493;784.417;875.869;
27.72;857.183;803.064;898.26;801.32;895.78;
27.76;875.601;819.821;918.206;818.373;915.301;
27.8;894.175;836.658;938.036;835.334;934.975;
27.84;912.905;853.631;958.098;852.284;954.674;
27.88;931.789;870.74;978.634;869.705;974.893;
27.92;950.827;888.117;999.224;887.265;995.186;
27.96;970.019;905.684;1019.4;904.798;1015.72;
28.0;989.364;923.386;1039.73;921.898;1036.67;
