H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
2.0;0.0;0.0;0.0;-7.47662;8.61537;
2.11;0.0;0.0;0.0;-7.47662;8.61537;
2.22;0.0;0.0;0.0;-7.47662;8.61537;
2.33;0.0;0.0;0.0;-7.47662;8.61537;
2.44;0.0;0.0;0.0;-7.47662;8.61537;
2.55;0.0;0.0;0.0;-7.47662;8.61537;
2.66;0.0;0.0;0.0;-7.47662;8.61537;
2.77;0.0;0.0;0.0;-7.47662;8.61537;
2.88;0.0;0.0;0.0;-7.47662;8.61537;
2.99;0.0;0.0;0.0;-7.47662;8.61537;
3.1;0.0;0.0;0.0;-7.47662;8.61537;
3.21;0.0;0.0;0.0;-7.47662;8.61537;
3.32;0.0;0.0;0.997693;-7.32897;8.87281;
3.43;3.61226;1.42258;6.14993;-4.133;12.7452;
3.54;10.8676;7.64595;14.2088;2.26606;19.4269;
3.65;20.6958;16.6871;24.6375;11.6269;29.7654;
3.76;32.6848;28.0351;37.2629;23.37;41.5909;
3.87;46.5886;41.4797;51.5512;37.0021;56.0101;
3.98;62.2368;56.7896;67.4746;52.4274;71.7767;
4.09;79.5024;73.8678;84.7149;69.5317;89.3346;
4.2;98.2853;92.5092;103.499;88.196;108.508;
4.31;118.504;112.609;123.733;108.013;129.057;
4.42;140.09;134.12;145.324;129.146;150.89;
4.53;162.986;157.178;168.445;151.978;173.806;
4.64;187.14;181.452;192.347;176.164;197.94;
4.75;212.509;206.907;217.663;201.267;223.92;
4.86;239.052;233.392;243.825;227.617;250.777;
4.97;266.735;261.13;271.256;255.225;278.584;
5.08;295.526;289.951;300.149;283.95;307.556;
5.19;325.395;319.976;330.218;313.428;337.667;
5.3;356.317;350.96;361.322;344.345;369.38;
5.41;388.265;382.602;393.713;375.214;402.175;
5.52;421.219;415.373;427.245;407.262;435.235;
5.63;455.156;448.569;461.582;440.586;469.955;
5.74;490.057;482.977;497.394;474.387;505.571;
5.85;525.904;517.847;534.422;510.078;542.728;
5.96;562.68;553.862;572.506;545.915;580.86;
6.07;600.369;590.32;611.425;582.053;619.385;
6.18;638.954;627.823;651.368;619.022;659.079;
6.29;678.423;666.412;692.54;656.943;699.853;
6.4;718.761;705.788;734.513;696.545;741.957;
6.51;759.955;745.747;777.346;736.158;784.607;
6.62;801.994;786.489;821.086;776.699;827.88;
6.73;844.865;828.154;865.802;817.729;872.181;
6.84;888.557;870.535;911.328;860.143;917.928;
6.95;933.059;913.45;958.022;902.888;964.556;
7.06;978.362;957.12;1005.62;946.287;1011.9;
7.17;1024.46;1001.55;1054.07;990.424;1059.58;
7.28;1071.33;1046.76;1103.37;1035.29;1108.65;
7.39;1118.98;1092.56;1153.53;1080.56;1158.56;
7.5;1167.39;1139.15;1204.51;1126.39;1210.06;
7.61;1216.55;1186.19;1256.33;1172.89;1262.18;
7.72;1266.47;1233.93;1308.97;1220.06;1314.67;
7.83;1317.12;1282.35;1362.42;1267.61;1366.97;
7.94;1368.5;1331.44;1416.9;1315.63;1421.09;
8.05;1420.61;1381.19;1472.3;1364.26;1476.21;
8.16;1473.44;1431.61;1528.52;1413.76;1532.12;
8.27;1526.97;1482.68;1585.53;1464.61;1588.81;
8.38;1581.21;1534.64;1642.9;1516.12;1646.28;
8.49;1636.15;1586.77;1700.73;1568.27;1704.25;
8.6;1691.78;1639.76;1759.76;1620.71;1762.97;
8.71;1748.1;1693.39;1819.65;1673.61;1822.52;
8.82;1805.1;1747.64;1880.31;1727.11;1882.81;
8.93;1862.77;1802.51;1941.73;1781.25;1944.36;
9.04;1921.11;1857.99;2003.91;1836.31;2006.52;
9.15;1980.11;1914.09;2066.83;1891.98;2069.33;
9.26;2039.78;1970.71;2130.49;1948.27;2132.87;
9.37;2100.09;2027.84;2194.89;2005.16;2197.14;
9.48;2161.06;2085.55;2260.02;2062.64;2262.14;
9.59;2222.67;2143.84;2325.53;2120.72;2327.84;
9.7;2284.91;2202.71;2392.25;2179.39;2394.25;
9.81;2347.79;2262.14;2458.95;2238.65;2461.22;
9.92;2411.31;2322.14;2526.32;2298.49;2528.68;
10.03;2475.44;2382.7;2594.38;2358.91;2597.05;
10.14;2540.2;2443.82;2663.12;2419.9;2666.11;
10.25;2605.58;2505.49;2732.53;2481.46;2735.85;
10.36;2671.57;2567.71;2802.61;2543.59;2806.28;
10.47;2738.16;2630.47;2873.35;2606.28;2877.37;
10.58;2805.37;2693.78;2944.75;2669.53;2949.13;
