H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
1.5;0.0;0.0;0.0;-3.02334;3.27932;
1.555;0.0;0.0;0.0;-3.02334;3.27932;
1.61;0.0;0.0;0.0;-3.02334;3.27932;
1.665;0.0;0.0;0.0;-3.02334;3.27932;
1.72;0.0;0.0;0.0;-3.02334;3.27932;
1.775;0.147395;0.0;0.504772;-2.93435;3.44641;
1.83;1.0533;0.52324;1.62609;-2.14517;4.29701;
1.885;2.52122;1.80185;3.21396;-0.85639;5.69092;
1.94;4.45008;3.61557;5.24418;0.796055;7.67852;
1.995;6.78657;5.83409;7.63612;3.02735;10.0749;
2.05;9.49557;8.44926;10.4122;5.5621;12.9943;
2.105;12.5515;11.4056;13.4816;8.36379;16.2105;
2.16;15.9344;14.7594;16.9256;11.4657;19.8919;
2.215;19.6282;18.3937;20.6578;14.9303;23.9959;
2.27;23.6197;22.2752;24.8346;18.5398;28.5674;
2.325;27.8973;26.4122;29.2704;22.4306;33.1738;
2.38;32.4512;30.817;34.0265;26.6022;38.0537;
2.435;37.2727;35.5557;39.0995;31.0173;43.3544;
2.49;42.3542;40.4798;44.4737;35.6688;49.3584;
2.545;47.6888;45.6039;50.1175;40.4617;55.4127;
2.6;53.2703;51.0146;56.0241;45.3718;61.5689;
2.655;59.0928;56.6374;62.09;50.5376;68.1171;
2.71;65.1513;62.336;68.5193;56.0039;75.1919;
2.765;71.4409;68.2484;75.1344;61.6788;82.1883;
2.82;77.9573;74.4828;82.1192;67.5119;89.3589;
2.875;84.6962;80.8824;89.3029;73.4794;96.9633;
2.93;91.6539;87.4629;96.6743;79.6433;104.622;
2.985;98.8267;94.2425;104.322;86.0003;112.517;
3.04;106.211;101.124;112.316;92.7281;120.646;
3.095;113.804;108.292;120.546;99.5768;129.212;
3.15;121.603;115.574;128.99;106.445;138.144;
3.205;129.604;123.039;137.69;113.489;147.354;
3.26;137.806;130.684;146.612;120.704;156.94;
3.315;146.205;138.506;155.807;128.089;166.772;
3.37;154.799;146.576;165.194;135.818;176.846;
3.425;163.585;154.764;174.805;143.555;186.837;
3.48;172.562;163.024;184.638;151.465;196.965;
3.535;181.728;171.564;194.688;159.614;207.314;
3.59;191.079;180.275;204.942;167.931;218.115;
3.645;200.615;189.148;215.115;176.414;229.138;
3.7;210.334;198.121;225.462;185.061;240.383;
3.755;220.233;207.252;235.995;193.871;251.847;
3.81;230.311;216.556;246.714;202.842;263.527;
3.865;240.566;226.044;257.821;211.973;275.423;
3.92;250.997;235.689;269.372;221.262;287.533;
3.975;261.602;245.49;281.131;230.708;299.854;
4.03;272.38;255.446;293.095;240.31;312.385;
4.085;283.329;265.554;305.176;250.066;325.125;
4.14;294.447;275.814;317.223;259.975;338.072;
4.195;305.734;286.224;329.625;270.037;351.224;
4.25;317.187;296.784;342.286;280.324;364.579;
4.305;328.807;307.491;355.14;290.957;378.138;
4.36;340.591;318.345;368.186;301.139;391.897;
4.415;352.538;329.344;381.422;311.854;405.857;
4.47;364.647;340.488;394.848;322.766;420.015;
4.525;376.917;351.776;408.462;333.828;434.37;
4.58;389.347;363.206;422.262;344.98;448.921;
4.635;401.936;374.777;436.249;356.099;463.667;
4.69;414.682;386.417;450.42;367.354;478.606;
4.745;427.585;398.275;464.774;378.761;493.738;
4.8;440.644;410.329;479.311;390.422;509.061;
4.855;453.857;422.456;494.029;402.224;524.552;
4.91;467.224;434.719;508.927;414.164;539.804;
4.965;480.744;447.119;524.005;426.243;555.225;
5.02;494.415;459.653;539.261;438.458;570.815;
5.075;508.238;472.322;554.694;450.811;587.201;
5.13;522.211;485.123;570.304;463.299;603.789;
5.185;536.332;498.058;586.09;475.922;620.566;
5.24;550.603;511.124;602.05;488.653;637.532;
5.295;565.02;524.321;618.183;501.314;654.685;
5.35;579.585;537.648;634.49;514.101;672.025;
5.405;594.296;551.104;650.969;527.013;689.55;
5.46;609.151;564.69;667.539;540.049;707.261;
5.515;624.152;578.403;684.23;553.208;725.156;
5.57;639.296;592.244;701.087;566.489;743.01;
5.625;654.583;606.212;718.106;579.893;760.767;
5.68;670.012;620.305;735.289;593.418;778.689;
5.735;685.583;634.525;752.634;607.063;796.776;
5.79;701.295;648.868;770.14;620.829;815.028;
5.845;717.147;663.336;787.806;634.714;833.442;
5.9;733.139;677.928;805.891;648.718;852.02;
5.955;749.269;692.642;824.147;662.841;870.759;
6.01;765.538;707.479;842.57;677.258;889.659;
6.065;781.945;722.438;861.16;691.939;908.72;
6.12;798.489;737.518;879.917;706.745;927.94;
6.175;815.169;752.718;898.839;721.674;947.319;
6.23;831.985;768.029;917.927;736.727;966.857;
6.285;848.937;783.388;937.178;751.902;986.552;
6.34;866.023;798.864;956.594;767.096;1006.4;
6.395;883.243;814.457;976.134;782.208;1026.41;
6.45;900.597;830.166;995.741;797.434;1046.58;
6.505;918.084;845.991;1015.51;812.774;1066.89;
6.56;935.704;861.932;1035.43;828.227;1087.37;
6.615;953.456;877.987;1055.51;843.793;1108.0;
6.67;971.339;894.156;1075.74;859.472;1128.78;
6.725;989.353;910.439;1096.13;875.432;1149.71;
6.78;1007.5;926.836;1116.68;891.507;1170.79;
6.835;1025.77;943.345;1137.38;907.697;1192.03;
6.89;1044.18;959.967;1158.08;924.0;1213.42;
6.945;1062.71;976.701;1178.8;940.416;1234.95;
7.0;1081.37;993.546;1199.66;956.945;1256.64;
