H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
0.0;0.0;0.0;0.0;-1.23766;1.11301;
0.08;0.0;0.0;0.0;-1.23766;1.11301;
0.16;0.0;0.0;0.0;-1.23766;1.11301;
0.24;0.0;0.0;0.0;-1.23766;1.11301;
0.32;0.0;0.0;0.0;-1.23766;1.11301;
0.4;0.0;0.0;0.0;-1.23766;1.11301;
0.48;0.0;0.0;0.0;-1.23766;1.11301;
0.56;0.0;0.0;0.0;-1.23766;1.11301;
0.64;0.14293;0.0;0.344656;-1.19839;1.30521;
0.72;1.77293;0.994331;2.13373;0.27484;3.01197;
0.8;4.65298;3.63729;5.08832;2.9046;5.98511;
0.88;8.55302;7.43025;9.02377;6.71657;9.99521;
0.96;13.3573;12.2579;13.8762;11.3886;14.8109;
1.04;18.9907;17.942;19.5346;16.9503;20.4489;
1.12;25.3986;24.4205;25.9464;23.2572;27.017;
1.2;32.5387;31.5902;33.181;30.3635;34.2519;
1.28;40.377;39.4949;41.061;38.1047;42.3946;
1.36;48.885;48.0274;49.7179;46.5115;51.2214;
1.44;58.0385;57.1214;59.0333;55.7527;60.6256;
1.52;67.8168;66.8559;69.0611;65.3735;70.6995;
1.6;78.2012;77.0433;79.775;75.6223;81.2988;
1.68;89.1755;87.8285;91.1095;86.3099;92.5454;
1.76;100.725;99.1056;102.977;97.6936;104.497;
1.84;112.837;111.009;115.521;109.692;117.186;
1.92;125.498;123.38;128.608;122.276;130.395;
2.0;138.698;136.201;142.475;135.313;144.269;
2.08;152.426;150.585;158.323;149.051;159.597;
2.16;171.049;165.873;177.201;164.12;178.06;
2.24;190.817;181.812;196.892;180.187;197.588;
2.32;211.439;199.748;217.326;197.755;218.294;
2.4;232.898;219.954;239.01;217.9;241.001;
2.48;255.179;241.816;261.489;238.646;263.991;
2.56;278.266;264.39;284.919;261.822;287.494;
2.64;302.145;288.036;308.982;285.829;312.303;
2.72;326.804;311.899;334.176;309.501;337.962;
2.8;352.23;336.581;360.569;334.375;363.639;
2.88;378.411;361.862;387.453;359.992;390.569;
2.96;405.338;387.497;415.776;385.846;418.404;
3.04;432.999;413.459;444.568;411.592;448.254;
3.12;461.385;440.601;474.815;438.044;478.154;
3.2;490.488;468.296;505.363;465.491;508.001;
3.28;520.297;496.361;536.656;494.357;539.941;
