H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
-0.5;0.0;0.0;0.0;-7.06023;6.4385;
-0.415;0.0;0.0;0.0;-7.06023;6.4385;
-0.33;0.515134;0.0;1.48902;-6.92742;7.0863;
-0.245;3.64828;1.70735;5.26365;-4.09896;10.3575;
-0.16;8.77891;6.08368;10.7991;0.354801;15.4743;
-0.075;15.5717;12.357;17.899;6.97257;22.6033;
0.01;23.8469;20.3372;26.4438;14.7923;31.2878;
0.095;33.4851;29.7226;36.3576;23.6297;41.4028;
0.18;44.3985;40.4431;47.4044;33.8871;53.2751;
0.265;56.5188;52.4341;59.6974;45.3808;66.4349;
0.35;69.7905;65.6023;72.9743;57.3619;80.6669;
0.435;84.1671;79.9648;87.5974;70.465;96.3975;
0.52;99.6092;95.4029;103.209;84.7154;113.001;
0.605;116.082;111.608;119.776;100.134;130.327;
0.69;133.556;128.841;137.267;115.78;149.305;
0.775;152.004;146.943;155.914;132.665;169.313;
0.86;171.401;165.904;175.706;151.125;190.326;
0.945;191.727;185.783;196.457;169.307;211.338;
1.03;212.96;206.226;218.399;188.172;234.83;
1.115;235.082;227.679;240.982;207.84;259.166;
1.2;258.077;249.894;264.4;228.435;283.982;
1.285;281.929;272.59;288.882;250.138;309.702;
1.37;306.623;296.208;314.418;272.612;336.313;
1.455;332.146;320.551;340.917;295.841;363.849;
1.54;358.485;345.489;367.685;319.852;392.576;
1.625;385.627;371.143;395.74;344.524;422.179;
1.71;413.562;397.645;424.746;369.954;452.561;
1.795;442.279;424.892;454.332;395.721;483.504;
1.88;471.768;452.839;484.849;422.714;515.293;
1.965;502.018;481.231;515.925;449.802;547.944;
2.05;533.022;510.208;548.025;477.553;581.924;
2.135;564.77;539.903;581.054;505.958;616.621;
2.22;597.254;570.494;614.686;535.01;651.368;
2.305;630.465;601.762;649.251;564.703;687.986;
2.39;664.397;633.422;684.436;595.055;725.694;
2.475;699.043;665.673;720.518;626.263;763.369;
2.56;734.394;698.407;757.432;657.753;801.822;
2.645;770.445;731.745;795.213;689.861;841.045;
2.73;807.188;766.001;833.786;722.581;881.032;
2.815;844.618;801.202;873.095;755.941;921.865;
2.9;882.729;836.1;913.332;789.94;964.015;
2.985;921.514;872.368;953.945;824.531;1006.27;
3.07;960.969;909.253;995.458;859.711;1049.25;
3.155;1001.09;946.751;1037.78;895.635;1093.02;
3.24;1041.86;984.856;1080.82;931.815;1137.82;
3.325;1083.29;1023.56;1124.69;968.73;1183.34;
3.41;1125.37;1062.87;1169.59;1006.21;1230.16;
3.495;1168.1;1102.48;1214.69;1044.42;1276.71;
3.58;1211.46;1142.27;1260.21;1083.51;1324.2;
3.665;1255.45;1182.51;1306.46;1123.18;1372.56;
3.75;1300.08;1223.28;1353.87;1163.44;1421.61;
3.835;1345.33;1264.59;1401.66;1204.28;1471.36;
3.92;1391.2;1306.43;1450.37;1244.19;1521.79;
4.005;1437.7;1348.95;1500.07;1284.51;1572.91;
4.09;1484.8;1392.32;1550.46;1326.11;1624.7;
4.175;1532.52;1436.23;1601.55;1368.54;1677.17;
4.26;1580.84;1480.63;1653.34;1411.51;1730.47;
4.345;1629.76;1525.27;1705.8;1455.0;1784.74;
4.43;1679.29;1570.42;1758.95;1499.02;1839.7;
4.515;1729.41;1616.08;1812.56;1543.56;1895.36;
4.6;1780.12;1662.24;1866.06;1588.62;1951.7;
4.685;1831.42;1708.9;1920.19;1634.2;2008.73;
4.77;1883.3;1756.06;1974.94;1680.29;2066.43;
4.855;1935.77;1803.71;2030.31;1726.89;2124.82;
4.94;1988.82;1851.86;2086.3;1774.0;2183.88;
5.025;2042.44;1900.78;2142.89;1821.62;2243.61;
5.11;2096.64;1950.27;2200.1;1869.73;2304.0;
5.195;2151.4;2000.26;2257.91;1918.35;2365.06;
5.28;2206.74;2050.76;2316.32;1967.47;2426.79;
5.365;2262.64;2101.74;2375.34;2017.08;2489.17;
5.45;2319.1;2153.22;2434.95;2066.31;2552.2;
5.535;2376.12;2205.2;2495.15;2116.93;2615.89;
5.62;2433.7;2257.65;2555.95;2168.04;2680.23;
5.705;2491.83;2310.6;2617.36;2219.63;2745.22;
5.79;2550.52;2364.02;2679.73;2271.72;2810.85;
5.875;2609.75;2417.93;2742.81;2324.28;2877.12;
5.96;2669.53;2472.32;2806.48;2377.33;2944.03;
6.045;2729.85;2527.18;2870.75;2430.86;3011.44;
6.13;2790.72;2582.51;2935.61;2484.87;3077.28;
6.215;2852.12;2638.32;3001.08;2539.35;3143.68;
6.3;2914.07;2694.6;3067.57;2594.31;3210.62;
6.385;2976.54;2751.34;3134.65;2649.74;3279.21;
6.47;3039.55;2808.55;3202.34;2705.64;3349.46;
6.555;3103.1;2866.23;3270.63;2762.0;3420.32;
6.64;3167.17;2924.36;3339.52;2818.84;3491.78;
6.725;3231.76;2982.96;3409.0;2876.13;3563.85;
6.81;3296.88;3042.01;3479.08;2933.89;3636.51;
6.895;3362.53;3101.52;3549.74;2992.12;3709.78;
6.98;3428.69;3160.78;3621.0;3050.77;3783.64;
7.065;3495.37;3220.44;3692.84;3109.93;3858.09;
