H[m];Qmaxpost[m3/s];Qlow_param[m3/s];Qhigh_param[m3/s];Qlow_total[m3/s];Qhigh_total[m3/s];
13.0;0.0;0.0;0.0;-4.20271;3.96252;
13.055;0.0;0.0;0.419157;-4.07544;3.96252;
13.11;0.469535;0.00124263;2.26668;-3.10627;5.17505;
13.165;2.54623;1.52175;4.85168;-1.07512;7.58791;
13.22;5.54401;4.29619;8.10216;1.76207;10.9132;
13.275;9.24308;7.87111;11.7942;5.34679;14.8132;
13.33;13.5336;12.0849;15.9671;9.59137;19.2096;
13.385;18.3461;16.8128;20.6612;14.1448;24.0354;
13.44;23.631;22.1658;25.8938;19.059;29.5185;
13.495;29.3512;27.8346;31.4957;24.3634;35.4052;
13.55;35.4769;33.9428;37.5796;30.24;41.5179;
13.605;41.9841;40.4051;44.0222;36.4765;47.9596;
13.66;48.8524;47.2277;50.8165;42.979;54.9225;
13.715;56.0646;54.4034;57.8325;49.7987;62.6192;
13.77;63.6056;61.9476;65.4192;56.9276;70.4601;
13.825;71.4624;69.7803;73.2733;64.3166;78.8633;
13.88;79.6232;77.871;81.5637;71.8543;87.797;
13.935;88.0776;86.3081;90.1402;79.9879;96.9217;
13.99;96.8161;94.9406;98.9931;88.2949;105.988;
14.045;105.83;103.803;108.212;96.4438;116.033;
14.1;115.112;113.061;117.713;105.232;126.456;
14.155;124.655;122.378;127.537;114.269;136.565;
14.21;134.451;131.936;137.656;123.55;146.88;
14.265;144.496;141.806;148.027;133.067;157.257;
14.32;154.782;151.847;158.71;142.817;167.955;
14.375;165.305;162.052;169.67;152.794;179.345;
14.43;176.06;172.579;180.829;162.951;191.245;
14.485;187.043;183.376;192.344;173.279;203.297;
14.54;198.248;194.176;204.001;183.811;215.614;
14.595;209.671;205.287;215.94;194.675;228.191;
14.65;221.31;216.644;228.125;205.67;241.024;
14.705;233.159;228.159;240.535;216.869;254.109;
14.76;245.216;239.882;253.224;228.242;267.442;
14.815;257.477;251.975;266.169;239.819;281.021;
14.87;269.938;264.07;279.261;251.6;294.531;
14.925;282.598;276.471;292.565;263.583;308.476;
14.98;295.453;289.071;306.078;275.766;322.904;
15.035;308.499;301.737;319.892;288.192;337.572;
15.09;321.735;314.765;333.888;300.741;352.468;
15.145;335.159;327.763;347.95;313.49;367.448;
15.2;348.766;340.944;362.204;326.449;382.651;
15.255;362.556;354.273;376.683;339.596;398.075;
15.31;376.526;367.958;391.527;353.094;413.718;
15.365;390.673;381.797;406.465;366.9;429.576;
15.42;404.996;395.55;421.52;380.528;445.649;
15.475;419.492;409.853;436.761;394.324;461.821;
15.53;434.16;424.433;452.186;408.237;478.078;
15.585;448.998;438.875;468.024;422.333;494.535;
15.64;464.004;453.276;484.111;436.697;511.191;
15.695;479.175;468.036;500.393;451.179;528.044;
15.75;494.511;482.584;516.966;465.862;545.091;
15.805;510.01;497.27;533.538;480.703;562.332;
15.86;525.67;512.675;550.397;495.552;579.847;
15.915;541.489;528.374;567.445;510.852;597.854;
15.97;557.467;544.244;584.384;526.156;615.427;
16.025;573.601;559.677;602.025;541.612;633.27;
16.08;589.89;575.275;619.705;557.219;651.706;
16.135;606.332;591.075;637.493;572.974;670.332;
16.19;622.927;607.041;655.462;588.878;689.146;
16.245;639.673;623.022;673.579;604.927;708.147;
16.3;656.569;639.137;691.559;621.122;727.334;
16.355;673.613;655.383;709.703;637.46;746.704;
16.41;690.805;671.759;728.008;653.942;765.913;
16.465;708.142;688.265;746.48;670.565;785.203;
16.52;725.625;704.899;765.416;687.328;804.66;
16.575;743.251;721.661;784.521;704.24;824.283;
16.63;761.02;738.549;803.796;721.273;844.069;
16.685;778.93;755.561;823.238;738.452;864.019;
16.74;796.981;772.698;842.847;755.465;884.13;
16.795;815.171;789.958;862.621;772.647;904.402;
16.85;833.5;807.341;882.56;790.079;924.834;
16.905;851.966;824.844;902.662;807.473;945.424;
16.96;870.569;842.468;922.926;824.992;966.322;
17.015;889.307;860.211;943.352;842.635;987.445;
17.07;908.18;878.215;963.938;860.401;1008.73;
17.125;927.186;896.366;984.684;878.554;1030.18;
17.18;946.325;914.639;1005.59;896.906;1051.79;
17.235;965.597;933.033;1026.65;915.389;1073.56;
17.29;984.999;951.546;1047.87;934.001;1095.48;
17.345;1004.53;970.179;1069.24;952.711;1117.57;
17.4;1024.19;988.93;1090.77;971.404;1139.81;
17.455;1043.98;1007.8;1112.45;990.219;1162.21;
17.51;1063.9;1026.78;1134.29;1009.15;1184.76;
17.565;1083.95;1045.89;1156.4;1028.22;1207.47;
17.62;1104.12;1065.1;1178.63;1047.38;1230.33;
17.675;1124.42;1084.43;1200.71;1066.68;1253.34;
17.73;1144.84;1103.88;1222.93;1085.73;1276.51;
17.785;1165.38;1123.44;1245.29;1104.82;1299.82;
17.84;1186.05;1143.11;1267.8;1124.02;1323.29;
17.895;1206.85;1162.89;1290.44;1143.32;1346.9;
17.95;1227.76;1182.79;1313.22;1162.74;1370.67;
18.005;1248.79;1202.79;1336.14;1182.25;1394.58;
18.06;1269.95;1222.91;1359.2;1201.88;1418.64;
18.115;1291.23;1243.13;1382.4;1221.89;1442.85;
18.17;1312.62;1263.46;1406.07;1243.29;1467.2;
18.225;1334.14;1283.91;1429.87;1264.1;1491.7;
18.28;1355.77;1304.45;1453.82;1284.13;1516.34;
18.335;1377.52;1325.11;1477.92;1304.27;1541.12;
18.39;1399.38;1345.87;1502.16;1324.51;1566.05;
18.445;1421.37;1366.74;1526.54;1344.85;1591.12;
18.5;1443.46;1387.71;1551.06;1365.28;1616.34;
